title,keywords,everything,topic,authors,journal,links
maternal immune activation during pregnancy alters the behavior profile of female offspring of sprague dawley rats.,behavior prepulse inhibition recognition memory sex differences sociability,maternal immune activation during pregnancy alters the behavior profile of female offspring of sprague dawley rats.,BONE,"Lins BR, Marks WN, Zabder NK, Greba Q, Howland JG,",*eNeuro*,* [Maternal Immune Activation during Pregnancy Alters the Behavior Profile of Female Offspring of Sprague Dawley Rats.](https://www.ncbi.nlm.nih.gov/pubmed/31016229)
pregnancy induces an earlier chronotype in both mice and women.,chronodisruption chronotype circadian rhythm delivery locomotor activity pregnancy,pregnancy induces an earlier chronotype in both mice and women.,BONE,"Martin-Fairey CA, Zhao P, Wan L, Roenneberg T, Fay J, Ma X, McCarthy R, Jungheim ES, England SK, Herzog ED,",*Journal of biological rhythms*,* [Pregnancy Induces an Earlier Chronotype in Both Mice and Women.](https://www.ncbi.nlm.nih.gov/pubmed/31018734)
retrospective long-term follow-up survival analysis of the management of osteonecrosis of the femoral head with pedicled vascularized iliac bone graft transfer.,hip preserving osteonecrosis of the femoral head total hip arthroplasty vascularized fibula grafting vascularized iliac bone grafting,retrospective long-term follow-up survival analysis of the management of osteonecrosis of the femoral head with pedicled vascularized iliac bone graft transfer.,BONE,"Xie H, Wang B, Tian S, Liu B, Qin K, Zhao D,",*The Journal of arthroplasty*,* [Retrospective Long-Term Follow-Up Survival Analysis of the Management of Osteonecrosis of the Femoral Head With Pedicled Vascularized Iliac Bone Graft Transfer.](https://www.ncbi.nlm.nih.gov/pubmed/31031157)
"the rorschach butterfly, understanding bone biomechanics prior to using nomenclature in bone trauma interpretations.",blunt force injuries forensic anthropology fractography fracture interpretation fracture mechanics pedestrian vehicle accident,"the rorschach butterfly, understanding bone biomechanics prior to using nomenclature in bone trauma interpretations.",BONE,"L'Abbé EN, Symes SA, Raymond DE, Ubelaker DH,",*Forensic science international*,"* [The Rorschach butterfly, understanding bone biomechanics prior to using nomenclature in bone trauma interpretations.](https://www.ncbi.nlm.nih.gov/pubmed/31035136)"
erythropoietin does not improve fracture healing in aged mice.,aged mice bone healing bone turnover epo fracture healing tissue mineral density,erythropoietin does not improve fracture healing in aged mice.,BONE,"Orth M, Baudach J, Scheuer C, Osche D, Veith NT, Braun BJ, Rollmann MF, Herath SC, Pohlemann T, Menger MD, Histing T,",*Experimental gerontology*,* [Erythropoietin does not improve fracture healing in aged mice.](https://www.ncbi.nlm.nih.gov/pubmed/30998964)
paternal thc exposure in rats causes long-lasting neurobehavioral effects in the offspring.,attention behavior offspring paternal rat thc,paternal thc exposure in rats causes long-lasting neurobehavioral effects in the offspring.,BONE,"Levin ED, Hawkey AB, Hall BJ, Cauley M, Slade S, Yazdani E, Kenou B, White H, Wells C, Rezvani AH, Murphy SK,",*Neurotoxicology and teratology*,* [Paternal THC exposure in rats causes long-lasting neurobehavioral effects in the offspring.](https://www.ncbi.nlm.nih.gov/pubmed/31028824)
pulmonary and respiratory muscle function in response to marathon and ultra-marathon running: a review.,,pulmonary and respiratory muscle function in response to marathon and ultra-marathon running: a review.,CARDIOVASCULAR/CARDIOPULMONARY,"Tiller NB,","*Sports medicine (Auckland, N.Z.)*",* [Pulmonary and Respiratory Muscle Function in Response to Marathon and Ultra-Marathon Running: A Review.](https://www.ncbi.nlm.nih.gov/pubmed/31030408)
enhanced multifactorial biomechanical stress metrics to predict plaque rupture: rapid assessment of morphology and plaque structural stress.,atherosclerosis biomechanics finite element plaque rupture stress,enhanced multifactorial biomechanical stress metrics to predict plaque rupture: rapid assessment of morphology and plaque structural stress.,CARDIOVASCULAR/CARDIOPULMONARY,"Stone PH, Fotiadis DI,",*JACC. Cardiovascular imaging*,* [Enhanced Multifactorial Biomechanical Stress Metrics to Predict Plaque Rupture: Rapid Assessment of Morphology and Plaque Structural Stress.](https://www.ncbi.nlm.nih.gov/pubmed/31005526)
displacement analysis of myocardial mechanical deformation (diamond) reveals segmental susceptibility to doxorubicin-induced injury and regeneration.,cancer cardiology cardiovascular disease heart failure,displacement analysis of myocardial mechanical deformation (diamond) reveals segmental susceptibility to doxorubicin-induced injury and regeneration.,CARDIOVASCULAR/CARDIOPULMONARY,"Chen J, Ding Y, Chen M, Gau J, Jen N, Nahal C, Tu S, Chen C, Zhou S, Chang CC, Lyu J, Xu X, Hsiai TK, Packard RRS,",*JCI insight*,* [Displacement analysis of myocardial mechanical deformation (DIAMOND) reveals segmental susceptibility to doxorubicin-induced injury and regeneration.](https://www.ncbi.nlm.nih.gov/pubmed/30996130)
demystifying the use of self expandable interwoven nitinol stents in femoropopliteal peripheral arterial disease.,atherosclerosis peripheral arterial disease stents,demystifying the use of self expandable interwoven nitinol stents in femoropopliteal peripheral arterial disease.,CARDIOVASCULAR/CARDIOPULMONARY,"Peker A, Balendran B, Paraskevopoulos I, Krokidis M,",*Annals of vascular surgery*,* [Demystifying the Use of Self Expandable Interwoven Nitinol Stents in Femoropopliteal Peripheral Arterial Disease.](https://www.ncbi.nlm.nih.gov/pubmed/31009734)
chronic low alcohol intake during pregnancy programs sex-specific cardiovascular deficits in rats.,alcohol blood pressure fetal programming vascular function,chronic low alcohol intake during pregnancy programs sex-specific cardiovascular deficits in rats.,CARDIOVASCULAR/CARDIOPULMONARY,"Walton SL, Tjongue M, Tare M, Kwok E, Probyn M, Parkington HC, Bertram JF, Moritz KM, Denton KM,",*Biology of sex differences*,* [Chronic low alcohol intake during pregnancy programs sex-specific cardiovascular deficits in rats.](https://www.ncbi.nlm.nih.gov/pubmed/31010438)
identification of circumferential regional heterogeneity of ascending thoracic aneurysmal aorta by biaxial mechanical testing.,ascending aortic aneurysm biaxial testing bicuspid aortic valve material parameters tissue stiffness,identification of circumferential regional heterogeneity of ascending thoracic aneurysmal aorta by biaxial mechanical testing.,CARDIOVASCULAR/CARDIOPULMONARY,"Di Giuseppe M, Alotta G, Agnese V, Bellavia D, Raffa GM, Vetri V, Zingales M, Pasta S, Pilato M,",*Journal of molecular and cellular cardiology*,* [Identification of circumferential regional heterogeneity of ascending thoracic aneurysmal aorta by biaxial mechanical testing.](https://www.ncbi.nlm.nih.gov/pubmed/30998978)
evaluation of individual plaque risk based on plaque anatomic and biomechanical characteristics: methodologies and clinical applications are approaching an inflection point.,,evaluation of individual plaque risk based on plaque anatomic and biomechanical characteristics: methodologies and clinical applications are approaching an inflection point.,CARDIOVASCULAR/CARDIOPULMONARY,"Stone PH,",*European heart journal*,* [Evaluation of individual plaque risk based on plaque anatomic and biomechanical characteristics: methodologies and clinical applications are approaching an inflection point.](https://www.ncbi.nlm.nih.gov/pubmed/31005992)
biomechanical stress profiling of coronary atherosclerosis: identifying a multifactorial metric to evaluate plaque rupture risk.,atherosclerosis biomechanics computational modeling finite element plaque rupture stress,biomechanical stress profiling of coronary atherosclerosis: identifying a multifactorial metric to evaluate plaque rupture risk.,CARDIOVASCULAR/CARDIOPULMONARY,"Doradla P, Otsuka K, Nadkarni A, Villiger M, Karanasos A, Zandvoort LJCV, Dijkstra J, Zijlstra F, Soest GV, Daemen J, Regar E, Bouma BE, Nadkarni SK,",*JACC. Cardiovascular imaging*,* [Biomechanical Stress Profiling of Coronary Atherosclerosis: Identifying a Multifactorial Metric to Evaluate Plaque Rupture Risk.](https://www.ncbi.nlm.nih.gov/pubmed/31005542)
"arterial stiffness: different metrics, different meanings.",,"arterial stiffness: different metrics, different meanings.",CARDIOVASCULAR/CARDIOPULMONARY,"Spronck B, Humphrey J,",*Journal of biomechanical engineering*,"* [Arterial Stiffness: Different Metrics, Different Meanings.](https://www.ncbi.nlm.nih.gov/pubmed/30985880)"
mavacamten treatment for obstructive hypertrophic cardiomyopathy: a clinical trial.,,mavacamten treatment for obstructive hypertrophic cardiomyopathy: a clinical trial.,CARDIOVASCULAR/CARDIOPULMONARY,"Heitner SB, Jacoby D, Lester SJ, Owens A, Wang A, Zhang D, Lambing J, Lee J, Semigran M, Sehnert AJ,",*Annals of internal medicine*,* [Mavacamten Treatment for Obstructive Hypertrophic Cardiomyopathy: A Clinical Trial.](https://www.ncbi.nlm.nih.gov/pubmed/31035291)
microvascular bioengineering: a focus on pericytes.,capillary computational modeling endothelial cells microfluidics pericytes,microvascular bioengineering: a focus on pericytes.,CARDIOVASCULAR/CARDIOPULMONARY,"Zhao H, Chappell JC,",*Journal of biological engineering*,* [Microvascular bioengineering: a focus on pericytes.](https://www.ncbi.nlm.nih.gov/pubmed/30984287)
on the role of material properties in ascending thoracic aortic aneurysms.,aortic aneurysm failure ascending aortic aneurysm finite-element analysis inverse approach material parameters,on the role of material properties in ascending thoracic aortic aneurysms.,CARDIOVASCULAR/CARDIOPULMONARY,"Cosentino F, Agnese V, Raffa GM, Gentile G, Bellavia D, Zingales M, Pilato M, Pasta S,",*Computers in biology and medicine*,* [On the role of material properties in ascending thoracic aortic aneurysms.](https://www.ncbi.nlm.nih.gov/pubmed/31035073)
progression of arterial toursosity syndrome to multiple aneurysms: role of defining aortic flow and biomechanics.,,progression of arterial toursosity syndrome to multiple aneurysms: role of defining aortic flow and biomechanics.,CARDIOVASCULAR/CARDIOPULMONARY,"Kindi HNA, Elsawy A, Fahmi YR, Gamrah MA, Romeih S, Aguib H, H Yacoub M,",*Global cardiology science & practice*,* [Progression of arterial toursosity syndrome to multiple aneurysms: Role of defining aortic flow and biomechanics.](https://www.ncbi.nlm.nih.gov/pubmed/31024950)
"involvement of endothelin-1, h 2s and nrf2 in beneficial effects of remote ischemic preconditioning in global cerebral ischemia-induced vascular dementia in mice.",cerebral ischemia dementia remote postconditioning remote preconditioning,"involvement of endothelin-1, h 2s and nrf2 in beneficial effects of remote ischemic preconditioning in global cerebral ischemia-induced vascular dementia in mice.",CARDIOVASCULAR/CARDIOPULMONARY,"He JT, Li H, Yang L, Cheng KL,",*Cellular and molecular neurobiology*,"* [Involvement of Endothelin-1, H<sub>2</sub>S and Nrf2 in Beneficial Effects of Remote Ischemic Preconditioning in Global Cerebral Ischemia-Induced Vascular Dementia in Mice.](https://www.ncbi.nlm.nih.gov/pubmed/31025223)"
human genotyping and an experimental model reveal npr-c as a possible contributor to morbidity in coarctation of the aorta.,congenital cardiovascular disease hemodynamics hypertension pediatric cardiology vascular biomechanics,human genotyping and an experimental model reveal npr-c as a possible contributor to morbidity in coarctation of the aorta.,CARDIOVASCULAR/CARDIOPULMONARY,"LaDisa JF, Tomita-Mitchell A, Stamm KD, Bazan K, Mahnke DK, Goetsch MA, Wegter BJ, Gerringer JW, Repp K, Palygin O, Zietara AP, Krolikowski MM, Eddinger TJ, Alli AA, Mitchell ME,",*Physiological genomics*,* [Human genotyping and an experimental model reveal NPR-C as a possible contributor to morbidity in coarctation of the aorta.](https://www.ncbi.nlm.nih.gov/pubmed/31002586)
impaired recovery from influenza a/x-31(h3n2) infection in mice with 8-lipoxygenase deficiency.,alox8 x-31 inflammation influenza a knockout mice lipoxygenase resolution,impaired recovery from influenza a/x-31(h3n2) infection in mice with 8-lipoxygenase deficiency.,CARDIOVASCULAR/CARDIOPULMONARY,"Alfardan R, Guo C, Toth LA, Nie D,","*Medical sciences (Basel, Switzerland)*",* [Impaired Recovery from Influenza A/X-31(H3N2) Infection in Mice with 8-Lipoxygenase Deficiency.](https://www.ncbi.nlm.nih.gov/pubmed/31013822)
biomechanical properties of red blood cells infected by plasmodium berghei anka.,f-actin plasmodium berghei atomic force microscopy malaria red blood cells stiffness,biomechanical properties of red blood cells infected by plasmodium berghei anka.,CARDIOVASCULAR/CARDIOPULMONARY,"Kwon S, Lee DH, Han SJ, Yang W, Quan FS, Kim KS,",*Journal of cellular physiology*,* [Biomechanical properties of red blood cells infected by Plasmodium berghei ANKA.](https://www.ncbi.nlm.nih.gov/pubmed/30989677)
symbiotic cardiac pacemaker.,,symbiotic cardiac pacemaker.,CARDIOVASCULAR/CARDIOPULMONARY,"Ouyang H, Liu Z, Li N, Shi B, Zou Y, Xie F, Ma Y, Li Z, Li H, Zheng Q, Qu X, Fan Y, Wang ZL, Zhang H, Li Z,",*Nature communications*,* [Symbiotic cardiac pacemaker.](https://www.ncbi.nlm.nih.gov/pubmed/31015519)
targeting filamin a reduces macrophage activity and atherosclerosis.,calpain filamin,targeting filamin a reduces macrophage activity and atherosclerosis.,CELLULAR/SUBCELLULAR,"Bandaru S, Ala C, Salimi R, Akula MK, Ekstrand M, Devarakonda S, Karlsson J, Van den Eynden J, Bergström G, Larsson E, Levin M, Borén J, Bergo MO, Akyürek LM,",*Circulation*,* [Targeting Filamin A Reduces Macrophage Activity and Atherosclerosis.](https://www.ncbi.nlm.nih.gov/pubmed/31014088)
the place cell activity is information-efficient constrained by energy.,constrained optimization of functional place cell place field spatial information,the place cell activity is information-efficient constrained by energy.,CELLULAR/SUBCELLULAR,"Wang Y, Xu X, Wang R,",*Neural networks : the official journal of the International Neural Network Society*,* [The place cell activity is information-efficient constrained by energy.](https://www.ncbi.nlm.nih.gov/pubmed/31029052)
"yap, δnp63, and β-catenin signaling pathways are involved in the modulation of corneal epithelial stem cell phenotype induced by substrate stiffness.",epithelial stratification fibrosis limbal epithelial stem cells mechanotransduction tissue stiffness β-catenin signaling,"yap, δnp63, and β-catenin signaling pathways are involved in the modulation of corneal epithelial stem cell phenotype induced by substrate stiffness.",CELLULAR/SUBCELLULAR,"Gouveia RM, Vajda F, Wibowo JA, Figueiredo F, Connon CJ,",*Cells*,"* [YAP, ΔNp63, and β-Catenin Signaling Pathways Are Involved in the Modulation of Corneal Epithelial Stem Cell Phenotype Induced by Substrate Stiffness.](https://www.ncbi.nlm.nih.gov/pubmed/31013745)"
a lumped parameter model of endoplasm flow in physarum polycephalum explains migration and polarization-induced asymmetry during the onset of locomotion.,,a lumped parameter model of endoplasm flow in physarum polycephalum explains migration and polarization-induced asymmetry during the onset of locomotion.,CELLULAR/SUBCELLULAR,"Oettmeier C, Döbereiner HG,",*PloS one*,* [A lumped parameter model of endoplasm flow in Physarum polycephalum explains migration and polarization-induced asymmetry during the onset of locomotion.](https://www.ncbi.nlm.nih.gov/pubmed/31013306)
effects of fatty acid amide hydrolase inhibitors acute administration on the positive and cognitive symptoms of schizophrenia in mice.,endocannabinoids faah magl mk-801 mice schizophrenia-like symptoms,effects of fatty acid amide hydrolase inhibitors acute administration on the positive and cognitive symptoms of schizophrenia in mice.,CELLULAR/SUBCELLULAR,"Kruk-Slomka M, Banaszkiewicz I, Slomka T, Biala G,",*Molecular neurobiology*,* [Effects of Fatty Acid Amide Hydrolase Inhibitors Acute Administration on the Positive and Cognitive Symptoms of Schizophrenia in Mice.](https://www.ncbi.nlm.nih.gov/pubmed/31004320)
fluid supplementation accelerates epithelial repair during chemical colitis.,,fluid supplementation accelerates epithelial repair during chemical colitis.,CELLULAR/SUBCELLULAR,"Burgueño JF, Lang JK, Santander AM, Fernández I, Fernández E, Zaias J, Abreu MT,",*PloS one*,* [Fluid supplementation accelerates epithelial repair during chemical colitis.](https://www.ncbi.nlm.nih.gov/pubmed/31002683)
ozone oxidizes oleic fatty acid with the highest rate constant and does not oxidize palmitic acid. different physicochemical parameters of substrates and their role in phylogenesis.,carnivores and herbivores insulin palmitic and oleic fatty acids phylogenesis,ozone oxidizes oleic fatty acid with the highest rate constant and does not oxidize palmitic acid. different physicochemical parameters of substrates and their role in phylogenesis.,CELLULAR/SUBCELLULAR,"Titov VN, Sazhina NN, Evteeva NМ,",*Klinicheskaia laboratornaia diagnostika*,* [[Ozone oxidizes oleic fatty acid with the highest rate constant and does not oxidize palmitic acid. Different physicochemical parameters of substrates and their role in phylogenesis.]](https://www.ncbi.nlm.nih.gov/pubmed/31012550)
chemotherapy-induced cachexia dysregulates hypothalamic and systemic lipoamines and is attenuated by cannabigerol.,cachexia cannabigerol cannabinoid chemotherapy cisplatin lipoamine,chemotherapy-induced cachexia dysregulates hypothalamic and systemic lipoamines and is attenuated by cannabigerol.,CELLULAR/SUBCELLULAR,"Brierley DI, Harman JR, Giallourou N, Leishman E, Roashan AE, Mellows BAD, Bradshaw HB, Swann JR, Patel K, Whalley BJ, Williams CM,","*Journal of cachexia, sarcopenia and muscle*",* [Chemotherapy-induced cachexia dysregulates hypothalamic and systemic lipoamines and is attenuated by cannabigerol.](https://www.ncbi.nlm.nih.gov/pubmed/31035309)
involvement of nrf2/ho-1 antioxidant signaling and nf-κb inflammatory response in the potential protective effects of vincamine against methotrexate-induced nephrotoxicity in rats: cross talk between nephrotoxicity and neurotoxicity.,mtx nf-κb/nrf2/ho-1 pathway nephrotoxicity ros uremic toxins vincamine,involvement of nrf2/ho-1 antioxidant signaling and nf-κb inflammatory response in the potential protective effects of vincamine against methotrexate-induced nephrotoxicity in rats: cross talk between nephrotoxicity and neurotoxicity.,CELLULAR/SUBCELLULAR,"Shalaby YM, Menze ET, Azab SS, Awad AS,",*Archives of toxicology*,* [Involvement of Nrf2/HO-1 antioxidant signaling and NF-κB inflammatory response in the potential protective effects of vincamine against methotrexate-induced nephrotoxicity in rats: cross talk between nephrotoxicity and neurotoxicity.](https://www.ncbi.nlm.nih.gov/pubmed/31020375)
"flax ( linum usitatissimum l.) fibers for composite reinforcement: exploring the link between plant growth, cell walls development, and fiber properties.",biomechanics breeding cell wall fiber crops flax fiber growth conditions plant development,"flax ( linum usitatissimum l.) fibers for composite reinforcement: exploring the link between plant growth, cell walls development, and fiber properties.",CELLULAR/SUBCELLULAR,"Goudenhooft C, Bourmaud A, Baley C,",*Frontiers in plant science*,"* [Flax (<i>Linum usitatissimum</i> L.) Fibers for Composite Reinforcement: Exploring the Link Between Plant Growth, Cell Walls Development, and Fiber Properties.](https://www.ncbi.nlm.nih.gov/pubmed/31001310)"
linking mitochondrial dysfunction to organismal and population health in context of environmental pollutants: progress and considerations for mitochondrial adverse outcome pathways.,adverse outcome pathways high-throughput screening immune toxicity locomotion mitochondria weight of evidence,linking mitochondrial dysfunction to organismal and population health in context of environmental pollutants: progress and considerations for mitochondrial adverse outcome pathways.,CELLULAR/SUBCELLULAR,"Dreier DA, Mello D, Meyer J, Martyniuk CJ,",*Environmental toxicology and chemistry*,* [Linking mitochondrial dysfunction to organismal and population health in context of environmental pollutants: Progress and considerations for mitochondrial adverse outcome pathways.](https://www.ncbi.nlm.nih.gov/pubmed/31034624)
the impact of plasmodium berghei exposure in-utero on neurobehavioral profile in mice.,anxiety in-utero malaria obsessive-compulsive disorder plasmodium berghei,the impact of plasmodium berghei exposure in-utero on neurobehavioral profile in mice.,CELLULAR/SUBCELLULAR,"Okojie AK, Rauf K, Iyare E,",*Basic and clinical neuroscience*,* [The Impact of Plasmodium Berghei Exposure In-utero on Neurobehavioral Profile in Mice.](https://www.ncbi.nlm.nih.gov/pubmed/31031897)
characterization of cytoplasmic viscosity of hundreds of single tumour cells based on micropipette aspiration.,cellular biophysics cytoplasmic viscosity micropipette aspiration single tumour cells,characterization of cytoplasmic viscosity of hundreds of single tumour cells based on micropipette aspiration.,CELLULAR/SUBCELLULAR,"Wang K, Sun XH, Zhang Y, Zhang T, Zheng Y, Wei YC, Zhao P, Chen DY, Wu HA, Wang WH, Long R, Wang JB, Chen J,",*Royal Society open science*,* [Characterization of cytoplasmic viscosity of hundreds of single tumour cells based on micropipette aspiration.](https://www.ncbi.nlm.nih.gov/pubmed/31032026)
förster resonance energy transfer pioneers biomechanics: molecular-scale force meters for visualizing intracellular stress fields.,fluorescence anisotropy/polarization focal adhesion (fa) mechano-transduction orientation factor for fret (κ2) tension sensor vinculin,förster resonance energy transfer pioneers biomechanics: molecular-scale force meters for visualizing intracellular stress fields.,CELLULAR/SUBCELLULAR,"Bene L, Damjanovich L,",*Cytometry. Part A : the journal of the International Society for Analytical Cytology*,* [Förster Resonance Energy Transfer Pioneers Biomechanics: Molecular-Scale Force Meters for Visualizing Intracellular Stress Fields.](https://www.ncbi.nlm.nih.gov/pubmed/31034713)
individual play patterns stimulated by a familiar object are group-driven.,,individual play patterns stimulated by a familiar object are group-driven.,COMPARATIVE,"Zupan M, Rehn T, de Oliveira D, Malovrh Š, Keeling L,",*Scientific reports*,* [Individual play patterns stimulated by a familiar object are group-driven.](https://www.ncbi.nlm.nih.gov/pubmed/30988518)
diy automated feeding and motion recording system for the analysis of fish behavior.,hts automated biology engineering high-throughput screening robotics and instrumentation systems,diy automated feeding and motion recording system for the analysis of fish behavior.,COMPARATIVE,"Pylatiuk C, Zhao H, Gursky E, Reischl M, Peravali R, Foulkes N, Loosli F,",*SLAS technology*,* [DIY Automated Feeding and Motion Recording System for the Analysis of Fish Behavior.](https://www.ncbi.nlm.nih.gov/pubmed/31013465)
a force-measuring and behaviour-recording system consisting of 24 individual 3d force plates for the study of single limb forces in climbing animals on a quasi-cylindrical tower.,climbing behaviour climbing tower force platform array ground reaction forces tree frog,a force-measuring and behaviour-recording system consisting of 24 individual 3d force plates for the study of single limb forces in climbing animals on a quasi-cylindrical tower.,COMPARATIVE,"Ji A, Yuan S, Endlein T, Hill I, Wang W, Wang H, Jiang N, Zhao Z, Barnes J, Dai Z,",*Bioinspiration & biomimetics*,* [A force-measuring and behaviour-recording system consisting of 24 individual 3D force plates for the study of single limb forces in climbing animals on a quasi-cylindrical tower.](https://www.ncbi.nlm.nih.gov/pubmed/31026861)
locomotor activity and discriminative stimulus effects of five novel synthetic cathinone analogs in mice and rats.,abuse liability cathinones drug discrimination entactogens psychostimulants,locomotor activity and discriminative stimulus effects of five novel synthetic cathinone analogs in mice and rats.,COMPARATIVE,"Gatch MB, Dolan SB, Forster MJ,",*Drug and alcohol dependence*,* [Locomotor activity and discriminative stimulus effects of five novel synthetic cathinone analogs in mice and rats.](https://www.ncbi.nlm.nih.gov/pubmed/30986635)
"mice lacking casp1, ifngr and nos2 genes exhibit altered depressive- and anxiety-like behaviour, and gut microbiome composition.",,"mice lacking casp1, ifngr and nos2 genes exhibit altered depressive- and anxiety-like behaviour, and gut microbiome composition.",COMPARATIVE,"Inserra A, Choo JM, Lewis MD, Rogers GB, Wong ML, Licinio J,",*Scientific reports*,"* [Mice lacking Casp1, Ifngr and Nos2 genes exhibit altered depressive- and anxiety-like behaviour, and gut microbiome composition.](https://www.ncbi.nlm.nih.gov/pubmed/31015500)"
investigating the reciprocal relationships between locomotor sensitization to ethanol and ptsd-like clusters in dba/2j mice.,mice post-traumatic stress disorder sensitization to ethanol,investigating the reciprocal relationships between locomotor sensitization to ethanol and ptsd-like clusters in dba/2j mice.,COMPARATIVE,"Matonda-Ma-Nzuzi T, Didone V, Seutin V, Tirelli E, Quertemont E,",*Behavioural brain research*,* [Investigating the reciprocal relationships between locomotor sensitization to ethanol and PTSD-like clusters in DBA/2J mice.](https://www.ncbi.nlm.nih.gov/pubmed/30986492)
aging circadian rhythms and cannabinoids.,advanced age cannabis chronobiotic chronopharmacology circadian rhythm cognition endocannabinoid hormesis,aging circadian rhythms and cannabinoids.,COMPARATIVE,"Hodges EL, Ashpole NM,",*Neurobiology of aging*,* [Aging circadian rhythms and cannabinoids.](https://www.ncbi.nlm.nih.gov/pubmed/31035036)
