title,topic,pred_val,authors,journal,links,full_title
responses cellular adhesion strength stiffness fluid shear stress tumor cell rolling motion,CELLULAR/SUBCELLULAR,99.36122298240662,"Li W, Mao S, Khan M, Zhang Q, Huang Q, Feng S, Lin JM,",*ACS sensors*,* [Responses of cellular adhesion strength and stiffness to fluid shear stress during tumor cell rolling motion.](https://www.ncbi.nlm.nih.gov/pubmed/31094503),Responses of cellular adhesion strength and stiffness to fluid shear stress during tumor cell rolling motion.
effect riluzole memantine learning deficit following quinpirole sensitization animal model obsessive compulsive disorder,CELLULAR/SUBCELLULAR,98.90339374542236,"Janikova M, Brozka H, Radostova D, Svoboda J, Stuchlik A,",*Physiology & behavior*,* [No effect of riluzole and memantine on learning deficit following quinpirole sensitization - An animal model of obsessive-compulsive disorder.](https://www.ncbi.nlm.nih.gov/pubmed/30826389),No effect of riluzole and memantine on learning deficit following quinpirole sensitization - An animal model of obsessive-compulsive disorder.
synaptic microtubule associated protein eb3 src phosphorylation mediate structural behavioral adaptations withdrawal cocaine self administration,CELLULAR/SUBCELLULAR,83.8582456111908,"Calipari ES, Godino A, Salery M, Damez-Werno DM, Cahill ME, Werner CT, Gancarz AM, Peck EG, Jlayer Z, Rabkin J, Landry JA, Smith ACW, Defilippi P, Kenny PJ, Hurd YL, Neve RL, Dietz DM, Nestler EJ,",*The Journal of neuroscience : the official journal of the Society for Neuroscience*,* [Synaptic microtubule-associated protein EB3 and SRC phosphorylation mediate structural and behavioral adaptations during withdrawal from cocaine self-administration.](https://www.ncbi.nlm.nih.gov/pubmed/31092585),Synaptic microtubule-associated protein EB3 and SRC phosphorylation mediate structural and behavioral adaptations during withdrawal from cocaine self-administration.
shear sound light sensitive nanoparticles thrombolytic drug delivery,CELLULAR/SUBCELLULAR,37.68268823623657,"Qu S, Ding X,",*Seminars in thrombosis and hemostasis*,"* [Shear-, Sound-, and Light-Sensitive Nanoparticles for Thrombolytic Drug Delivery.](https://www.ncbi.nlm.nih.gov/pubmed/31096310)","Shear-, Sound-, and Light-Sensitive Nanoparticles for Thrombolytic Drug Delivery."
ontogenetic allometry architectural properties paravertebral hindlimb musculature eastern cottontail rabbits sylvilagus floridanus functional implications developmental changes locomotor performance,COMPARATIVE,84.42561626434326,"Butcher MT, Rose JA, Glenn ZD, Tatomirovich NM, Russo GA, Foster AD, Smith GA, Young JW,",*Journal of anatomy*,* [Ontogenetic allometry and architectural properties of the paravertebral and hindlimb musculature in Eastern cottontail rabbits (Sylvilagus floridanus): functional implications for developmental changes in locomotor performance.](https://www.ncbi.nlm.nih.gov/pubmed/31099418),Ontogenetic allometry and architectural properties of the paravertebral and hindlimb musculature in Eastern cottontail rabbits (Sylvilagus floridanus): functional implications for developmental changes in locomotor performance.
ontogenetic scaling patterns lizard skin surface structure revealed gel based stereo profilometry,COMPARATIVE,95.86795568466187,"Baeckens S, Wainwright DK, Weaver JC, Irschick DJ, Losos JB,",*Journal of anatomy*,* [Ontogenetic scaling patterns of lizard skin surface structure as revealed by gel-based stereo-profilometry.](https://www.ncbi.nlm.nih.gov/pubmed/31099429),Ontogenetic scaling patterns of lizard skin surface structure as revealed by gel-based stereo-profilometry.
static allometry sexually selected traits variable importance function,COMPARATIVE,64.46570754051208,"Rodríguez RL, Eberhard WG,",*Integrative and comparative biology*,* [Why the static allometry of sexually-selected traits is so variable: the importance of function.](https://www.ncbi.nlm.nih.gov/pubmed/31086950),Why the static allometry of sexually-selected traits is so variable: the importance of function.
effects self locomotion activity place cells hippocampus freely behaving monkey,COMPARATIVE,30.44714629650116,"Hazama Y, Tamura R,",*Neuroscience letters*,* [Effects of self-locomotion on the activity of place cells in the hippocampus of a freely behaving monkey.](https://www.ncbi.nlm.nih.gov/pubmed/30738872),Effects of self-locomotion on the activity of place cells in the hippocampus of a freely behaving monkey.
protective effects dipsacus asper polysaccharide osteoporosis vivo regulating rankl rank opg vegf pi3k akt enos pathway,COMPARATIVE,41.175320744514465,"Sun X, Wei B, Peng Z, Fu Q, Wang C, Zhen J, Sun J,",*International journal of biological macromolecules*,* [Protective effects of Dipsacus asper polysaccharide on osteoporosis in vivo by regulating RANKL/RANK/OPG/VEGF and PI3K/Akt/eNOS pathway.](https://www.ncbi.nlm.nih.gov/pubmed/30735778),Protective effects of Dipsacus asper polysaccharide on osteoporosis in vivo by regulating RANKL/RANK/OPG/VEGF and PI3K/Akt/eNOS pathway.
biology multiciliated cells,COMPARATIVE,37.873438000679016,"Boutin C, Kodjabachian L,",*Current opinion in genetics & development*,* [Biology of multiciliated cells.](https://www.ncbi.nlm.nih.gov/pubmed/31102978),Biology of multiciliated cells.
scaling adult human bone skeletal muscle mass height us population,COMPARATIVE,58.08362364768982,"Heymsfield SB, Hwaung P, Ferreyro-Bravo F, Heo M, Thomas DM, Schuna JM,",*American journal of human biology : the official journal of the Human Biology Council*,* [Scaling of adult human bone and skeletal muscle mass to height in the US population.](https://www.ncbi.nlm.nih.gov/pubmed/31087593),Scaling of adult human bone and skeletal muscle mass to height in the US population.
small size confer male agility advantages sexually size dimorphic spider,COMPARATIVE,66.41428470611572,"Quiñones-Lebrón SG, Gregorič M, Kuntner M, Kralj-Fišer S,",*PloS one*,* [Small size does not confer male agility advantages in a sexually-size dimorphic spider.](https://www.ncbi.nlm.nih.gov/pubmed/31091246),Small size does not confer male agility advantages in a sexually-size dimorphic spider.
multidisciplinary approach unique palaeolithic human ichnological record italy bàsura cave,EVOLUTION/ANTHROPOLOGY,70.05652785301208,"Romano M, Citton P, Salvador I, Arobba D, Rellini I, Firpo M, Negrino F, Zunino M, Starnini E, Avanzini M,",*eLife*,* [A multidisciplinary approach to a unique Palaeolithic human ichnological record from Italy (Bàsura Cave).](https://www.ncbi.nlm.nih.gov/pubmed/31084704),A multidisciplinary approach to a unique Palaeolithic human ichnological record from Italy (Bàsura Cave).
multifactorial nature beak skull shape evolution parrots cockatoos psittaciformes,EVOLUTION/ANTHROPOLOGY,88.95067572593689,"Bright JA, Marugán-Lobón J, Rayfield EJ, Cobb SN,",*BMC evolutionary biology*,* [The multifactorial nature of beak and skull shape evolution in parrots and cockatoos (Psittaciformes).](https://www.ncbi.nlm.nih.gov/pubmed/31101003),The multifactorial nature of beak and skull shape evolution in parrots and cockatoos (Psittaciformes).
bone histomorphometric measures physical activity children medieval england,EVOLUTION/ANTHROPOLOGY,46.356457471847534,"Pitfield R, Deter C, Mahoney P,",*American journal of physical anthropology*,* [Bone histomorphometric measures of physical activity in children from medieval England.](https://www.ncbi.nlm.nih.gov/pubmed/31087660),Bone histomorphometric measures of physical activity in children from medieval England.
trabecular architecture humeral metaphyses non avian reptiles crocodylia squamata testudines lifestyle allometry phylogeny,EVOLUTION/ANTHROPOLOGY,64.02854919433594,"Plasse M, Amson E, Bardin J, Grimal Q, Germain D,",*Journal of morphology*,"* [Trabecular architecture in the humeral metaphyses of non-avian reptiles (Crocodylia, Squamata and Testudines): Lifestyle, allometry and phylogeny.](https://www.ncbi.nlm.nih.gov/pubmed/31090239)","Trabecular architecture in the humeral metaphyses of non-avian reptiles (Crocodylia, Squamata and Testudines): Lifestyle, allometry and phylogeny."
metacarpal trabecular bone varies distinct hand positions used hominid locomotion,EVOLUTION/ANTHROPOLOGY,89.66416716575623,"Dunmore CJ, Kivell TL, Bardo A, Skinner MM,",*Journal of anatomy*,* [Metacarpal trabecular bone varies with distinct hand-positions used in hominid locomotion.](https://www.ncbi.nlm.nih.gov/pubmed/31099419),Metacarpal trabecular bone varies with distinct hand-positions used in hominid locomotion.
torsion torsional development lower extremities,GAIT/LOCOMOTION,16.264113783836365,"Grisch D, Dreher T,",*Der Orthopade*,* [Torsion and torsional development of the lower extremities]](https://www.ncbi.nlm.nih.gov/pubmed/31089774),[Torsion and torsional development of the lower extremities].
spring loaded inverted pendulum goes two contraction extension cycles single support phase walking,GAIT/LOCOMOTION,63.332176208496094,"Antoniak G, Biswas T, Cortes N, Sikdar S, Chun C, Bhandawat V,",*Biology open*,* [Spring-loaded inverted pendulum goes through two contraction-extension cycles during the single support phase of walking.](https://www.ncbi.nlm.nih.gov/pubmed/31097445),Spring-loaded inverted pendulum goes through two contraction-extension cycles during the single support phase of walking.
effects simulated knee arthrodesis gait kinematics kinetics,GAIT/LOCOMOTION,93.46352815628052,"Hutchison RE, Lucas EM, Marro J, Gambon T, Bruneau KN, DesJardins JD,","*Proceedings of the Institution of Mechanical Engineers. Part H, Journal of engineering in medicine*",* [The effects of simulated knee arthrodesis on gait kinematics and kinetics.](https://www.ncbi.nlm.nih.gov/pubmed/31090486),The effects of simulated knee arthrodesis on gait kinematics and kinetics.
similarities differences gait patterns women men parkinson disease mild disability,GAIT/LOCOMOTION,84.27556157112122,"Porta M, Pilloni G, Arippa F, Casula C, Cossu G, Pau M,",*Archives of physical medicine and rehabilitation*,* [Similarities And Differences Of Gait Patterns In Women And Men With Parkinson's Disease With Mild Disability.](https://www.ncbi.nlm.nih.gov/pubmed/31103431),Similarities And Differences Of Gait Patterns In Women And Men With Parkinson's Disease With Mild Disability.
molecular response rabbit menisci surgically induced hemarthrosis single intra articular dexamethasone treatment,JOINT/CARTILAGE,47.677433490753174,"Heard BJ, Barton KI, Agbojo OM, Chung M, Sevick JL, Bader TJ, Martin CR, Shrive NG, Hart DA,",*Journal of orthopaedic research : official publication of the Orthopaedic Research Society*,* [Molecular Response of Rabbit Menisci to Surgically Induced Hemarthrosis and a Single Intra-Articular Dexamethasone Treatment.](https://www.ncbi.nlm.nih.gov/pubmed/31095777),Molecular Response of Rabbit Menisci to Surgically Induced Hemarthrosis and a Single Intra-Articular Dexamethasone Treatment.
development pre clinical experimental simulation model natural porcine knee appropriate ligamentous constraints,JOINT/CARTILAGE,29.338061809539795,"Liu A, Ingham E, Fisher J, Jennings LM,",*PloS one*,* [Development of a pre-clinical experimental simulation model of the natural porcine knee with appropriate ligamentous constraints.](https://www.ncbi.nlm.nih.gov/pubmed/31086417),Development of a pre-clinical experimental simulation model of the natural porcine knee with appropriate ligamentous constraints.
multivariate relationship kinematic clinical parameters knee osteoarthritis population,JOINT/CARTILAGE,79.92448806762695,"Bensalma F, Mezghani N, Ouakrim Y, Fuentes A, Choinière M, Bureau NJ, Durand M, Hagemeister N,",*Biomedical engineering online*,* [A multivariate relationship between the kinematic and clinical parameters of knee osteoarthritis population.](https://www.ncbi.nlm.nih.gov/pubmed/31092260),A multivariate relationship between the kinematic and clinical parameters of knee osteoarthritis population.
resonant frequency skin stretch wearable haptics,METHODS,37.85507082939148,"Shull PB, Tan T, Culbertson HM, Zhu X, Okamura A,",*IEEE transactions on haptics*,* [Resonant Frequency Skin Stretch for Wearable Haptics.](https://www.ncbi.nlm.nih.gov/pubmed/31095499),Resonant Frequency Skin Stretch for Wearable Haptics.
body integrated self powered system wearable implantable applications,METHODS,88.8347327709198,"Shi B, Liu Z, Zheng Q, Meng J, Ouyang H, Zou Y, Jiang D, Qu X, Yu M, Zhao L, Fan Y, Wang ZL, Li Z,",*ACS nano*,* [Body-Integrated Self-Powered System for Wearable and Implantable Applications.](https://www.ncbi.nlm.nih.gov/pubmed/31083973),Body-Integrated Self-Powered System for Wearable and Implantable Applications.
smartphone freely available application new tool record locomotor activity rhythm large mammals humans,METHODS,53.59809994697571,"El Allali K, Farsi H, Piro M, Rachid Achaâban M, Ouassat M, Challet E, Pévet P,",*Chronobiology international*,* [Smartphone and a freely available application as a new tool to record locomotor activity rhythm in large mammals and humans.](https://www.ncbi.nlm.nih.gov/pubmed/31088178),Smartphone and a freely available application as a new tool to record locomotor activity rhythm in large mammals and humans.
assembly modern mammal community structure driven late cretaceous dental evolution rise flowering plants dinosaur demise,MODELING,22.4332332611084,"Chen M, Strömberg CAE, Wilson GP,",*Proceedings of the National Academy of Sciences of the United States of America*,"* [Assembly of modern mammal community structure driven by Late Cretaceous dental evolution, rise of flowering plants, and dinosaur demise.](https://www.ncbi.nlm.nih.gov/pubmed/31036651)","Assembly of modern mammal community structure driven by Late Cretaceous dental evolution, rise of flowering plants, and dinosaur demise."
phospho code determining circadian feedback loop closure output neurospora,NEURAL,41.437456011772156,"Wang B, Kettenbach AN, Zhou X, Loros JJ, Dunlap JC,",*Molecular cell*,* [The Phospho-Code Determining Circadian Feedback Loop Closure and Output in Neurospora.](https://www.ncbi.nlm.nih.gov/pubmed/30954403),The Phospho-Code Determining Circadian Feedback Loop Closure and Output in Neurospora.
toxin mptp generates similar cognitive locomotor deficits htau tau knock mice,NEURAL,76.0770857334137,"Gratuze M, Josset N, Petry FR, Pflieger M, Eyoum Jong L, Truchetti G, Poitras I, Julien J, Bezeau F, Morin F, Samadi P, Cicchetti F, Bretzner F, Planel E,",*Brain research*,* [The toxin MPTP generates similar cognitive and locomotor deficits in hTau and tau knock-out mice.](https://www.ncbi.nlm.nih.gov/pubmed/30641037),The toxin MPTP generates similar cognitive and locomotor deficits in hTau and tau knock-out mice.
template free synthesis selective filling janus nanocups,NEURAL,95.56741714477539,"Qiang X, Steinhaus A, Chen C, Chakroun R, Gröschel AH,",*Angewandte Chemie (International ed. in English)*,* [Template-Free Synthesis and Selective Filling of Janus Nanocups.](https://www.ncbi.nlm.nih.gov/pubmed/30680872),Template-Free Synthesis and Selective Filling of Janus Nanocups.
low concentrations lactobacillus rhamnosus gg yoba sup ® sup safe male drosophila melanogaster,NEURAL,18.851391971111298,"Kasozi KI, Bukenya A, Eze ED, Kasolo J, Tayebwa DS, Ssempijja F, Suubo J, Tamale A, Echoru I, Ntulume I, Onkoba SK, Micheni LN, Ayikobua ET, Asiimwe OH, Kalange M,",*BMC research notes*,* [Low concentrations of Lactobacillus rhamnosus GG (Yoba<sup>®</sup>) are safe in male Drosophila melanogaster.](https://www.ncbi.nlm.nih.gov/pubmed/31088517),Low concentrations of Lactobacillus rhamnosus GG (Yoba<sup>®</sup>) are safe in male Drosophila melanogaster.
behavioral metabolic effects adenosylmethionine imipramine flinders sensitive line rat model depression,NEURAL,96.6412901878357,"Tillmann S, Happ DF, Mikkelsen PF, Geisel J, Wegener G, Obeid R,",*Behavioural brain research*,* [Behavioral and metabolic effects of S-adenosylmethionine and imipramine in the Flinders Sensitive Line rat model of depression.](https://www.ncbi.nlm.nih.gov/pubmed/30738101),Behavioral and metabolic effects of S-adenosylmethionine and imipramine in the Flinders Sensitive Line rat model of depression.
synergistic effects pb repeated heat pulse developmental neurotoxicity zebrafish,NEURAL,53.57852578163147,"Jin M, Ji X, Zhang B, Sheng W, Wang R, Liu K,",*Ecotoxicology and environmental safety*,* [Synergistic effects of Pb and repeated heat pulse on developmental neurotoxicity in zebrafish.](https://www.ncbi.nlm.nih.gov/pubmed/30738228),Synergistic effects of Pb and repeated heat pulse on developmental neurotoxicity in zebrafish.
effects gaba leptin receptor expressing neurons lateral hypothalamus feeding locomotion thermogenesis,NEURAL,74.81045722961426,"de Vrind VAJ, Rozeboom A, Wolterink-Donselaar IG, Luijendijk-Berg MCM, Adan RAH,","*Obesity (Silver Spring, Md.)*","* [Effects of GABA and Leptin Receptor-Expressing Neurons in the Lateral Hypothalamus on Feeding, Locomotion, and Thermogenesis.](https://www.ncbi.nlm.nih.gov/pubmed/31087767)","Effects of GABA and Leptin Receptor-Expressing Neurons in the Lateral Hypothalamus on Feeding, Locomotion, and Thermogenesis."
voluntary involuntary forced exercises almost equally reverse behavioral impairment regulating hippocampal neurotrophic factors oxidative stress experimental alzheimer disease model,NEURAL,62.0740532875061,"Belviranlı M, Okudan N,",*Behavioural brain research*,"* [Voluntary, involuntary and forced exercises almost equally reverse behavioral impairment by regulating hippocampal neurotrophic factors and oxidative stress in experimental Alzheimer's disease model.](https://www.ncbi.nlm.nih.gov/pubmed/30790584)","Voluntary, involuntary and forced exercises almost equally reverse behavioral impairment by regulating hippocampal neurotrophic factors and oxidative stress in experimental Alzheimer's disease model."
antipsychotic like effects clozapine c57bl 6 mice exposed cuprizone decreased glial activation,NEURAL,59.76788401603699,"Chang H, Wei Y, Chen Y, Du L, Cong H, Zhang X, Geng X, Yin L,",*Behavioural brain research*,* [The antipsychotic-like effects of clozapine in C57BL/6 mice exposed to cuprizone: Decreased glial activation.](https://www.ncbi.nlm.nih.gov/pubmed/30772428),The antipsychotic-like effects of clozapine in C57BL/6 mice exposed to cuprizone: Decreased glial activation.
ellagic acid protects diabetes associated behavioral deficits rats possible involved mechanisms,NEURAL,47.99371361732483,"Farbood Y, Rashno M, Ghaderi S, Khoshnam SE, Sarkaki A, Rashidi K, Rashno M, Badavi M,",*Life sciences*,* [Ellagic acid protects against diabetes-associated behavioral deficits in rats: Possible involved mechanisms.](https://www.ncbi.nlm.nih.gov/pubmed/30943382),Ellagic acid protects against diabetes-associated behavioral deficits in rats: Possible involved mechanisms.
behavioral consequences simultaneous postnatal exposure mk 801 static magnetic field male wistar rats,NEURAL,79.07931208610535,"Saeedi Goraghani M, Ahmadi-Zeidabadi M, Bakhshaei S, Shabani M, Ghotbi Ravandi S, Rezaei Zarchi S, Nozari M,",*Neuroscience letters*,* [Behavioral consequences of simultaneous postnatal exposure to MK-801 and static magnetic field in male Wistar rats.](https://www.ncbi.nlm.nih.gov/pubmed/30790646),Behavioral consequences of simultaneous postnatal exposure to MK-801 and static magnetic field in male Wistar rats.
anxiolytic antidepressant effects acpa harmaline co treatment,NEURAL,89.90031480789185,"Ebrahimi-Ghiri M, Nasehi M, Zarrindast MR,",*Behavioural brain research*,* [Anxiolytic and antidepressant effects of ACPA and harmaline co-treatment.](https://www.ncbi.nlm.nih.gov/pubmed/30797851),Anxiolytic and antidepressant effects of ACPA and harmaline co-treatment.
maternal feeding associated post weaning diet affects metabolic behavioral parameters female offspring,NEURAL,72.97287583351135,"Fisch J, Feistauer V, de Moura AC, Silva AO, Bollis V, Porawski M, Almeida S, Guedes RP, Barschak AG, Giovenardi M,",*Physiology & behavior*,* [Maternal feeding associated to post-weaning diet affects metabolic and behavioral parameters in female offspring.](https://www.ncbi.nlm.nih.gov/pubmed/30802509),Maternal feeding associated to post-weaning diet affects metabolic and behavioral parameters in female offspring.
controlled cortical impact leads cognitive motor function deficits correspond cellular pathology piglet traumatic brain injury model,NEURAL,84.68893766403198,"Kinder HA, Baker EW, Howerth EW, Duberstein KJJ, West FD,",*Journal of neurotrauma*,* [Controlled cortical impact leads to cognitive and motor function deficits that correspond to cellular pathology in a piglet traumatic brain injury model.](https://www.ncbi.nlm.nih.gov/pubmed/31084390),Controlled cortical impact leads to cognitive and motor function deficits that correspond to cellular pathology in a piglet traumatic brain injury model.
traumatic brain injury results dynamic brain structure changes leading acute chronic motor function deficits pediatric piglet model,NEURAL,63.0088746547699,"Kinder HA, Baker EW, Wang S, Fleischer CC, Howerth EW, Duberstein KJJ, Mao H, Platt SR, West FD,",*Journal of neurotrauma*,* [Traumatic Brain Injury Results in Dynamic Brain Structure Changes Leading to Acute and Chronic Motor Function Deficits in a Pediatric Piglet Model.](https://www.ncbi.nlm.nih.gov/pubmed/31084386),Traumatic Brain Injury Results in Dynamic Brain Structure Changes Leading to Acute and Chronic Motor Function Deficits in a Pediatric Piglet Model.
prenatal treatment methylazoxymethanol acetate neurodevelopmental disruption model schizophrenia mice,NEURAL,47.388917207717896,"Takahashi K, Nakagawasai O, Sakuma W, Nemoto W, Odaira T, Lin JR, Onogi H, Srivastava LK, Tan-No K,",*Neuropharmacology*,* [Prenatal treatment with methylazoxymethanol acetate as a neurodevelopmental disruption model of schizophrenia in mice.](https://www.ncbi.nlm.nih.gov/pubmed/30831160),Prenatal treatment with methylazoxymethanol acetate as a neurodevelopmental disruption model of schizophrenia in mice.
mechanical characterization mesoscale indentation advantages pitfalls tissue scaffolds,NEURAL,73.47927689552307,"Rubiano A, Galitz C, Simmons CS,","*Tissue engineering. Part C, Methods*",* [Mechanical Characterization by Mesoscale Indentation: Advantages and Pitfalls for Tissue and Scaffolds.](https://www.ncbi.nlm.nih.gov/pubmed/30848168),Mechanical Characterization by Mesoscale Indentation: Advantages and Pitfalls for Tissue and Scaffolds.
n acetylcysteine attenuates neuroinflammation associated depressive behavior induced chronic unpredictable mild stress rat,NEURAL,91.83374047279358,"Fernandes J, Gupta GL,",*Behavioural brain research*,* [N-acetylcysteine attenuates neuroinflammation associated depressive behavior induced by chronic unpredictable mild stress in rat.](https://www.ncbi.nlm.nih.gov/pubmed/30772427),N-acetylcysteine attenuates neuroinflammation associated depressive behavior induced by chronic unpredictable mild stress in rat.
synergistic nigral output pathways shape movement,NEURAL,95.64163088798523,"Rizzi G, Tan KR,",*Cell reports*,* [Synergistic Nigral Output Pathways Shape Movement.](https://www.ncbi.nlm.nih.gov/pubmed/31091455),Synergistic Nigral Output Pathways Shape Movement.
algorithm detection correction pelvic tilt total hip replacement,NEURAL,11.571284383535385,"Bono OJ, Aghazadeh MS, Bono JV,",*Surgical technology international*,* [An Algorithm for Detection and Correction of Pelvic Tilt in Total Hip Replacement.](https://www.ncbi.nlm.nih.gov/pubmed/30388723),An Algorithm for Detection and Correction of Pelvic Tilt in Total Hip Replacement.
exaggerated pressor sympathetic responses stimulation mesencephalic locomotor region exercise pressor reflex type ii diabetic rats,NEURAL,73.64039421081543,"Kim HK, Hotta N, Ishizawa R, Iwamoto GA, Vongpatanasin W, Mitchell JH, Smith SA, Mizuno M,","*American journal of physiology. Regulatory, integrative and comparative physiology*",* [Exaggerated pressor and sympathetic responses to stimulation of the mesencephalic locomotor region and exercise pressor reflex in type II diabetic rats.](https://www.ncbi.nlm.nih.gov/pubmed/31091155),Exaggerated pressor and sympathetic responses to stimulation of the mesencephalic locomotor region and exercise pressor reflex in type II diabetic rats.
paternal nicotine exposure rats produces long lasting neurobehavioral effects offspring,NEURAL,40.785419940948486,"Hawkey AB, White H, Pippen E, Greengrove E, Rezvani AH, Murphy SK, Levin ED,",*Neurotoxicology and teratology*,* [Paternal nicotine exposure in rats produces long-lasting neurobehavioral effects in the offspring.](https://www.ncbi.nlm.nih.gov/pubmed/31103693),Paternal nicotine exposure in rats produces long-lasting neurobehavioral effects in the offspring.
anxiolytic like effects pue,NEURAL,76.5312671661377,"Su AS, Zhang JW, Zou J,",*Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie*,* [The anxiolytic-like effects of pue.](https://www.ncbi.nlm.nih.gov/pubmed/31102911),The anxiolytic-like effects of pue.
pharmacological identification cholinergic receptor subtypes modulation locomotion neural circuit excitability drosophila larvae,NEURAL,99.63655471801758,"Malloy CA, Somasundaram E, Omar A, Bhutto U, Medley M, Dzubuk N, Cooper RL,",*Neuroscience*,* [Pharmacological identification of cholinergic receptor subtypes: modulation of locomotion and neural circuit excitability in Drosophila larvae.](https://www.ncbi.nlm.nih.gov/pubmed/31102763),Pharmacological identification of cholinergic receptor subtypes: modulation of locomotion and neural circuit excitability in Drosophila larvae.
