,title,topic,pred_val,authors,journal,links,full_title,abstract,new_topic
10,effects femoral bone defect morphology initial polished tapered stem stability massive defect model biomechanical,BONE,42.5% BONE; 34.3% ORTHOPAEDICS/SURGERY; 5.8% TISSUE/BIOMATERIAL,"Irie T, Takahashi D, Asano T, Shimizu T, Arai R, Terkawi AM, Ito YM, Iwasaki N,",*BMC musculoskeletal disorders*,* [Effects of femoral bone defect morphology on initial polished tapered stem stability in massive defect model: a biomechanical study.](https://www.ncbi.nlm.nih.gov/pubmed/31370807),Effects of femoral bone defect morphology on initial polished tapered stem stability in massive defect model: a biomechanical study.,"Good outcomes have been reported in revision total hip replacement with massive segmental defects using impaction bone grafting with circumferential metal meshes. However, the morphology of defects that require a mesh is poorly defined. The purpose of this study was to evaluate the effects of a variety of segmental defects on load transmission to the proximal femur under both axial and rotational loads.",BONE
11,numerical investigation role osteopontin mechanical strength biological composites,BONE,37.8% BONE; 25.1% TISSUE/BIOMATERIAL; 9.8% MODELING,"Lai ZB,",*Computer methods in biomechanics and biomedical engineering*,* [Numerical investigation of the role of osteopontin on the mechanical strength of biological composites.](https://www.ncbi.nlm.nih.gov/pubmed/31370709),Numerical investigation of the role of osteopontin on the mechanical strength of biological composites.,"The material components and configurations inside biological materials (e.g. bone and tooth) are quite dissimilar compared to conventional engineering materials. Besides hydroxyapatite minerals and collagen proteins, non-collagenous proteins such as osteopontin are also a very important component in bone. The aim of this paper is to study the role of osteopontin on the mechanical strength of biological composites. The MD simulations were performed to investigate the failure energy of osteopontin in two different directions, i.e. the direction normal to surface (thickness direction) and the direction tangential to surface (interface direction). The FE simulations were then performed to investigate the effects of failure energy in different directions on biological composites. The results show that the failure energy of osteopontin is higher in the interface direction. Significant improvement in the mechanical behaviour of biological composites is also found with the increased failure energy in the interface direction. Contrarily, although lower failure energy of osteopontin is observed in the thickness direction, but it is also found that the mechanical behaviour of biological composites does not greatly affected by the failure energy in the thickness direction. The numerical investigation provides important insights into how the osteopontin affects the mechanical behaviour of biological composites.",BONE
12,human action sounds elicit sensorimotor activation early life,BONE,58.9% BONE; 16.0% MODELING; 7.2% ORTHOPAEDICS/SURGERY,"Quadrelli E, Geangu E, Turati C,",*Cortex; a journal devoted to the study of the nervous system and behavior*,* [Human action sounds elicit sensorimotor activation early in life.](https://www.ncbi.nlm.nih.gov/pubmed/31200126),Human action sounds elicit sensorimotor activation early in life.,"In human adults the auditory representation of others' actions is capable to activate specific areas of the motor and premotor cortices. Here, we examined the early origins of the neural processing of action sounds to investigate whether and how infants rely on auditory information to understand their close social environment. Sensorimotor activity, as indexed by μ rhythm suppression, was measured using electroencephalography in 14-month-old infants who listened to hand- and foot-produced action sounds (i.e., footsteps and clapping) and to mechanical sounds (i.e., blender). Footstep sounds elicited activation at midline electrodes over the foot area (Cz), and not in correspondence of lateralized clusters over the hand areas (C3 and C4). Greater activation in response to clapping compared to blender and footstep sounds was recorded at electrodes in the left central cluster, over the hand sensorimotor cortex (i.e., C3), but extended to some extent over the midline electrode cluster. Furthermore, our results underscore the role of natural locomotor experience in shaping sensorimotor activation, since infants who gained more walking experience exhibited stronger sensorimotor activation for footstep sounds over left central electrodes. Taken together, current results provide the first evidence that action sounds produced by another person are capable to elicit sensorimotor activation during infancy.",BONE
13,injectable cellulose based hydrogels nucleus pulposus replacements assessment vitro structural stability ex vivo herniation risk vivo biocompatibility,BONE,99.9% BONE; 0.0% TISSUE/BIOMATERIAL; 0.0% ORTHOPAEDICS/SURGERY,"Lin HA, Varma DM, Hom WW, Cruz MA, Nasser PR, Phelps RG, Iatridis JC, Nicoll SB,",*Journal of the mechanical behavior of biomedical materials*,"* [Injectable cellulose-based hydrogels as nucleus pulposus replacements: Assessment of in vitro structural stability, ex vivo herniation risk, and in vivo biocompatibility.](https://www.ncbi.nlm.nih.gov/pubmed/31054515)","Injectable cellulose-based hydrogels as nucleus pulposus replacements: Assessment of in vitro structural stability, ex vivo herniation risk, and in vivo biocompatibility.","Current treatments for intervertebral disc degeneration and herniation are palliative only and cannot restore disc structure and function. Nucleus pulposus (NP) replacements are a promising strategy for restoring disc biomechanics and height loss. Cellulose-based hydrogel systems offer potential for NP replacement since they are stable, non-toxic, may be tuned to match NP material properties, and are conducive to cell or drug delivery. A crosslinked, carboxymethylcellulose-methylcellulose dual-polymer hydrogel was recently formulated as an injectable NP replacement that gelled in situ and restored disc height and compressive biomechanical properties. The objective of this study was to investigate the translational potential of this hydrogel system by examining the long-term structural stability in vitro, the herniation risk and fatigue bending endurance in a bovine motion segment model, and the in vivo biocompatibility in a rat subcutaneous pouch model. Results showed that the hydrogels maintained their structural integrity over a 12-week period. AF injury significantly increased herniation risk and reduced fatigue bending endurance in bovine motion segments. Samples repaired with cellulosic hydrogels demonstrated restored height and exhibited herniation risk and fatigue endurance comparable to samples that underwent the current standard treatment of nucleotomy. Lastly, injected hydrogels elicited a minimal foreign body response as determined by analysis of fibrous capsule development and macrophage presence over 12 weeks. Overall, this injectable cellulosic hydrogel system is a promising candidate as an NP substitute. Further assessment and optimization of this cellulosic hydrogel system in an in vivo intradiscal injury model may lead to an improved clinical solution for disc degeneration and herniation.",TISSUE/BIOMATERIAL
14,structural characterization osteoprotective effects polysaccharide purified achyranthes bidentata,BONE,97.7% BONE; 1.1% TISSUE/BIOMATERIAL; 0.4% CELLULAR/SUBCELLULAR,"Zhang D, Wang C, Hou X, Yan C,",*International journal of biological macromolecules*,* [Structural characterization and osteoprotective effects of a polysaccharide purified from Achyranthes bidentata.](https://www.ncbi.nlm.nih.gov/pubmed/31381922),Structural characterization and osteoprotective effects of a polysaccharide purified from Achyranthes bidentata.,"Achyranthes bidentata has been traditionally used in China as a nature remedy for osteoporosis; however, little is known about the osteoprotective effects of its polysaccharides. The crude A. bidentata polysaccharide (AB70) was prepared by hot water extraction- ethanol precipitation method and a homogeneous fructan (ABW70-1) was purified from AB70 by ion-exchange and gel filtration column chromatography. Structural analysis indicated that ABW70-1 was composed of (2 → 1)-linked-β-d-fructofuranosyl (Fruf), (2 → 6)-linked-β-d-Fruf and (2 → 1,6)-linked-β-d-Fruf residues, and terminated with fructose and glucose residue. AB70 treatment for 13 weeks has shown a therapeutic effect on ovariectomized rats by restoring bone mineral content and biomechanical properties of the femur. Moreover, such osteoprotective effects of AB70 on bone mass were accompanied by improving trabecular bone microarchitecture and decreasing serum levels of bone turnover biomarkers. Furthermore, ABW70-1 stimulated the osteogenic differentiation of MC3T3-E1 cells by promoting cell proliferation, ALP activity, mineral nodules formation and the gene expression of Osx, Ocn and Bsp. These results suggest that A. bidentata polysaccharides have a great potential in the prevention and treatment of osteoporosis.",TISSUE/BIOMATERIAL
15,turning worm like robots geometry slip elimination suggests nonperiodic waves,CARDIOVASCULAR/CARDIOPULMONARY,98.2% CARDIOVASCULAR/CARDIOPULMONARY; 0.5% TISSUE/BIOMATERIAL; 0.2% MODELING,"Kandhari A, Wang Y, Chiel HJ, Daltorio KA,",*Soft robotics*,* [Turning in Worm-Like Robots: The Geometry of Slip Elimination Suggests Nonperiodic Waves.](https://www.ncbi.nlm.nih.gov/pubmed/31066633),Turning in Worm-Like Robots: The Geometry of Slip Elimination Suggests Nonperiodic Waves.,"Inspired by earthworms, soft robots have demonstrated locomotion using segments with coupled length-wise elongation and radial contraction. However, peristaltic turning has primarily been studied empirically. Surface-dependent slip, which results in frictional forces that deform the body segments, makes accurate models challenging and limited to a specific robot and environment. Here, instead of modeling <i>specific</i> surfaces and segments, we take a geometric approach to analyzing the constraints that result from elimination of slip for the <i>general</i> case of peristaltic locomotion. Thus, our abstract two-dimensional model applies to many different mechanical designs (e.g., fluidic actuation, origami, woven mesh). Specifically, we show how turning is limited by segment range of motion, which means that more than one wave will be required to completely reorient the body in an environment where slip is not possible. As a result, to eliminate slip, segments must undergo nonperiodic shape changes. By representing segments as isosceles trapezoids with reasonable ranges of motion, we can determine control waves that in simulation do not require slip. These waves follow from an initial ""reach"" (i.e., kinematic movement range) of the second segment. A strategy for choosing the second segment reach is proposed based on evaluating long-term turn stability. To demonstrate the value of the approach, we applied the nonperiodic waveform (NPW) to our earthworm-inspired soft robot, Compliant Modular Mesh Worm with Steering (CMMWorm-S). With the NPW, the robot slips less when compared with a naive periodic waveform, where each segment of the robot has the same kinematic reach of each wave, as indicated by the difference between predicted and actual body position over multiple waves. Using an NPW for turning, we observe a decrease in prediction error compared with a naive periodic waveform by 66%. Thus, while our model ignores many factors (inertial dynamics, radial deformation, surface forces), the resulting turn strategies can improve kinematic motion prediction for planning. The theoretical constraints on NPWs that eliminate slip during turning will help robot designers make application-specific design choices about body stiffness, frictional properties, body length, and degrees of freedom.",TISSUE/BIOMATERIAL
16,biomechanical modeling transcatheter aortic valve replacement stenotic bicuspid aortic valve deployments paravalvular leakage,CARDIOVASCULAR/CARDIOPULMONARY,99.3% CARDIOVASCULAR/CARDIOPULMONARY; 0.4% MODELING; 0.1% TISSUE/BIOMATERIAL,"Lavon K, Marom G, Bianchi M, Halevi R, Hamdan A, Morany A, Raanani E, Bluestein D, Haj-Ali R,",*Medical & biological engineering & computing*,* [Biomechanical modeling of transcatheter aortic valve replacement in a stenotic bicuspid aortic valve: deployments and paravalvular leakage.](https://www.ncbi.nlm.nih.gov/pubmed/31372826),Biomechanical modeling of transcatheter aortic valve replacement in a stenotic bicuspid aortic valve: deployments and paravalvular leakage.,Calcific aortic valve disease (CAVD) is characterized by stiffened aortic valve leaflets. Bicuspid aortic valve (BAV) is the most common congenital heart disease. Transcatheter aortic valve replacement (TAVR) is a treatment approach for CAVD where a stent with mounted bioprosthetic valve is deployed on the stenotic valve. Performing TAVR in calcified BAV patients may be associated with post-procedural complications due to the BAV asymmetrical structure. This study aims to develop refined computational models simulating the deployments of Evolut R and PRO TAVR devices in a representative calcified BAV. The paravalvular leakage (PVL) was also calculated by computational fluid dynamics simulations. Computed tomography scan of severely stenotic BAV patient was acquired. The 3D calcium deposits were generated and embedded inside a parametric model of the BAV. Deployments of the Evolut R and PRO inside the calcified BAV were simulated in five bioprosthesis leaflet orientations. The hypothesis of asymmetric and elliptic stent deployment was confirmed. Positioning the bioprosthesis commissures aligned with the native commissures yielded the lowest PVL (15.7 vs. 29.5 mL/beat). The Evolut PRO reduced the PVL in half compared with the Evolut R (15.7 vs. 28.7 mL/beat). The proposed biomechanical computational model could optimize future TAVR treatment in BAV patients. Graphical abstract.,TISSUE/BIOMATERIAL
17,toll like receptor 4 deficiency inhibition modulate survival neurofunctional outcome murine model cardiac arrest resuscitation,CARDIOVASCULAR/CARDIOPULMONARY,43.9% CARDIOVASCULAR/CARDIOPULMONARY; 11.7% CELLULAR/SUBCELLULAR; 9.6% NEURAL,"Bergt S, Grub A, Mueller M, Bajorat R, Barilar I, Vollmar B, Roesner JP, Wagner NM,",*PloS one*,* [Toll-like receptor 4 deficiency or inhibition does not modulate survival and neurofunctional outcome in a murine model of cardiac arrest and resuscitation.](https://www.ncbi.nlm.nih.gov/pubmed/31369614),Toll-like receptor 4 deficiency or inhibition does not modulate survival and neurofunctional outcome in a murine model of cardiac arrest and resuscitation.,Patients experiencing cardiac arrest (CA) and cardiopulmonary resuscitation (CPR) often die or suffer from severe neurological impairment. Post resuscitation syndrome is characterized by a systemic inflammatory response. Toll-like receptor 4 (TLR4) is a major mediator of inflammation and TLR4 has been implicated in the pathogenesis of post-resuscitation encephalopathy. The aim of this study was to evaluate whether TLR4 deficiency or inhibition can modulate survival and neurofunctional outcome after CA/CPR.,NEURAL
18,reconstruction mandibular bone defects using biphasic calcium phosphate bone substitutes simultaneous implant placement mini swine pilot vivo,CARDIOVASCULAR/CARDIOPULMONARY,97.7% CARDIOVASCULAR/CARDIOPULMONARY; 0.6% MODELING; 0.5% TISSUE/BIOMATERIAL,"Zhang Z, Wang P, Li X, Wang Y, Qin Z, Zhang C, Li J,","*Journal of biomedical materials research. Part B, Applied biomaterials*",* [Reconstruction of mandibular bone defects using biphasic calcium phosphate bone substitutes with simultaneous implant placement in mini-swine: A pilot in vivo study.](https://www.ncbi.nlm.nih.gov/pubmed/30576059),Reconstruction of mandibular bone defects using biphasic calcium phosphate bone substitutes with simultaneous implant placement in mini-swine: A pilot in vivo study.,"This study aimed to investigate implant osseointegration using a new strategy of biphasic calcium phosphate (BCP) bone substitutes with simultaneous implant placement in mandibular reconstruction. Additionally, the temporal transcriptional profile associated with the early biological processes during osseointegration was determined. BCP and hydroxyapatite (HA) bone substitutes with simultaneous implant placement were grafted into mandibular defects created in mini-swine. Radiographic, histological, and biochemical analyses were applied for evaluation of osseointegration effects at 4 months after the grafting procedure. Bone formation around the implant was assessed by the bone area percentage (BA%) and the bone-implant-contact percentage (BIC%). The biomechanical evaluation was performed by the implant pullout test and the removal torque test. Microarray technology was utilized for gene expression comparison analysis at day 14 postoperatively. Radiographic and histological observation indicated enhanced bone formation in the BCP group compared to the HA group. Histomorphometric analyses of BA% and BIC% as well as biochemical analyses of the maximal pull-out force and the ultimate shear strength were all significantly greater in the BCP group (p < 0.05). Transcriptional analysis at an early stage of osseointegration revealed that genes belonging to biological processes associated with cell proliferation, development, osteogenesis, angiogenesis, and neurogenesis as well as the osteogenesis-related TGF-β/BMP and WNT signaling pathways were upregulated in the BCP group. In conclusion, the reconstruction of mandibular defects using BCP with simultaneous implant placement resulted in superior osseointegration effects. A number of candidate genes that were differentially expressed may contribute to the superior osseointegration effects. © 2018 Wiley Periodicals, Inc. J Biomed Mater Res Part B: Appl Biomater 107B: 2071-2079, 2019.",TISSUE/BIOMATERIAL
19,performance begraft begraft stent grafts bridging devices fenestrated endovascular aneurysm repair vitro study,CARDIOVASCULAR/CARDIOPULMONARY,80.3% CARDIOVASCULAR/CARDIOPULMONARY; 7.2% TISSUE/BIOMATERIAL; 2.6% ORTHOPAEDICS/SURGERY,"Torsello GF, Herten M, Frank A, Müller M, Jung S, Torsello GB, Austermann M,",*Journal of endovascular therapy : an official journal of the International Society of Endovascular Specialists*,* [Performance of BeGraft and BeGraft+ Stent-Grafts as Bridging Devices for Fenestrated Endovascular Aneurysm Repair: An In Vitro Study.](https://www.ncbi.nlm.nih.gov/pubmed/31379276),Performance of BeGraft and BeGraft+ Stent-Grafts as Bridging Devices for Fenestrated Endovascular Aneurysm Repair: An In Vitro Study.,"<b>Purpose:</b> To investigate 2 generations of balloon-expandable covered stents as potential bridging devices using an in vitro model of stent-graft fenestrations. <b>Materials and Methods:</b> Twenty BeGraft and 20 BeGraft+ cobalt-chromium stents covered in expanded polytetrafluoroethylene (ePTFE) in 6- and 8-mm diameters were tested in sheets mimicking stent-graft fenestrations. Microscopy and radiography were employed to evaluate stent morphology after flaring. In vitro bench tests measured maximum pullout (perpendicular displacement) and the shear stress (axial displacement) forces needed to dislocate the stents. <b>Results:</b> No alteration of ePTFE coverage was detected in the flared stents. Digital radiography and computed tomography showed marked alteration of the stent geometry, which was more pronounced in the BeGraft group. No fractures were detected. Median (minimum-maximum) pullout forces for the 6-mm stent-grafts were 17.1 N (15.8-19.6) for the BeGraft device and 30.4 N (20.2-31.9) for the BeGraft+ device (p=0.006). Median (minimum-maximum) pullout forces for the 8-mm stent-grafts were 11.3 N (11-12.1) for the BeGraft device and 21.8 N (18.2-25.5) for the BeGraft+ device (p<0.001). The shear stress test showed median forces of 10.5 vs 15.28 N at 150% of the stent diameter for the 6-mm BeGraft and BeGraft+ stent-grafts, respectively, and 15.23 vs 20.72 N at 150% stent diameter for the 8-mm models (p=0.016 and 0.017, respectively). <b>Conclusion:</b> Flaring changed the stent geometry but did not provoke stent fractures. The BeGraft+ is superior to the BeGraft in terms of pullout and shear stress forces, demonstrating greater resilience.",
20,dorsal extrinsic ligament injury static scapholunate diastasis magnetic resonance imaging scans,CARDIOVASCULAR/CARDIOPULMONARY,98.8% CARDIOVASCULAR/CARDIOPULMONARY; 0.9% TISSUE/BIOMATERIAL; 0.0% METHODS,"Özkan S, Kheterpal A, Palmer WE, Chen NC,",*The Journal of hand surgery*,* [Dorsal Extrinsic Ligament Injury and Static Scapholunate Diastasis on Magnetic Resonance Imaging Scans.](https://www.ncbi.nlm.nih.gov/pubmed/31047744),Dorsal Extrinsic Ligament Injury and Static Scapholunate Diastasis on Magnetic Resonance Imaging Scans.,Current biomechanical data suggest that static scapholunate (SL) ligament dissociation occurs only when there is loss of competence of the extrinsic ligaments either acutely or with attenuation over time. We aimed to identify whether patients with an SL gap greater than 2 mm demonstrated concomitant dorsal radiocarpal ligament (DRC) and dorsal intercarpal ligament (DIC) ligament changes on magnetic resonance imaging (MRI) scans that were identified as having an SL ligament tear.,
