title,keywords,everything,topic,authors,journal,links
loss of  nmp4 optimizes osteogenic metabolism and secretion to enhance bone quality.,bone biomechanics metabolism osteoporosis parathyroid hormone transcriptome,loss of  nmp4 optimizes osteogenic metabolism and secretion to enhance bone quality.,BONE,"Shao Y, Wichern E, Childress PJ, Adaway M, Misra J, Klunk A, Burr DB, Wek RC, Mosley AL, Liu Y, Robling AG, Brustovetsky N, Hamilton J, Jacobs K, Vashishth D, Stayrook KR, Allen MR, Wallace JM, Bidwell JP,",*American journal of physiology. Endocrinology and metabolism*,* [Loss of <i>Nmp4</i> optimizes osteogenic metabolism and secretion to enhance bone quality.](https://www.ncbi.nlm.nih.gov/pubmed/30645175)
infant skull fracture risk for low height falls.,accidental falls anthropomorphic surrogate finite element modeling head impact injury risk curve pediatric traumatic brain injury,infant skull fracture risk for low height falls.,BONE,"Hajiaghamemar M, Lan IS, Christian CW, Coats B, Margulies SS,",*International journal of legal medicine*,* [Infant skull fracture risk for low height falls.](https://www.ncbi.nlm.nih.gov/pubmed/30194647)
bone material properties of human phalanges using vickers indentation.,biomechanics bone hardness hardness distribution vickers hardness,bone material properties of human phalanges using vickers indentation.,BONE,"Yin B, Guo JL, Wang JZ, Li S, Liu YK, Zhang YZ,",*Orthopaedic surgery*,* [Bone Material Properties of Human Phalanges Using Vickers Indentation.](https://www.ncbi.nlm.nih.gov/pubmed/31037844)
utilizing multiple biomems sensors to monitor orthopaedic strain and predict bone fracture healing.,biomechanics fracture healing microelectromechanical system (mems) ovine,utilizing multiple biomems sensors to monitor orthopaedic strain and predict bone fracture healing.,BONE,"Wolynski JG, Sutherland CJ, Demir HV, Unal E, Alipour A, Puttlitz CM, McGilvray KC,",*Journal of orthopaedic research : official publication of the Orthopaedic Research Society*,* [Utilizing Multiple bioMEMS Sensors to Monitor Orthopaedic Strain and Predict Bone Fracture Healing.](https://www.ncbi.nlm.nih.gov/pubmed/31042313)
preparation of adenosine-loaded electrospun nanofibers and their application in bone regeneration.,,preparation of adenosine-loaded electrospun nanofibers and their application in bone regeneration.,BONE,"Zhong L, Hu D, Qu Y, Peng J, Huang K, Lei M, Wu T, Xiao Y, Gu Y, Qian Z,",*Journal of biomedical nanotechnology*,* [Preparation of Adenosine-Loaded Electrospun Nanofibers and Their Application in Bone Regeneration.](https://www.ncbi.nlm.nih.gov/pubmed/30890220)
effects of nicotine and thc vapor inhalation administered by an electronic nicotine delivery system (ends) in male rats.,activity cannabis cholinergic hypothermia locomotion,effects of nicotine and thc vapor inhalation administered by an electronic nicotine delivery system (ends) in male rats.,BONE,"Javadi-Paydar M, Kerr TM, Harvey EL, Cole M, Taffe MA,",*Drug and alcohol dependence*,* [Effects of nicotine and THC vapor inhalation administered by an electronic nicotine delivery system (ENDS) in male rats.](https://www.ncbi.nlm.nih.gov/pubmed/30878767)
comparative effects of nitric oxide dependent and independent vasodilation on impaired hindlimb revascularization in enos<sup>-/-</sup> mice.,angiogenesis angiogenèse arteriogenesis artériogenèse enos ischemia ischémie maladie vasculaire périphérique nitric oxide oxyde nitrique peripheral vascular disease revascularisation revascularization vasodilatateur vasodilator,comparative effects of nitric oxide dependent and independent vasodilation on impaired hindlimb revascularization in enos<sup>-/-</sup> mice.,CARDIOVASCULAR/CARDIOPULMONARY,"Martínez-Ruiz M, Vargas-Robles H, Rios A, Sánchez D, Escalante B,",*Canadian journal of physiology and pharmacology*,* [Comparative effects of nitric oxide dependent and independent vasodilation on impaired hindlimb revascularization in eNOS<sup>-/-</sup> mice.](https://www.ncbi.nlm.nih.gov/pubmed/30624957)
simultaneous evaluation of plaque stability and ischemic potential of coronary lesions in a fluid-structure interaction analysis.,cardiovascular biomechanics fluid–structure interaction fractional flow reserve myocardial ischemia plaque stability,simultaneous evaluation of plaque stability and ischemic potential of coronary lesions in a fluid-structure interaction analysis.,CARDIOVASCULAR/CARDIOPULMONARY,"Wu X, von Birgelen C, Zhang S, Ding D, Huang J, Tu S,",*The international journal of cardiovascular imaging*,* [Simultaneous evaluation of plaque stability and ischemic potential of coronary lesions in a fluid-structure interaction analysis.](https://www.ncbi.nlm.nih.gov/pubmed/31053979)
"erratum: ""abdominal aortic aneurysm endovascular repair: profiling postimplantation morphometry and hemodynamics with image-based computational fluid dynamics"" asme j. biomech. eng., 2018, 140(11), p. 111003; doi: 10.1115/1.4040337.",,"erratum: ""abdominal aortic aneurysm endovascular repair: profiling postimplantation morphometry and hemodynamics with image-based computational fluid dynamics"" asme j. biomech. eng., 2018, 140(11), p. 111003; doi: 10.1115/1.4040337.",CARDIOVASCULAR/CARDIOPULMONARY,"Tasso P, Raptis A, Matsagkas M, Lodi Rizzini M, Gallo D, Xenos M, Morbiducci U,",*Journal of biomechanical engineering*,"* [Erratum: ""Abdominal Aortic Aneurysm Endovascular Repair: Profiling Postimplantation Morphometry and Hemodynamics With Image-Based Computational Fluid Dynamics"" [ASME J. Biomech. Eng., 2018, 140(11), p. 111003; DOI: 10.1115/1.4040337].](https://www.ncbi.nlm.nih.gov/pubmed/30907410)"
thoracic sympathetic chain stimulation modulates and entrains the respiratory pattern.,entrainment hering-breuer reflex intra-abdominal pressure locomotor-respiratory coupling sympathetic chain visceral spinal afferent,thoracic sympathetic chain stimulation modulates and entrains the respiratory pattern.,CARDIOVASCULAR/CARDIOPULMONARY,"Dhingra RR, Kola G, Lewis SJ, Dutschmann M,",*Autonomic neuroscience : basic & clinical*,* [Thoracic sympathetic chain stimulation modulates and entrains the respiratory pattern.](https://www.ncbi.nlm.nih.gov/pubmed/30890344)
microclot array elastometry for integrated measurement of thrombus formation and clot biomechanics under fluid shear.,,microclot array elastometry for integrated measurement of thrombus formation and clot biomechanics under fluid shear.,CARDIOVASCULAR/CARDIOPULMONARY,"Chen Z, Lu J, Zhang C, Hsia I, Yu X, Marecki L, Marecki E, Asmani M, Jain S, Neelamegham S, Zhao R,",*Nature communications*,* [Microclot array elastometry for integrated measurement of thrombus formation and clot biomechanics under fluid shear.](https://www.ncbi.nlm.nih.gov/pubmed/31053712)
the r249q hypertrophic cardiomyopathy myosin mutation decreases contractility in drosophila by impeding force production.,hypertrophic cardiomyopathy insect locomotion muscle physiology myosin,the r249q hypertrophic cardiomyopathy myosin mutation decreases contractility in drosophila by impeding force production.,CARDIOVASCULAR/CARDIOPULMONARY,"Bell KM, Kronert WA, Huang A, Bernstein SI, Swank DM,",*The Journal of physiology*,* [The R249Q hypertrophic cardiomyopathy myosin mutation decreases contractility in Drosophila by impeding force production.](https://www.ncbi.nlm.nih.gov/pubmed/30950055)
molecular changes in peripheral blood involving osteoarthritic joint remodelling.,biomarkers osteoarthritis (oa) temporomandibular joint (tmj),molecular changes in peripheral blood involving osteoarthritic joint remodelling.,CARDIOVASCULAR/CARDIOPULMONARY,"Zhang HY, Liu Q, Liu JQ, Wang J, Yang HX, Xu XJ, Xie MJ, Liu XD, Yu SB, Zhang M, Lu L, Zhang J, Wang MQ,",*Journal of oral rehabilitation*,* [Molecular Changes in Peripheral Blood Involving Osteoarthritic Joint Remodelling.](https://www.ncbi.nlm.nih.gov/pubmed/31046158)
reflected hemodynamic waves influence the pattern of doppler ultrasound waveforms along the umbilical arteries.,doppler ultrasound hemodynamics umbilical artery wave reflection,reflected hemodynamic waves influence the pattern of doppler ultrasound waveforms along the umbilical arteries.,CARDIOVASCULAR/CARDIOPULMONARY,"Sled JG, Stortz G, Cahill LS, Milligan N, Ayyathurai V, Serghides L, Morgen E, Seravalli V, Delp C, McShane C, Baschat A, Kingdom J, Macgowan CK,",*American journal of physiology. Heart and circulatory physiology*,* [Reflected hemodynamic waves influence the pattern of Doppler ultrasound waveforms along the umbilical arteries.](https://www.ncbi.nlm.nih.gov/pubmed/30794433)
identification of circumferential regional heterogeneity of ascending thoracic aneurysmal aorta by biaxial mechanical testing.,ascending aortic aneurysm biaxial testing bicuspid aortic valve material parameters tissue stiffness,identification of circumferential regional heterogeneity of ascending thoracic aneurysmal aorta by biaxial mechanical testing.,CARDIOVASCULAR/CARDIOPULMONARY,"Di Giuseppe M, Alotta G, Agnese V, Bellavia D, Raffa GM, Vetri V, Zingales M, Pasta S, Pilato M,",*Journal of molecular and cellular cardiology*,* [Identification of circumferential regional heterogeneity of ascending thoracic aneurysmal aorta by biaxial mechanical testing.](https://www.ncbi.nlm.nih.gov/pubmed/30998978)
"hereditary heart disease: pathophysiology, clinical presentation, and animal models of hcm, rcm, and dcm associated with mutations in cardiac myosin light chains.",cardiomyopathy mutations human phenotype myosin essential light chain myosin regulatory light chain transgenic mice,"hereditary heart disease: pathophysiology, clinical presentation, and animal models of hcm, rcm, and dcm associated with mutations in cardiac myosin light chains.",CARDIOVASCULAR/CARDIOPULMONARY,"Yadav S, Sitbon YH, Kazmierczak K, Szczesna-Cordary D,",*Pflugers Archiv : European journal of physiology*,"* [Hereditary heart disease: pathophysiology, clinical presentation, and animal models of HCM, RCM, and DCM associated with mutations in cardiac myosin light chains.](https://www.ncbi.nlm.nih.gov/pubmed/30706179)"
dichotomous locomotor recoveries are predicted by acute changes in segmental blood flow after thoracic spinal contusion injuries in pigs.,mri blood flow cerebrospinal fluid locomotor score spinal cord injury ultrasound,dichotomous locomotor recoveries are predicted by acute changes in segmental blood flow after thoracic spinal contusion injuries in pigs.,CARDIOVASCULAR/CARDIOPULMONARY,"Santamaria AJ, Benavides FD, Padgett KR, Guada LG, Nunez-Gomez Y, Solano JP, Guest JD,",*Journal of neurotrauma*,* [Dichotomous Locomotor Recoveries Are Predicted by Acute Changes in Segmental Blood Flow after Thoracic Spinal Contusion Injuries in Pigs.](https://www.ncbi.nlm.nih.gov/pubmed/30284945)
mavacamten treatment for obstructive hypertrophic cardiomyopathy: a clinical trial.,,mavacamten treatment for obstructive hypertrophic cardiomyopathy: a clinical trial.,CARDIOVASCULAR/CARDIOPULMONARY,"Heitner SB, Jacoby D, Lester SJ, Owens A, Wang A, Zhang D, Lambing J, Lee J, Semigran M, Sehnert AJ,",*Annals of internal medicine*,* [Mavacamten Treatment for Obstructive Hypertrophic Cardiomyopathy: A Clinical Trial.](https://www.ncbi.nlm.nih.gov/pubmed/31035291)
prevalence of type iii arch configuration in patients with type b aortic dissection.,prevalence type b aortic dissection type iii arch,prevalence of type iii arch configuration in patients with type b aortic dissection.,CARDIOVASCULAR/CARDIOPULMONARY,"Marrocco-Trischitta MM, Rylski B, Schofer F, Secchi F, Piffaretti G, de Beaufort H, Belvroy V, Bismuth J, Czerny M, Trimarchi S,",*European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery*,* [Prevalence of type III arch configuration in patients with type B aortic dissection.](https://www.ncbi.nlm.nih.gov/pubmed/31038681)
"targeting nitric oxide as a key modulator of sepsis, arthritis and pain.",arthritis neutrophil nitric oxide pain sepsis,"targeting nitric oxide as a key modulator of sepsis, arthritis and pain.",CARDIOVASCULAR/CARDIOPULMONARY,"Spiller F, de Oliveira Formiga R, Fernandes da Silva Coimbra J, Alves-Filho JC, Cunha TM, Cunha FQ,",*Nitric oxide : biology and chemistry*,"* [Targeting nitric oxide as a key modulator of sepsis, arthritis and pain.](https://www.ncbi.nlm.nih.gov/pubmed/31051258)"
"modulation of gpr39, a g-protein coupled receptor associated with alcohol use in non-human primates, curbs ethanol intake in mice.",,"modulation of gpr39, a g-protein coupled receptor associated with alcohol use in non-human primates, curbs ethanol intake in mice.",CELLULAR/SUBCELLULAR,"Cuzon Carlson VC, Ford MM, Carlson TL, Lomniczi A, Grant KA, Ferguson B, Cervera-Juanes RP,",*Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology*,"* [Modulation of Gpr39, a G-protein coupled receptor associated with alcohol use in non-human primates, curbs ethanol intake in mice.](https://www.ncbi.nlm.nih.gov/pubmed/30610192)"
short-term effects of x-ray on viscoelastic properties of epithelial cells.,creep x-ray effects biomechanics cellular mechanics viscoelastic,short-term effects of x-ray on viscoelastic properties of epithelial cells.,CELLULAR/SUBCELLULAR,"Heydarian A, Khorramymehr S, Vasaghi-Gharamaleki B,","*Proceedings of the Institution of Mechanical Engineers. Part H, Journal of engineering in medicine*",* [Short-term effects of X-ray on viscoelastic properties of epithelial cells.](https://www.ncbi.nlm.nih.gov/pubmed/30919725)
regulation of plasmodium sporozoite motility by formulation components.,live in vitro imaging motility regulation plasmodium berghei vaccine formulation,regulation of plasmodium sporozoite motility by formulation components.,CELLULAR/SUBCELLULAR,"de Korne CM, Lageschaar LT, van Oosterom MN, Baalbergen E, Winkel BMF, Chevalley-Maurel SC, Velders AH, Franke-Fayard BMD, van Leeuwen FWB, Roestenberg M,",*Malaria journal*,* [Regulation of Plasmodium sporozoite motility by formulation components.](https://www.ncbi.nlm.nih.gov/pubmed/31046772)
"unusual topographic specializations of retinal ganglion cell density and spatial resolution in a cliff-dwelling artiodactyl, the nubian ibex (capra nubiana).",rrid: scires_000114 rrid: scires_000116 artiodactyls retinal ganglion cells retinal topography spatial resolving power stereology ungulates,"unusual topographic specializations of retinal ganglion cell density and spatial resolution in a cliff-dwelling artiodactyl, the nubian ibex (capra nubiana).",CELLULAR/SUBCELLULAR,"Coimbra JP, Alagaili AN, Bennett NC, Mohammed OB, Manger PR,",*The Journal of comparative neurology*,"* [Unusual topographic specializations of retinal ganglion cell density and spatial resolution in a cliff-dwelling artiodactyl, the Nubian ibex (Capra nubiana).](https://www.ncbi.nlm.nih.gov/pubmed/31045240)"
stiffness gradients facilitate ovipositor bending and spatial probing control in a parasitic wasp.,hymenoptera material and structural properties ovipositor biomechanics steering mechanism,stiffness gradients facilitate ovipositor bending and spatial probing control in a parasitic wasp.,CELLULAR/SUBCELLULAR,"Cerkvenik U, van Leeuwen JL, Kovalev A, Gorb SN, Matsumura Y, Gussekloo SWS,",*The Journal of experimental biology*,* [Stiffness gradients facilitate ovipositor bending and spatial probing control in a parasitic wasp.](https://www.ncbi.nlm.nih.gov/pubmed/30952686)
engineering the cellular mechanical microenvironment - from bulk mechanics to the nanoscale.,cellular biomechanics focal adhesions mechanobiology nanotopography viscoelasticity,engineering the cellular mechanical microenvironment - from bulk mechanics to the nanoscale.,CELLULAR/SUBCELLULAR,"Matellan C, Del Río Hernández AE,",*Journal of cell science*,* [Engineering the cellular mechanical microenvironment - from bulk mechanics to the nanoscale.](https://www.ncbi.nlm.nih.gov/pubmed/31040223)
branch-restricted localization of phosphatase prl-1 specifies axonal synaptogenesis domains.,,branch-restricted localization of phosphatase prl-1 specifies axonal synaptogenesis domains.,CELLULAR/SUBCELLULAR,"Urwyler O, Izadifar A, Vandenbogaerde S, Sachse S, Misbaer A, Schmucker D,","*Science (New York, N.Y.)*",* [Branch-restricted localization of phosphatase Prl-1 specifies axonal synaptogenesis domains.](https://www.ncbi.nlm.nih.gov/pubmed/31048465)
microrna-26a/death-associated protein kinase 1 signaling induces synucleinopathy and dopaminergic neuron degeneration in parkinson's disease.,dapk1 mptp parkinson’s disease peptide mirna α-synuclein,microrna-26a/death-associated protein kinase 1 signaling induces synucleinopathy and dopaminergic neuron degeneration in parkinson's disease.,CELLULAR/SUBCELLULAR,"Su Y, Deng MF, Xiong W, Xie AJ, Guo J, Liang ZH, Hu B, Chen JG, Zhu X, Man HY, Lu Y, Liu D, Tang B, Zhu LQ,",*Biological psychiatry*,* [MicroRNA-26a/Death-Associated Protein Kinase 1 Signaling Induces Synucleinopathy and Dopaminergic Neuron Degeneration in Parkinson's Disease.](https://www.ncbi.nlm.nih.gov/pubmed/30718039)
glycation of collagen matrices promotes breast tumor cell invasion.,cell migration cell–ecm interaction collagen glycation tumor cell invasion tumor spheroid,glycation of collagen matrices promotes breast tumor cell invasion.,CELLULAR/SUBCELLULAR,"Suh YJ, Hall MS, Huang YL, Moon SY, Song W, Ma M, Bonassar LJ, Segall JE, Wu M,",*Integrative biology : quantitative biosciences from nano to macro*,* [Glycation of collagen matrices promotes breast tumor cell invasion.](https://www.ncbi.nlm.nih.gov/pubmed/31041443)
age-dependent variation of lamina cribrosa displacement during the standardized valsalva maneuver.,,age-dependent variation of lamina cribrosa displacement during the standardized valsalva maneuver.,CELLULAR/SUBCELLULAR,"Kim YW, Lee DH, Lim HB, Oh BL, Kim YK, Girard MJA, Mari JM, Park KH, Jeoung JW,",*Scientific reports*,* [Age-Dependent Variation of Lamina Cribrosa Displacement During the Standardized Valsalva Maneuver.](https://www.ncbi.nlm.nih.gov/pubmed/31040379)
pseudomonas aeruginosa orchestrates twitching motility by sequential control of type iv pili movements.,,pseudomonas aeruginosa orchestrates twitching motility by sequential control of type iv pili movements.,CELLULAR/SUBCELLULAR,"Talà L, Fineberg A, Kukura P, Persat A,",*Nature microbiology*,* [Pseudomonas aeruginosa orchestrates twitching motility by sequential control of type IV pili movements.](https://www.ncbi.nlm.nih.gov/pubmed/30804544)
polar landmark protein hubp recruits flagella assembly protein fapa under glucose limitation in vibrio vulnificus.,flagellar motility glucose signaling polar protein localization protein-protein interaction,polar landmark protein hubp recruits flagella assembly protein fapa under glucose limitation in vibrio vulnificus.,CELLULAR/SUBCELLULAR,"Park S, Yoon J, Lee CR, Lee JY, Kim YR, Jang KS, Lee KH, Seok YJ,",*Molecular microbiology*,* [Polar landmark protein HubP recruits flagella assembly protein FapA under glucose limitation in Vibrio vulnificus.](https://www.ncbi.nlm.nih.gov/pubmed/31058375)
amp-activated protein kinase regulates circadian rhythm by affecting clock in  drosophila.,amp-activated protein kinase clock drosophila ttfl circadian clock tandem affinity purification,amp-activated protein kinase regulates circadian rhythm by affecting clock in  drosophila.,CELLULAR/SUBCELLULAR,"Cho E, Kwon M, Jung J, Kang DH, Jin S, Choi SE, Kang Y, Kim EY,",*The Journal of neuroscience : the official journal of the Society for Neuroscience*,* [AMP-Activated Protein Kinase Regulates Circadian Rhythm by Affecting CLOCK in <i>Drosophila</i>.](https://www.ncbi.nlm.nih.gov/pubmed/30819799)
glucagon-like peptide-1 receptors within the nucleus of the solitary tract regulate alcohol-mediated behaviors in rodents.,alcohol use disorder dopamine gut-brain axis reward,glucagon-like peptide-1 receptors within the nucleus of the solitary tract regulate alcohol-mediated behaviors in rodents.,CELLULAR/SUBCELLULAR,"Vallöf D, Vestlund J, Jerlhag E,",*Neuropharmacology*,* [Glucagon-like peptide-1 receptors within the nucleus of the solitary tract regulate alcohol-mediated behaviors in rodents.](https://www.ncbi.nlm.nih.gov/pubmed/30772374)
disruption of podocyte cytoskeletal biomechanics by dasatinib leads to nephrotoxicity.,,disruption of podocyte cytoskeletal biomechanics by dasatinib leads to nephrotoxicity.,CELLULAR/SUBCELLULAR,"Calizo RC, Bhattacharya S, van Hasselt JGC, Wei C, Wong JS, Wiener RJ, Ge X, Wong NJ, Lee JJ, Cuttitta CM, Jayaraman G, Au VH, Janssen W, Liu T, Li H, Salem F, Jaimes EA, Murphy B, Campbell KN, Azeloglu EU,",*Nature communications*,* [Disruption of podocyte cytoskeletal biomechanics by dasatinib leads to nephrotoxicity.](https://www.ncbi.nlm.nih.gov/pubmed/31053734)
"morphine, but not methadone, inhibits microsomal prostaglandin e synthase-1 and prostaglandin-endoperoxide synthase 2 in lipopolysaccharide-stimulated horse synoviocytes.",arthritis lps opioids ptgs2 mpges-1,"morphine, but not methadone, inhibits microsomal prostaglandin e synthase-1 and prostaglandin-endoperoxide synthase 2 in lipopolysaccharide-stimulated horse synoviocytes.",CELLULAR/SUBCELLULAR,"Schwarzbach SV, Melo CF, Xavier PLP, Roballo KC, Cordeiro YG, Ambrósio CE, Fukumasu H, Carregaro AB,",*Biochimie*,"* [Morphine, but not methadone, inhibits microsomal prostaglandin E synthase-1 and prostaglandin-endoperoxide synthase 2 in lipopolysaccharide-stimulated horse synoviocytes.](https://www.ncbi.nlm.nih.gov/pubmed/30763639)"
genome-wide effect of pulmonary airway epithelial cell-specific  bmal1 deletion.,circadian clock circadian lung function food entrainment influenza infection metabolic entrainment,genome-wide effect of pulmonary airway epithelial cell-specific  bmal1 deletion.,CELLULAR/SUBCELLULAR,"Zhang Z, Hunter L, Wu G, Maidstone R, Mizoro Y, Vonslow R, Fife M, Hopwood T, Begley N, Saer B, Wang P, Cunningham P, Baxter M, Durrington H, Blaikley JF, Hussell T, Rattray M, Hogenesch JB, Gibbs J, Ray DW, Loudon ASI,",*FASEB journal : official publication of the Federation of American Societies for Experimental Biology*,* [Genome-wide effect of pulmonary airway epithelial cell-specific <i>Bmal1</i> deletion.](https://www.ncbi.nlm.nih.gov/pubmed/30794439)
exposure to dilute concentrations of bupropion affects zebrafish early life stages.,antidepressants behavior danio rerio emerging pollutants enzymatic biomarkers fish embryo toxicity test,exposure to dilute concentrations of bupropion affects zebrafish early life stages.,COMPARATIVE,"Franco MB, Andrade TS, Sousa-Moura D, Lopes da Silva M, Machado Ferraz IB, Camargo NS, Domingues I, Oliveira R, Grisolia CK,",*Chemosphere*,* [Exposure to dilute concentrations of bupropion affects zebrafish early life stages.](https://www.ncbi.nlm.nih.gov/pubmed/30708151)
growth and biomechanics of shoot organs.,cell wall flowers growth leaves mechanical feedback mechanical stress morphogenesis organogenesis shoot lateral organs turgor pressure,growth and biomechanics of shoot organs.,COMPARATIVE,"Echevin E, Le Gloanec C, Skowrońska N, Routier-Kierzkowska AL, Burian A, Kierzkowski D,",*Journal of experimental botany*,* [Growth and biomechanics of shoot organs.](https://www.ncbi.nlm.nih.gov/pubmed/31037307)
a study on the physiological and behavioral mechanisms underlying the differences in survival capacity between two cyprinid fish species.,behavior morphology predation survival swimming performance,a study on the physiological and behavioral mechanisms underlying the differences in survival capacity between two cyprinid fish species.,COMPARATIVE,"Fu C, Cui YL, Xu JJ, Wang Y, Fu SJ,","*Comparative biochemistry and physiology. Part A, Molecular & integrative physiology*",* [A study on the physiological and behavioral mechanisms underlying the differences in survival capacity between two cyprinid fish species.](https://www.ncbi.nlm.nih.gov/pubmed/30703561)
