title,topic,authors,journal,links
"assembly of modern mammal community structure driven by late cretaceous dental evolution, rise of flowering plants, and dinosaur demise.",EVOLUTION/ANTHROPOLOGY,"Chen M, Strömberg CAE, Wilson GP,",*Proceedings of the National Academy of Sciences of the United States of America*,"* [Assembly of modern mammal community structure driven by Late Cretaceous dental evolution, rise of flowering plants, and dinosaur demise.](https://www.ncbi.nlm.nih.gov/pubmed/31036651)"
convergent inactivation of the skin-specific c-c motif chemokine ligand 27 in mammalian evolution.,EVOLUTION/ANTHROPOLOGY,"Lopes-Marques M, Alves LQ, Fonseca MM, Secci-Petretto G, Machado AM, Ruivo R, Castro LFC,",*Immunogenetics*,* [Convergent inactivation of the skin-specific C-C motif chemokine ligand 27 in mammalian evolution.](https://www.ncbi.nlm.nih.gov/pubmed/31049641)
identification of avian flapping motion from non-volant winged dinosaurs based on modal effective mass analysis.,EVOLUTION/ANTHROPOLOGY,"Talori YS, Zhao JS, Liu YF, Lu WX, Li ZH, O'Connor JK,",*PLoS computational biology*,* [Identification of avian flapping motion from non-volant winged dinosaurs based on modal effective mass analysis.](https://www.ncbi.nlm.nih.gov/pubmed/31048911)
the african ape-like foot of  ardipithecus ramidus and its implications for the origin of bipedalism.,EVOLUTION/ANTHROPOLOGY,"Prang TC,",*eLife*,* [The African ape-like foot of <i>Ardipithecus ramidus</i> and its implications for the origin of bipedalism.](https://www.ncbi.nlm.nih.gov/pubmed/31038121)
limited effects of early life manipulations on sex-specific gene expression and behavior in adulthood.,EVOLUTION/ANTHROPOLOGY,"Candemir E, Post A, Dischinger US, Palme R, Slattery DA, O'Leary A, Reif A,",*Behavioural brain research*,* [Limited effects of early life manipulations on sex-specific gene expression and behavior in adulthood.](https://www.ncbi.nlm.nih.gov/pubmed/31034851)
sex and estrous cycle effects on anxiety- and depression-related phenotypes in a two-hit developmental stress model.,EVOLUTION/ANTHROPOLOGY,"Jaric I, Rocks D, Cham H, Herchek A, Kundakovic M,",*Frontiers in molecular neuroscience*,* [Sex and Estrous Cycle Effects on Anxiety- and Depression-Related Phenotypes in a Two-Hit Developmental Stress Model.](https://www.ncbi.nlm.nih.gov/pubmed/31031589)
changes in posture and interactive behaviors as infants progress from sitting to walking: a longitudinal study.,GAIT/LOCOMOTION,"Thurman SL, Corbetta D,",*Frontiers in psychology*,* [Changes in Posture and Interactive Behaviors as Infants Progress From Sitting to Walking: A Longitudinal Study.](https://www.ncbi.nlm.nih.gov/pubmed/31031682)
gait characteristics in patients with ankylosing spondylitis: protocol for a systematic review.,GAIT/LOCOMOTION,"Soulard J, Vuillerme N, Vaillant J,",*JMIR research protocols*,* [Gait Characteristics in Patients With Ankylosing Spondylitis: Protocol for a Systematic Review.](https://www.ncbi.nlm.nih.gov/pubmed/31042158)
the association between cognition and dual-tasking among older adults: the effect of motor function type and cognition task difficulty.,GAIT/LOCOMOTION,"Ehsani H, Mohler MJ, O'Connor K, Zamrini E, Tirambulo C, Toosizadeh N,",*Clinical interventions in aging*,* [The association between cognition and dual-tasking among older adults: the effect of motor function type and cognition task difficulty.](https://www.ncbi.nlm.nih.gov/pubmed/31040655)
reliability of the closed kinetic chain upper extremity stability test in young adults.,GAIT/LOCOMOTION,"Silva YA, Novaes WA, Dos Passos MHP, Nascimento VYS, Cavalcante BR, Pitangui ACR, De Araújo RC,",*Physical therapy in sport : official journal of the Association of Chartered Physiotherapists in Sports Medicine*,* [Reliability of the Closed Kinetic Chain Upper Extremity Stability Test in young adults.](https://www.ncbi.nlm.nih.gov/pubmed/31035171)
walking with avatars: gait-related visual information for following a virtual leader.,GAIT/LOCOMOTION,"Meerhoff LA, De Poel HJ, Jowett TWD, Button C,",*Human movement science*,* [Walking with avatars: Gait-related visual information for following a virtual leader.](https://www.ncbi.nlm.nih.gov/pubmed/31029839)
is knee biomechanics different in uphill walking on different slopes for older adults with total knee replacement?,GAIT/LOCOMOTION,"Wen C, Cates HE, Zhang S,",*Journal of biomechanics*,* [Is knee biomechanics different in uphill walking on different slopes for older adults with total knee replacement?](https://www.ncbi.nlm.nih.gov/pubmed/31027836)
the rotary component of leg force during walking and running.,GAIT/LOCOMOTION,"Anand M, Seipel J,","*Journal of the Royal Society, Interface*",* [The rotary component of leg force during walking and running.](https://www.ncbi.nlm.nih.gov/pubmed/31039697)
the ability of gait kinematic parameters to predict falls in older adults with cognitive impairments living in long term institutions.,GAIT/LOCOMOTION,"Marques NR, Camilo GF, de Martini Lopes Dos Santos AP, Cardoso BC, Navega MT, de Abreu DCC,","*Clinical biomechanics (Bristol, Avon)*",* [The ability of gait kinematic parameters to predict falls in older adults with cognitive impairments living in long term institutions.](https://www.ncbi.nlm.nih.gov/pubmed/31031228)
physical function and performance measures of children and adolescents with charcot-marie-tooth disease.,GAIT/LOCOMOTION,"Baptista CR, Nascimento-Elias AH, Garcia B, Testa A, Domingues PC, Martinez EZ, Marques W, Mattiello-Sverzut AC,",*Physiotherapy theory and practice*,* [Physical function and performance measures of children and adolescents with Charcot-Marie-Tooth disease.](https://www.ncbi.nlm.nih.gov/pubmed/31046526)
from template to anchors: transfer of virtual pendulum posture control balance template to adaptive neuromuscular gait model increases walking stability.,GAIT/LOCOMOTION,"Davoodi A, Mohseni O, Seyfarth A, Sharbafi MA,",*Royal Society open science*,* [From template to anchors: transfer of virtual pendulum posture control balance template to adaptive neuromuscular gait model increases walking stability.](https://www.ncbi.nlm.nih.gov/pubmed/31032044)
anatomy and biomechanics of cavovarus deformity.,JOINT/CARTILAGE,"Krähenbühl N, Weinberg MW,",*Foot and ankle clinics*,* [Anatomy and Biomechanics of Cavovarus Deformity.](https://www.ncbi.nlm.nih.gov/pubmed/31036262)
benefits of additional procedures for metacarpophalangeal hyperextension on simple trapeziectomy in thumb basal osteoarthritis: a biomechanical cadaver study.,JOINT/CARTILAGE,"Dumont CE, von Campe A,",*The journal of hand surgery Asian-Pacific volume*,* [Benefits of Additional Procedures for Metacarpophalangeal Hyperextension on Simple Trapeziectomy in Thumb Basal Osteoarthritis: A Biomechanical Cadaver Study.](https://www.ncbi.nlm.nih.gov/pubmed/31035887)
arthrodesis of a varus ankle.,JOINT/CARTILAGE,"AlSayel F, Valderrabano V,",*Foot and ankle clinics*,* [Arthrodesis of a Varus Ankle.](https://www.ncbi.nlm.nih.gov/pubmed/31036268)
the effect of cryotherapy application to the knee joint on dynamic postural stability.,JOINT/CARTILAGE,"Fullam K, Delahunt E, Caulfield B, Coughlan GF, McNulty W, Campbell D,",*Journal of sport rehabilitation*,* [The Effect of Cryotherapy Application to the Knee Joint on Dynamic Postural Stability.](https://www.ncbi.nlm.nih.gov/pubmed/31034322)
"radiological, functional, and anatomical outcome in patients with osteoarthritic knee undergoing high tibial osteotomy.",JOINT/CARTILAGE,"Habib MK, Khan ZA,",*SICOT-J*,"* [Radiological, functional, and anatomical outcome in patients with osteoarthritic knee undergoing high tibial osteotomy.](https://www.ncbi.nlm.nih.gov/pubmed/31050336)"
"the effect of ankle bracing on kinematics in simulated sprain and drop landings: a double-blind, placebo-controlled study.",JOINT/CARTILAGE,"Agres AN, Chrysanthou M, Raffalt PC,",*The American journal of sports medicine*,"* [The Effect of Ankle Bracing on Kinematics in Simulated Sprain and Drop Landings: A Double-Blind, Placebo-Controlled Study.](https://www.ncbi.nlm.nih.gov/pubmed/31042441)"
validity and reliability of a shoe-embedded sensor module for measuring foot progression angle during over-ground walking.,METHODS,"Charlton JM, Xia H, Shull PB, Hunt MA,",*Journal of biomechanics*,* [Validity and reliability of a shoe-embedded sensor module for measuring foot progression angle during over-ground walking.](https://www.ncbi.nlm.nih.gov/pubmed/31047695)
data analysis of the ocular response analyzer for improved distinction and detection of glaucoma.,METHODS,"Asejczk-Widlicka M, Jóźwik A, Kasprzak H, Sobczak M, Pierscionek BK,","*Journal of the Optical Society of America. A, Optics, image science, and vision*",* [Data analysis of the ocular response analyzer for improved distinction and detection of glaucoma.](https://www.ncbi.nlm.nih.gov/pubmed/31044958)
development of a novel gait analysis tool measuring center of pressure for evaluation of canine chronic thoracolumbar spinal cord injury.,METHODS,"Lewis MJ, Williams KD, Langley T, Jarvis LM, Sawicki G, Olby N,",*Journal of neurotrauma*,* [Development of a novel gait analysis tool measuring center of pressure for evaluation of canine chronic thoracolumbar spinal cord injury.](https://www.ncbi.nlm.nih.gov/pubmed/31044646)
intracochlear electrocochleography: influence of scalar position of the cochlear implant electrode on postinsertion results.,METHODS,"Riggs WJ, Dwyer RT, Holder JT, Mattingly JK, Ortmann A, Noble JH, Dawant BM, Valenzuela CV, O'Connell BP, Harris MS, Litvak LM, Koka K, Buchman CA, Labadie RF, Adunka OF,","*Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology*",* [Intracochlear Electrocochleography: Influence of Scalar Position of the Cochlear Implant Electrode on Postinsertion Results.](https://www.ncbi.nlm.nih.gov/pubmed/31033920)
force-regulated refolding of the mechanosensory domain in the platelet glycoprotein ib-ix complex.,METHODS,"Zhang XF, Zhang W, Quach ME, Deng W, Li R,",*Biophysical journal*,* [Force-Regulated Refolding of the Mechanosensory Domain in the Platelet Glycoprotein Ib-IX Complex.](https://www.ncbi.nlm.nih.gov/pubmed/31030883)
static accuracy analysis of vicon t40s motion capture cameras arranged externally for motion capture in constrained aquatic environments.,METHODS,"Raghu SL, Kang CK, Whitehead P, Takeyama A, Conners R,",*Journal of biomechanics*,* [Static accuracy analysis of Vicon T40s motion capture cameras arranged externally for motion capture in constrained aquatic environments.](https://www.ncbi.nlm.nih.gov/pubmed/31030892)
characteristics of corneal biomechanics in chinese preschool children with different refractive status.,METHODS,"Long W, Zhao Y, Hu Y, Li Z, Zhang X, Zhao W, Yang X, Cui D, Trier K,",*Cornea*,* [Characteristics of Corneal Biomechanics in Chinese Preschool Children With Different Refractive Status.](https://www.ncbi.nlm.nih.gov/pubmed/31033694)
single and dual tandem gait assessment post concussion: what performance time is clinically relevant across adult ages and what can influence results?,METHODS,"Galea OA, Bristow HD, Chisholm SM, Mersch ME, Nullmeyer J, Reid CR, Treleaven JM,",*Musculoskeletal science & practice*,* [Single and dual tandem gait assessment post concussion: What performance time is clinically relevant across adult ages and what can influence results?](https://www.ncbi.nlm.nih.gov/pubmed/31031162)
trends in research related to keratoconus from 2009 to 2018: a bibliometric and knowledge mapping analysis.,METHODS,"Zhao F, Du F, Zhang J, Xu J,",*Cornea*,* [Trends in Research Related to Keratoconus From 2009 to 2018: A Bibliometric and Knowledge Mapping Analysis.](https://www.ncbi.nlm.nih.gov/pubmed/31033693)
the application of inertial measurement units and functional principal component analysis to evaluate movement in the forward 3½ pike somersault springboard dive.,METHODS,"Walker C, Warmenhoven J, Sinclair PJ, Cobley S,",*Sports biomechanics*,* [The application of inertial measurement units and functional principal component analysis to evaluate movement in the forward 3½ pike somersault springboard dive.](https://www.ncbi.nlm.nih.gov/pubmed/31042139)
clinical usefulness and challenges of instrumented motion analysis in patients with intellectual disabilities.,METHODS,"Hallemans A, Van de Walle P, Wyers L, Verheyen K, Schoonjans AS, Desloovere K, Ceulemans B,",*Gait & posture*,* [Clinical usefulness and challenges of instrumented motion analysis in patients with intellectual disabilities.](https://www.ncbi.nlm.nih.gov/pubmed/31039461)
micro/nano machines driven by ultrasound power sources.,METHODS,"Lu X, Shen H, Wang Z, Zhao K, Peng H, Liu W,","*Chemistry, an Asian journal*",* [Micro/nano machines driven by ultrasound power sources.](https://www.ncbi.nlm.nih.gov/pubmed/31042016)
development and implementation of interventions managing work-related musculoskeletal disorders: inadequacy of prevalent research framework and future opportunities.,METHODS,"Winkel J, Westgaard RH,","*Scandinavian journal of work, environment & health*",* [Development and implementation of interventions managing work-related musculoskeletal disorders: Inadequacy of prevalent research framework and future opportunities.](https://www.ncbi.nlm.nih.gov/pubmed/31041996)
screw configuration in proximal humerus plating has a significant impact on fixation failure risk predicted by finite element models.,MODELING,"Fletcher JWA, Windolf M, Richards RG, Gueorguiev B, Varga P,",*Journal of shoulder and elbow surgery*,* [Screw configuration in proximal humerus plating has a significant impact on fixation failure risk predicted by finite element models.](https://www.ncbi.nlm.nih.gov/pubmed/31036421)
