title,keywords,abstract,authors,journal,links,raw_title,mindate,maxdate,BERT_input
Integrating Flexible Electrochemical Sensor Microfluidic Chip Simulating Monitoring Vascular Mechanotransduction.,"electrochemical detection, endothelial cells, mechanotransduction, microfluidic chips, stretchable sensors","As interface blood flow vessel wall, endothelial cells (ECs) exposed hemodynamic forces, biochemical molecules released ECs-blood flow interaction important determinants vascular homeostasis. Versatile microfluidic chips designed simulate biological physiological parameters human vascular system, situ real-time monitoring mechanical force-triggered signals vascular mechanotransduction still remains significant challenge. Here, challenge fulfilled first time, preparation flexible stretchable electrochemical sensor incorporation microfluidic vascular chip. This allows simulating vivo physiological biomechanical parameters blood vessels, simultaneously monitoring mechanically induced biochemical signals real time. Specifically, cyclic circumferential stretch actually exerted endothelium hard reproduce vitro successfully recapitulated, nitric oxide signals normal blood pressure, well reactive oxygen species signals hypertensive states, well documented. Here, first integration flexible electrochemical sensor microfluidic chip reported, therefore paving way evaluate vitro organs built-in flexible sensors.","['Jin ZH, Liu YL, Fan WT, Huang WH']","Small (Weinheim an der Bergstrasse, Germany)","[URL=""https://www.ncbi.nlm.nih.gov/pubmed/31402582""]Integrating Flexible Electrochemical Sensor into Microfluidic Chip for Simulating and Monitoring Vascular Mechanotransduction.[/URL]",Integrating Flexible Electrochemical Sensor into Microfluidic Chip for Simulating and Monitoring Vascular Mechanotransduction.,2020/12/12,2010/1/1,"Integrating Flexible Electrochemical Sensor into Microfluidic Chip for Simulating and Monitoring Vascular Mechanotransduction. As an interface between the blood flow and vessel wall, endothelial cells (ECs) are exposed to hemodynamic forces, and the biochemical molecules released from ECs-blood flow interaction are important determinants of vascular homeostasis. Versatile microfluidic chips have been designed to simulate the biological and physiological parameters of the human vascular system, but in situ and real-time monitoring of the mechanical force-triggered signals during vascular mechanotransduction still remains a significant challenge. Here, such challenge is fulfilled for the first time, by preparation of a flexible and stretchable electrochemical sensor and its incorporation into a microfluidic vascular chip. This allows simulating of in vivo physiological and biomechanical parameters of blood vessels, and simultaneously monitoring the mechanically induced biochemical signals in real time. Specifically, the cyclic circumferential stretch that is actually exerted on endothelium but is hard to reproduce in vitro is successfully recapitulated, and nitric oxide signals under normal blood pressure, as well as reactive oxygen species signals under hypertensive states, are well documented. Here, the first integration of a flexible electrochemical sensor into a microfluidic chip is reported, therefore paving a way to evaluate in vitro organs by built-in flexible sensors."
Bioinspired Technologies Connect Musculoskeletal Mechanobiology Person Training Rehabilitation.,"biofeedback, biomechanics, mechanobiology, modeling, tissue strain, wearable devices","Musculoskeletal tissues respond optimal mechanical signals (e.g., strains) anabolic adaptations, mechanical signals optimal levels cause tissue catabolism. If individual's physical behavior could altered generate optimal mechanical signaling musculoskeletal tissues, targeted strengthening and/or repair would possible. We propose new bioinspired technologies provide real-time biofeedback relevant mechanical signals guide training rehabilitation. review provide description wearable devices may used conjunction computational rigid-body continuum models musculoskeletal tissues produce real-time estimates localized tissue stresses strains. It proposed bioinspired technologies facilitate new approach physical training promotes tissue strengthening and/or repair optimal tissue loading.","['Pizzolato C, Lloyd DG, Barrett RS, Cook JL, Zheng MH, Besier TF, Saxby DJ']",Frontiers in computational neuroscience,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/29093676""]Bioinspired Technologies to Connect Musculoskeletal Mechanobiology to the Person for Training and Rehabilitation.[/URL]",Bioinspired Technologies to Connect Musculoskeletal Mechanobiology to the Person for Training and Rehabilitation.,2020/12/12,2010/1/1,"Bioinspired Technologies to Connect Musculoskeletal Mechanobiology to the Person for Training and Rehabilitation. Musculoskeletal tissues respond to optimal mechanical signals (e.g., strains) through anabolic adaptations, while mechanical signals above and below optimal levels cause tissue catabolism. If an individual's physical behavior could be altered to generate optimal mechanical signaling to musculoskeletal tissues, then targeted strengthening and/or repair would be possible. We propose new bioinspired technologies to provide real-time biofeedback of relevant mechanical signals to guide training and rehabilitation. In this review we provide a description of how wearable devices may be used in conjunction with computational rigid-body and continuum models of musculoskeletal tissues to produce real-time estimates of localized tissue stresses and strains. It is proposed that these bioinspired technologies will facilitate a new approach to physical training that promotes tissue strengthening and/or repair through optimal tissue loading."
Comparison Different Sets Features Human Activity Recognition Wearable Sensors.,"mimu, classifier optimization, feature selection, genetic algorithm, human activity recognition, machine learning, wearable sensors","Human Activity Recognition (HAR) refers emerging area interest medical, military, security applications. However, identification features used activity classification recognition still open point. aim study compare two different feature sets HAR. Particularly, compared set including time, frequency, time-frequency domain features widely used literature (<i>FeatSet_A</i>) set time-domain features derived considering physical meaning acquired signals (<i>FeatSet_B</i>). comparison two sets based performances obtained using four machine learning classifiers. Sixty-one healthy subjects asked perform seven different daily activities wearing MIMU-based device. Each signal segmented using 5-s window window, 222 221 variables extracted <i>FeatSet_A</i> <i>FeatSet_B</i> respectively. Each set reduced using Genetic Algorithm (GA) simultaneously performing feature selection classifier optimization. Our results showed Support Vector Machine achieved highest performances using sets (97.1% 96.7% <i>FeatSet_A</i> <i>FeatSet_B</i> respectively). However, <i>FeatSet_B</i> allows better understand alterations biomechanical behavior complex situations, applied pathological subjects.","['Rosati S, Balestra G, Knaflitz M']","Sensors (Basel, Switzerland)","[URL=""https://www.ncbi.nlm.nih.gov/pubmed/30501111""]Comparison of Different Sets of Features for Human Activity Recognition by Wearable Sensors.[/URL]",Comparison of Different Sets of Features for Human Activity Recognition by Wearable Sensors.,2020/12/12,2010/1/1,"Comparison of Different Sets of Features for Human Activity Recognition by Wearable Sensors. Human Activity Recognition (HAR) refers to an emerging area of interest for medical, military, and security applications. However, the identification of the features to be used for activity classification and recognition is still an open point. The aim of this study was to compare two different feature sets for HAR. Particularly, we compared a set including time, frequency, and time-frequency domain features widely used in literature (<i>FeatSet_A</i>) with a set of time-domain features derived by considering the physical meaning of the acquired signals (<i>FeatSet_B</i>). The comparison of the two sets were based on the performances obtained using four machine learning classifiers. Sixty-one healthy subjects were asked to perform seven different daily activities wearing a MIMU-based device. Each signal was segmented using a 5-s window and for each window, 222 and 221 variables were extracted for the <i>FeatSet_A</i> and <i>FeatSet_B</i> respectively. Each set was reduced using a Genetic Algorithm (GA) simultaneously performing feature selection and classifier optimization. Our results showed that Support Vector Machine achieved the highest performances using both sets (97.1% and 96.7% for <i>FeatSet_A</i> and <i>FeatSet_B</i> respectively). However, <i>FeatSet_B</i> allows to better understand alterations of the biomechanical behavior in more complex situations, such as when applied to pathological subjects."
Sensor Array Measurement Relative Motion Lower Limb Prosthetic Sockets.,"biomechanic measurement tasks, gait analysis, lower limb prosthetics, quantifying socket fit, relative movement","relative motion residual limb prosthetic socket could relevant factor quantifying socket fit. measurement movements, particularly dynamic gait situations, poses challenging task. This paper presents realization measurement concept based multiple optical 2D-motion sensors. performance system evaluated test rig considering accuracy precision well accomplished measurement frequency reliability system. Additionally, results pilot study measuring relative motion residual limb prosthetic socket seven specific locations one individual transtibial amputation straight level walking presented. sensor functionality array confirmed test rig experiments comparable previously tested functional model ( e r r rel = 0.52 ± 1.87 %). With sampling frequency 1.3 kHz distributed among number sensor units, developed system suitable investigating relative movement residual limb prosthetic socket dynamic gait situations. Results pilot study show majority relative motion occurring second half gait cycle. measured relative motions show residual limb sinking deeper socket, extending Sagittal plane rotating internally Transverse plane stance phase. Data captured swing phase indicate lower limb extension Sagittal plane well external rotation Transverse plane.","['Noll V, Whitmore S, Beckerle P, Rinderknecht S']","Sensors (Basel, Switzerland)","[URL=""https://www.ncbi.nlm.nih.gov/pubmed/31212837""]A Sensor Array for the Measurement of Relative Motion in Lower Limb Prosthetic Sockets.[/URL]",A Sensor Array for the Measurement of Relative Motion in Lower Limb Prosthetic Sockets.,2020/12/12,2010/1/1,"A Sensor Array for the Measurement of Relative Motion in Lower Limb Prosthetic Sockets. The relative motion between residual limb and prosthetic socket could be a relevant factor in quantifying socket fit. The measurement of these movements, particularly in dynamic gait situations, poses a challenging task. This paper presents the realization of a measurement concept based on multiple optical 2D-motion sensors. The performance of the system was evaluated on a test rig considering accuracy and precision as well as accomplished measurement frequency and reliability of the system. Additionally, results of a pilot study measuring the relative motion between residual limb and prosthetic socket at seven specific locations of one individual with transtibial amputation during straight level walking are presented. The sensor functionality of the array was confirmed and the test rig experiments were comparable to the previously tested functional model ( e r r rel = 0.52 ± 1.87 %). With a sampling frequency of 1.3 kHz to be distributed among the number of sensor units, the developed system is suitable for investigating the relative movement between residual limb and prosthetic socket in dynamic gait situations. Results of the pilot study show the majority of relative motion occurring during the second half of the gait cycle. The measured relative motions show the residual limb sinking deeper into the socket, extending in the Sagittal plane and rotating internally in the Transverse plane during stance phase. Data captured during swing phase indicate a lower limb extension in the Sagittal plane as well as an external rotation in the Transverse plane."
assessment utility functionality wearable head impact sensors Australian Football.,"australian football, concussion, head impact biomechanics, sports injury, wearable sensors","To assess utility functionality X-Patch<sup>®</sup> measurement tool study head impact exposure Australian Football. Accuracy, precision, reliability validity examined.","['McIntosh AS, Willmott C, Patton DA, Mitra B, Brennan JH, Dimech-Betancourt B, Howard TS, Rosenfeld JV']",Journal of science and medicine in sport,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/31000457""]An assessment of the utility and functionality of wearable head impact sensors in Australian Football.[/URL]",An assessment of the utility and functionality of wearable head impact sensors in Australian Football.,2020/12/12,2010/1/1,"An assessment of the utility and functionality of wearable head impact sensors in Australian Football. To assess the utility and functionality of the X-Patch<sup>®</sup> as a measurement tool to study head impact exposure in Australian Football. Accuracy, precision, reliability and validity were examined."
In-Field Validation Inertial Sensor-Based System Movement Analysis Classification Ski Mountaineering.,"ski mountaineering, inertial sensors, movement analysis, real time measurement","Ski Mountaineering (SkiMo) fast growing sport requiring endurance technical skills. It involves different types locomotion without skis. aim study develop validate snowfield novel inertial-based system analysing cycle parameters classifying movement SkiMo real-time. study divided two parts, one focused real-time parameters estimation (cadence, distance strides, stride duration, stride length, number strides, slope gradient, power) and, second, transition detection (kickturns, skin on, skin off, ski backpack) order classify different types locomotion. Experimental protocol involved 16 experienced subjects performed different SkiMo trials equipment instrumented ski-mounted inertial sensor. results obtained algorithm showed precise results relative error near 5% parameters. developed system can, therefore, used skiers obtain quantitative training data analysis real-time feedback field. Nevertheless, deeper validation algorithm might necessary order confirm accuracy wider population subjects various skill levels.","['Gellaerts J, Bogdanov E, Dadashi F, Mariani B']","Sensors (Basel, Switzerland)","[URL=""https://www.ncbi.nlm.nih.gov/pubmed/29547554""]In-Field Validation of an Inertial Sensor-Based System for Movement Analysis and Classification in Ski Mountaineering.[/URL]",In-Field Validation of an Inertial Sensor-Based System for Movement Analysis and Classification in Ski Mountaineering.,2020/12/12,2010/1/1,"In-Field Validation of an Inertial Sensor-Based System for Movement Analysis and Classification in Ski Mountaineering. Ski Mountaineering (SkiMo) is a fast growing sport requiring both endurance and technical skills. It involves different types of locomotion with and without the skis. The aim of this study is to develop and validate in the snowfield a novel inertial-based system for analysing cycle parameters and classifying movement in SkiMo in real-time. The study was divided into two parts, one focused on real-time parameters estimation (cadence, distance from strides, stride duration, stride length, number of strides, slope gradient, and power) and, second, on transition detection (kickturns, skin on, skin off, ski on and off backpack) in order to classify between the different types of locomotion. Experimental protocol involved 16 experienced subjects who performed different SkiMo trials with their own equipment instrumented with a ski-mounted inertial sensor. The results obtained by the algorithm showed precise results with a relative error near 5% on all parameters. The developed system can, therefore, be used by skiers to obtain quantitative training data analysis and real-time feedback in the field. Nevertheless, a deeper validation of this algorithm might be necessary in order to confirm the accuracy on a wider population of subjects with various skill levels."
Cell wall biomechanics: tractable challenge manipulating plant cell walls 'fit purpose'!,,"complexity recalcitrance plant cell walls contributed success plants colonising land. Conversely, also impeded progress understanding roles walls controlling directing developmental processes plant growth also unlocking potential biotechnological innovation. Recent technological advances enabled probing primary wall structures molecular interactions polysaccharides define biomechanical (and hence functional) properties. outputs led new paradigm places greater emphasis understanding wall, biomechanical construct cell surface sensor, modulates plant growth material properties. Armed knowledge, gaining capacity design walls 'fit (biotechnological) purpose'!","['Johnson KL, Gidley MJ, Bacic A, Doblin MS']",Current opinion in biotechnology,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/28915438""]Cell wall biomechanics: a tractable challenge in manipulating plant cell walls 'fit for purpose'![/URL]",Cell wall biomechanics: a tractable challenge in manipulating plant cell walls 'fit for purpose'!,2020/12/12,2010/1/1,"Cell wall biomechanics: a tractable challenge in manipulating plant cell walls 'fit for purpose'! The complexity and recalcitrance of plant cell walls has contributed to the success of plants colonising land. Conversely, these attributes have also impeded progress in understanding the roles of walls in controlling and directing developmental processes during plant growth and also in unlocking their potential for biotechnological innovation. Recent technological advances have enabled the probing of how primary wall structures and molecular interactions of polysaccharides define their biomechanical (and hence functional) properties. The outputs have led to a new paradigm that places greater emphasis on understanding how the wall, as a biomechanical construct and cell surface sensor, modulates both plant growth and material properties. Armed with this knowledge, we are gaining the capacity to design walls 'fit for (biotechnological) purpose'!"
Optimal slopes speeds uphill ski mountaineering: field study.,"biomechanics, climbing, endurance, energy expenditure, skiing","aim study describe effects speed gradient uphill ski mountaineering energy expenditure, relate changes changes stride characteristics, determine optimal gradient speed allowing minimization energy expenditure.","['Praz C, Fasel B, Vuistiner P, Aminian K, Kayser B']",European journal of applied physiology,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/27534770""]Optimal slopes and speeds in uphill ski mountaineering: a field study.[/URL]",Optimal slopes and speeds in uphill ski mountaineering: a field study.,2020/12/12,2010/1/1,"Optimal slopes and speeds in uphill ski mountaineering: a field study. The aim of this study is to describe the effects of speed and gradient during uphill ski mountaineering on energy expenditure, to relate any changes to changes in stride characteristics, and to determine an optimal gradient and speed allowing minimization of energy expenditure."
Skin-touch-actuated textile-based triboelectric nanogenerator black phosphorus durable biomechanical energy harvesting.,,"Textiles capable harvesting biomechanical energy via triboelectric effects interest self-powered wearable electronics. Fabrication conformable durable textiles high triboelectric outputs remains challenging. Here propose washable skin-touch-actuated textile-based triboelectric nanogenerator harvesting mechanical energy voluntary involuntary body motions. Black phosphorus encapsulated hydrophobic cellulose oleoyl ester nanoparticles serves synergetic electron-trapping coating, rendering textile nanogenerator long-term reliability high triboelectricity regardless various extreme deformations, severe washing, extended environmental exposure. Considerably high output (~250-880 V, ~0.48-1.1 µA cm<sup>-2</sup>) attained upon touching hand small force (~5 N) low frequency (~4 Hz), power light-emitting diodes digital watch. This conformable all-textile-nanogenerator incorporable onto cloths/skin capture low output 60 V subtle involuntary friction skin, well suited users' motion daily operations.","['Xiong J, Cui P, Chen X, Wang J, Parida K, Lin MF, Lee PS']",Nature communications,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/30323200""]Skin-touch-actuated textile-based triboelectric nanogenerator with black phosphorus for durable biomechanical energy harvesting.[/URL]",Skin-touch-actuated textile-based triboelectric nanogenerator with black phosphorus for durable biomechanical energy harvesting.,2020/12/12,2010/1/1,"Skin-touch-actuated textile-based triboelectric nanogenerator with black phosphorus for durable biomechanical energy harvesting. Textiles that are capable of harvesting biomechanical energy via triboelectric effects are of interest for self-powered wearable electronics. Fabrication of conformable and durable textiles with high triboelectric outputs remains challenging. Here we propose a washable skin-touch-actuated textile-based triboelectric nanogenerator for harvesting mechanical energy from both voluntary and involuntary body motions. Black phosphorus encapsulated with hydrophobic cellulose oleoyl ester nanoparticles serves as a synergetic electron-trapping coating, rendering a textile nanogenerator with long-term reliability and high triboelectricity regardless of various extreme deformations, severe washing, and extended environmental exposure. Considerably high output (~250-880 V, ~0.48-1.1 µA cm<sup>-2</sup>) can be attained upon touching by hand with a small force (~5 N) and low frequency (~4 Hz), which can power light-emitting diodes and a digital watch. This conformable all-textile-nanogenerator is incorporable onto cloths/skin to capture the low output of 60 V from subtle involuntary friction with skin, well suited for users' motion or daily operations."
Determining utility smartphone-based gait evaluation possible use concussion management.,"locomotion, brain concussion, clinical research, management, mild traumatic brain injury","<b>Objectives</b>: Our objectives (1) assess validity smartphone-based application obtain spatiotemporal gait variables relative established movement monitoring system used previously evaluate post-concussion gait, (2) determine test-retest reliability gait variables obtained smartphone.<b>Methods</b>: Twenty healthy participants (n = 14 females, mean age = 22.2, SD = 2.1 years) assessed two time points, approximately two weeks apart. Two measurement systems (inertial sensor system, smartphone application) acquired analyzed single-task dual-task spatio-temporal gait variables simultaneously. Our primary outcome measures average walking speed (m/s), cadence (steps/min), stride length (m) measured inertial sensor system smartphone application.<b>Results</b>: Correlations systems high high (Pearson r = 0.77-0.98) time points, exception dual-task stride length time 2 (Pearson r = 0.55). Bland-Altman analysis average gait speed cadence indicated average disagreement systems close zero, suggesting little evidence systematic bias acquisition systems. Test-retest consistency measures using smartphone revealed high high reliability measurements (ICC = 0.81-0.95).<b>Conclusions</b>: Our results indicate sensors within smartphone capable measuring spatio-temporal gait variables similar validated three-sensor inertial sensor system single-task dual-task conditions, data reliable across two-week time interval. smartphone-based application might allow clinicians objectively evaluate gait management concussion high ease-of-use relatively low financial burden.","['Howell DR, Lugade V, Taksir M, Meehan WP']",The Physician and sportsmedicine,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/31198074""]Determining the utility of a smartphone-based gait evaluation for possible use in concussion management.[/URL]",Determining the utility of a smartphone-based gait evaluation for possible use in concussion management.,2020/12/12,2010/1/1,"Determining the utility of a smartphone-based gait evaluation for possible use in concussion management. <b>Objectives</b>: Our was objectives were to (1) assess the validity of a smartphone-based application to obtain spatiotemporal gait variables relative to an established movement monitoring system used previously to evaluate post-concussion gait, and (2) determine the test-retest reliability of gait variables obtained with a smartphone.<b>Methods</b>: Twenty healthy participants (n = 14 females, mean age = 22.2, SD = 2.1 years) were assessed at two time points, approximately two weeks apart. Two measurement systems (inertial sensor system, smartphone application) acquired and analyzed single-task and dual-task spatio-temporal gait variables simultaneously. Our primary outcome measures were average walking speed (m/s), cadence (steps/min), and stride length (m) measured by the inertial sensor system and smartphone application.<b>Results</b>: Correlations between the systems were high to very high (Pearson r = 0.77-0.98) at both time points, with the exception of dual-task stride length at time 2 (Pearson r = 0.55). Bland-Altman analysis for average gait speed and cadence indicated the average disagreement between systems was close to zero, suggesting little evidence for systematic bias between acquisition systems. Test-retest consistency measures using the smartphone revealed high to very high reliability for all measurements (ICC = 0.81-0.95).<b>Conclusions</b>: Our results indicate that sensors within a smartphone are capable of measuring spatio-temporal gait variables similar to a validated three-sensor inertial sensor system in single-task and dual-task conditions, and that data are reliable across a two-week time interval. A smartphone-based application might allow clinicians to objectively evaluate gait in the management of concussion with high ease-of-use and a relatively low financial burden."
Coordination oro-pharyngeal biomechanics human swallowing.,"diagnostic systems, dysphagia, hyoid, larynx, swallowing, tongue","swallowing, tongue contacts hard palate generate pressure propelling bolus oral cavity pharynx. Meanwhile, hyoid larynx move upward forward facilitate bolus pharynx esophagus. It well known sequential coordination actions critical safety accomplishment swallowing. However, absence noninvasive assessment limits detection physiological symptom dysphagia. We applied sensor sheet hard palate measure tongue contact pressure bend sensor frontal neck monitor laryngeal movement, synchronized hyoid motion assessing coordination actions 14 healthy male subjects swallowing 5ml water. sequential order tongue pressure hyoid movement successfully displayed. Tongue pressure produced slight movement hyoid closely hyoid elevation, reached maximum hyoid stabilized anterior-superior position, ceased concurrently onset hyoid descent. Additionally, synchronized data sensors showed positive correlations identified time points laryngeal signal waveform onset, peak offset tongue pressure. Our sensing system successfully showed coordination tongue pressure production hyoid motion, could simple noninvasive method clinicians evaluate oral pharyngeal stages swallowing.","['Li Q, Minagi Y, Hori K, Kondoh J, Fujiwara S, Tamine K, Inoue M, Maeda Y, Chen Y, Ono T']",Physiology & behavior,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/25957912""]Coordination in oro-pharyngeal biomechanics during human swallowing.[/URL]",Coordination in oro-pharyngeal biomechanics during human swallowing.,2020/12/12,2010/1/1,"Coordination in oro-pharyngeal biomechanics during human swallowing. In swallowing, the tongue contacts against the hard palate to generate pressure for propelling a bolus from the oral cavity into the pharynx. Meanwhile, the hyoid and larynx move upward and forward to facilitate the bolus from the pharynx into the esophagus. It has been well known that sequential coordination between those actions is critical for safety accomplishment of swallowing. However, the absence of noninvasive assessment for it limits the detection to the physiological symptom of dysphagia. We applied a sensor sheet on the hard palate to measure tongue contact pressure and a bend sensor on the frontal neck to monitor the laryngeal movement, which was synchronized with hyoid motion for assessing the coordination between both actions in 14 healthy male subjects when swallowing 5ml of water. The sequential order of tongue pressure and hyoid movement was successfully displayed. Tongue pressure was produced after slight movement of the hyoid and closely to the hyoid elevation, then reached a maximum when the hyoid stabilized in the most anterior-superior position, and ceased concurrently with the onset of hyoid descent. Additionally, the synchronized data from both sensors showed positive correlations between identified time points on the laryngeal signal waveform and onset, peak and offset of tongue pressure. Our sensing system successfully showed the coordination between tongue pressure production and hyoid motion, and could be a simple and noninvasive method for clinicians to evaluate the oral and pharyngeal stages of swallowing. "
Bionic Bra: Using electromaterials sense modify breast support enhance active living.,"breast support, actuators, breast biomechanics, sensors/sensor applications, sports bra, wearable devices","Although supportive sports bras control breast motion associated breast pain, frequently deemed uncomfortable wear and, result, many women report exercise bra discomfort. Given exercise bra discomfort associated decreased levels physical activity, pertinent need develop innovative solutions address problem.","['Steele JR, Gho SA, Campbell TE, Richards CJ, Beirne S, Spinks GM, Wallace GG']",Journal of rehabilitation and assistive technologies engineering,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/31191941""]The Bionic Bra: Using electromaterials to sense and modify breast support to enhance active living.[/URL]",The Bionic Bra: Using electromaterials to sense and modify breast support to enhance active living.,2020/12/12,2010/1/1,"The Bionic Bra: Using electromaterials to sense and modify breast support to enhance active living. Although the most supportive sports bras can control breast motion and associated breast pain, they are frequently deemed uncomfortable to wear and, as a result, many women report exercise bra discomfort. Given that exercise bra discomfort is associated with decreased levels of physical activity, there is a pertinent need to develop innovative solutions to address this problem."
Concurrent validation inertial measurement system quantify kicking biomechanics four football codes.,"australia football, biomechanics, inertial measurement system, kicking, rugby, soccer","Wearable inertial measurement systems (IMS) allow three-dimensional analysis human movements sport-specific setting. This study examined concurrent validity IMS (Xsens MVN system) measuring lower extremity pelvis kinematics comparison Vicon motion analysis system (MAS) kicking. Thirty footballers Australian football (n = 10), soccer (n = 10), rugby league rugby union (n = 10) clubs completed 20 kicks across four conditions. Concurrent validity assessed using linear mixed-modelling approach, allowed partition within-subject variance device measurement error. Results expressed raw standardised units assessments differences means measurement error, interpreted via non-clinical magnitude-based inferences. Trivial small differences found linear velocities (foot pelvis), angular velocities (knee, shank thigh), sagittal joint (knee hip) segment angle (shank pelvis) means (mean difference: 0.2-5.8%) IMS MAS Australian football, soccer rugby codes. Trivial small measurement errors (from 0.1 5.8%) found IMS MAS kinematic parameters. IMS demonstrated acceptable levels concurrent validity compared MAS measuring kicking biomechanics across four football codes. Wearable IMS offers various benefits MAS, as, out-of-laboratory testing, larger measurement range quick data output, help improve ecological validity biomechanical testing timing feedback. results advocate use IMS quantify biomechanics high-velocity movements sport-specific settings.","['Blair S, Duthie G, Robertson S, Hopkins W, Ball K']",Journal of biomechanics,"[URL=""https://www.ncbi.nlm.nih.gov/pubmed/29602475""]Concurrent validation of an inertial measurement system to quantify kicking biomechanics in four football codes.[/URL]",Concurrent validation of an inertial measurement system to quantify kicking biomechanics in four football codes.,2020/12/12,2010/1/1,"Concurrent validation of an inertial measurement system to quantify kicking biomechanics in four football codes. Wearable inertial measurement systems (IMS) allow for three-dimensional analysis of human movements in a sport-specific setting. This study examined the concurrent validity of a IMS (Xsens MVN system) for measuring lower extremity and pelvis kinematics in comparison to a Vicon motion analysis system (MAS) during kicking. Thirty footballers from Australian football (n = 10), soccer (n = 10), rugby league and rugby union (n = 10) clubs completed 20 kicks across four conditions. Concurrent validity was assessed using a linear mixed-modelling approach, which allowed the partition of between and within-subject variance from the device measurement error. Results were expressed in raw and standardised units for assessments of differences in means and measurement error, and interpreted via non-clinical magnitude-based inferences. Trivial to small differences were found in linear velocities (foot and pelvis), angular velocities (knee, shank and thigh), sagittal joint (knee and hip) and segment angle (shank and pelvis) means (mean difference: 0.2-5.8%) between the IMS and MAS in Australian football, soccer and the rugby codes. Trivial to small measurement errors (from 0.1 to 5.8%) were found between the IMS and MAS in all kinematic parameters. The IMS demonstrated acceptable levels of concurrent validity compared to a MAS when measuring kicking biomechanics across the four football codes. Wearable IMS offers various benefits over MAS, such as, out-of-laboratory testing, larger measurement range and quick data output, to help improve the ecological validity of biomechanical testing and the timing of feedback. The results advocate the use of IMS to quantify biomechanics of high-velocity movements in sport-specific settings."
"Wide-Range, Wireless Wearable Inertial Motion Sensing System Capturing Fast Athletic Biomechanics Overhead Pitching.","marg, ballistic motion, baseball, high-dynamic range motion capture, inertial measurement vs. optical tracking, jerk, pitching, wearable imu, wearable inertial sensor, wearable wireless sensor, wireless wearable motion sensing","standard technology used capture motion biomechanical analysis sports employed marker-based optical systems. While systems excellent providing positional information, suffer limited ability accurately provide fundamental quantities velocity acceleration (hence forces torques) high-speed motion typical many sports. Conventional optical systems require considerable setup time, exhibit sensitivity extraneous light, generally sample slowly accurately capture extreme bursts athletic activity. recent years, wireless wearable sensors begun penetrate devices used sports performance assessment, offering potential solutions limitations. This article, determining pressing problems sports sensors could solve surveying state-of-the-art wearable motion capture sports, presents wearable dual-range inertial magnetic sensor platform developed enable end-to-end investigation high-level, wide dynamic-range biomechanical parameters. We tested system collegiate elite baseball pitchers, derived measured metrics glean insight performance-relevant motion. As was, believe, first ultra-wide-range wireless multipoint multimodal inertial magnetic sensor array used elite baseball pitchers, trace development, present results, discuss limitations accuracy factors soft-tissue artifacts encountered extreme motion. addition, discuss new metric opportunities brought systems may relevant assessment micro-trauma baseball.","['Lapinski M, Brum Medeiros C, Moxley Scarborough D, Berkson E, Gill TJ, Kepple T, Paradiso JA']","Sensors (Basel, Switzerland)","[URL=""https://www.ncbi.nlm.nih.gov/pubmed/31438549""]A Wide-Range, Wireless Wearable Inertial Motion Sensing System for Capturing Fast Athletic Biomechanics in Overhead Pitching.[/URL]","A Wide-Range, Wireless Wearable Inertial Motion Sensing System for Capturing Fast Athletic Biomechanics in Overhead Pitching.",2020/12/12,2010/1/1,"A Wide-Range, Wireless Wearable Inertial Motion Sensing System for Capturing Fast Athletic Biomechanics in Overhead Pitching. The standard technology used to capture motion for biomechanical analysis in sports has employed marker-based optical systems. While these systems are excellent at providing positional information, they suffer from a limited ability to accurately provide fundamental quantities such as velocity and acceleration (hence forces and torques) during high-speed motion typical of many sports. Conventional optical systems require considerable setup time, can exhibit sensitivity to extraneous light, and generally sample too slowly to accurately capture extreme bursts of athletic activity. In recent years, wireless wearable sensors have begun to penetrate devices used in sports performance assessment, offering potential solutions to these limitations. This article, after determining pressing problems in sports that such sensors could solve and surveying the state-of-the-art in wearable motion capture for sports, presents a wearable dual-range inertial and magnetic sensor platform that we developed to enable an end-to-end investigation of high-level, very wide dynamic-range biomechanical parameters. We tested our system on collegiate and elite baseball pitchers, and have derived and measured metrics to glean insight into performance-relevant motion. As this was, we believe, the first ultra-wide-range wireless multipoint and multimodal inertial and magnetic sensor array to be used on elite baseball pitchers, we trace its development, present some of our results, and discuss limitations in accuracy from factors such as soft-tissue artifacts encountered with extreme motion. In addition, we discuss new metric opportunities brought by our systems that may be relevant for the assessment of micro-trauma in baseball."
