id,topic,authors,title,journal,year,vol_issue,doi
11,BONE,"['Ulku SZ, Akdag MZ, Yavuz I, Celik MS and Ketani MA']",Can histological and histomorphometrical changes be induced in rat mandibular condyle following ovariectomy and long-term extremely low frequency magnetic field exposure? Biotechnology & Biotechnological Equipment 2012;26(2):2916-20,http://dx.doi.org/10.5504/bbeq,2012.001,2012,14
12,BONE,"['Rodriguez-Palomo, A', 'Monopoli, D', 'Afonso, H', 'Izquierdo-Barba, I', 'Vallet-Regi, M']",Surface zwitterionization of customized 3d ti6al4v scaffolds: a promising alternative to eradicate bone infection,Journal Of Materials Chemistry B,2016,4:4356-4365,http://dx.doi.org/10.1039/c6tb00675b
13,BONE,"['Sakai S, Suzuki M, Tanaka K, Mihara M and Endo K']",Active vitamin d3 administration improves locomotive ability of mice with rotarod training,Bone;50:S197-S. http://dx.doi.org/10.1016/j.bone,2012.02.62,2012,2.627
14,BONE,"['Boruah, S', 'Subit, DL', 'Paskoff, GR', 'Shender, BS', 'Crandall, JR', 'Salzar, RS']",Influence of bone microstructure on the mechanical properties of skull cortical bone - a combined experimental and computational approach,Journal Of The Mechanical Behavior Of Biomedical Materials,2017,65:688-704,http://dx.doi.org/10.1016/j.jmbbm.2016.09.041
15,BONE,"['Lim, CT', 'Ng, DQK', 'Tan, KJ', 'Ramruttun, AK', 'Wang, W', 'Chong, DYR']",A biomechanical study of proximal tibia bone grafting through the lateral approach,Injury-International Journal Of The Care Of The Injured,2016,47:2407-2414,http://dx.doi.org/10.1016/j.injury.2016.09.017
16,BONE,"['Lin SE, Huang JP, Zheng L, Liu YZ, Liu GH, Li N, et al']",Glucocorticoid-induced osteoporosis in growing rats,Calcified Tissue International,2014,95(4):362-73,http://dx.doi.org/10.1007/s00223-014-9899-7
17,BONE,"['Wang, YH', 'Ural, A']",Effect of modifications in mineralized collagen fibril and extra-fibrillar matrix material properties on submicroscale mechanical behavior of cortical bone,Journal Of The Mechanical Behavior Of Biomedical Materials,2018,82:18-26,http://dx.doi.org/10.1016/j.jmbbm.2018.03.013
18,BONE,"['Dragomir-Daescu, D', 'Rossman, TL', 'Rezaei, A', 'Carlson, KD', 'Kalimes, DF', 'Skinner, JA', 'Khosla, S', 'Amin, S']",Factors associated with proximal femur fracture determined in a large cadaveric cohort,Bone,2018,116:196-202,http://dx.doi.org/10.1016/j.bone.2018.08.005
19,BONE,"['Oh, Y', 'Wakabayashi, Y', 'Kurosa, Y', 'Fujita, K', 'Okawa, A']",Potential pathogenic mechanism for stress fractures of the bowed femoral shaft in the elderly: mechanical analysis by the ct-based finite element method,Injury-International Journal Of The Care Of The Injured,2014,45:1764-1771,http://dx.doi.org/10.1016/j.injury.2014.08.037
20,BONE,"['Saul, D', 'Gleitz, S', 'Nguyen, HH', 'Kosinsky, RL', 'Sehmisch, S', 'Hoffmann, DB', 'Wassmann, M', 'Menger, B', 'Komrakova, M']",Effect of the lipoxygenase-inhibitors baicalein and zileuton on the vertebra in ovariectomized rats,Bone,2017,101:134-144,http://dx.doi.org/10.1016/j.bone.2017.04.011
21,BONE,"['Histing, T', 'Menger, MD', 'Pohlemann, T', 'Matthys, R', 'Fritz, T', 'Garcia, P', 'Klein, M']",An intramedullary locking nail for standardized fixation of femur osteotomies to analyze normal and defective bone healing in mice,Jove-Journal Of Visualized Experiments,2016,NaN,http://dx.doi.org/10.3791/54472
22,BONE,"['Histing, T', 'Andonyan, A', 'Klein, M', 'Scheuer, C', 'Stenger, D', 'Holstein, JH', 'Veith, NT', 'Pohlemann, T', 'Menger, MD']",Obesity does not affect the healing of femur fractures in mice,Injury-International Journal Of The Care Of The Injured,2016,47:1435-1444,http://dx.doi.org/10.1016/j.injury.2016.04.030
23,BONE,"['Klein, N', 'Sander, PM', 'Krahl, A', 'Scheyer, TM', 'Houssaye, A']",Diverse aquatic adaptations in nothosaurus spp,(sauropterygia)-inferences from humeral histology and microanatomy. Plos One,2016,11:00,http://dx.doi.org/10.1371/journal.pone.0158448
24,BONE,"['Yu, ZL', 'Jiao, BF', 'Li, ZB']",Lysophosphatidic acid analogue rather than lysophosphatidic acid promoted the bone formation in vivo,Biomed Research International,2018,NaN,http://dx.doi.org/10.1155/2018/7537630
25,BONE,"['Jimbo, R', 'Naito, Y', 'Galli, S', 'Berner, S', 'Dard, M', 'Wennerberg, A']",Biomechanical and histomorphometrical evaluation of tizr alloy implants: an in vivo study in the rabbit,Clinical Implant Dentistry And Related Research,2015,17:69-5455-4869-5455-56,http://dx.doi.org/10.1111/cid.12305
26,BONE,"['Tang, SY', 'Sabonghy, EP', 'Chaudhry, A', 'Shajudeen, PS', 'Islam, MT', 'Kim, N', 'Cabrera, FJ', 'Reddy, JN', 'Tasciotti, E', 'Righetti, R']",A model-based approach to investigate the effect of a long bone fracture on ultrasound strain elastography,Ieee Transactions On Medical Imaging,2018,37:2704-2717,http://dx.doi.org/10.1109/TMI.2018.2849996
27,BONE,"['Sroga, GE', 'Vashishth, D']",Phosphorylation of extracellular bone matrix proteins and its contribution to bone fragility,Journal Of Bone And Mineral Research,2018,33:2214-2229,http://dx.doi.org/10.1002/jbmr.3552
28,BONE,"['Wong, SK', 'Chin, KY', 'Suhaimi, FH', 'Ahmad, F', 'Jamil, NA', 'Ima-Nirwana, S']",Osteoporosis is associated with metabolic syndrome induced by high-carbohydrate high-fat diet in a rat model,Biomedicine & Pharmacotherapy,2018,98:191-200,http://dx.doi.org/10.1016/j.biopha.2017.12.042
29,BONE,"['Chen, Y', 'Hu, YZ', 'Yu, YE', 'Zhang, XJ', 'Watts, T', 'Zhou, B', 'Wang, J', 'Wang, T', 'Zhao, WW', 'Chiu, KY', 'Leung, FKL', 'Cao, X', 'Macaulay, W', 'Nishiyama, KK', 'Shane, E', 'Lu, WW', 'Guo, XE']",Subchondral trabecular rod loss and plate thickening in the development of osteoarthritis,Journal Of Bone And Mineral Research,2018,33:316-327,http://dx.doi.org/10.1002/jbmr.3313
30,BONE,"['Hardisty MR, Soicher MA, Garcia TC, Stover SM and Fyhrie DP']",Do stress-whitening and optical clearing of collagenous tissue occur by the same mechanism? Journal of Biomechanics 2013;46(14):2411-8,http://dx.doi.org/10.1016/j.jbiomech,2013.07.02,2013,7.026
31,BONE,"['Zhou, MR', 'Li, J', 'Wu, JK', 'Yang, YJ', 'Zeng, XB', 'Lv, XH', 'Cui, L', 'Yao, WM', 'Liu, YY']",Preventive effects of polygonum multiflorum on glucocorticoid-induced osteoporosis in rats,Experimental And Therapeutic Medicine,2017,14:2445-2460,http://dx.doi.org/10.3892/etm.2017.4802
32,BONE,"['Cointry, GR', 'Nocciolino, L', 'Ireland, A', 'Hall, NM', 'Kriechbaumer, A', 'Ferretti, JL', 'Rittweger, J', 'Capozza, RF']",Structural differences in cortical shell properties between upper and lower human fibula as described by pqct serial scans,a biomechanical interpretation. Bone,2016,90:185-194,http://dx.doi.org/10.1016/j.bone.2016.06.007
33,BONE,"['Shibazaki-Yorozuya R, Wang Q, Dechow PC, Maki K and Opperman LA']",Changes in biomechanical strain and morphology of rat calvarial sutures and bone after tgf-beta 3 inhibition of posterior interfrontal suture fusion,Anatomical Record-Advances in Integrative Anatomy and Evolutionary Biology,2012,295(6):928-38,http://dx.doi.org/10.1002/ar.22474
34,BONE,"['Voide R, Schneider P, Stauber M, van Lenthe GH, Stampanoni M and Muller R']",The importance of murine cortical bone microstructure for microcrack initiation and propagation,Bone,2011,49(6):1186-93,http://dx.doi.org/10.1016/j.bone.2011.08.011
35,BONE,"['Levchuk A, Zwahlen A, Weigt C, Lambers FM, et al']",The Clinical Biomechanics Award 2012-Presented by the European Society of Biomechanics: Large scale simulations of trabecular bone adaptation to loading and treatment,Clinical Biomechanics,2014, 29(4): 355-362,http://dx.doi.org/10.1016/j.clinbiomech.2013.12.019
36,BONE,"['Vivanco JF, Burgers TA, Garcia-Rodriguez S, Crookshank M, Kunz M, MacIntyre NJ, et al']",Estimating the density of femoral head trabecular bone from hip fracture patients using computed tomography scan data,Proceedings of the Institution of Mechanical Engineers Part H-Journal of Engineering in Medicine;228(6):616-26. http://dx.doi.org/10.1177/09544119145402,,,
37,BONE,"['Hosseini, HS', 'Dunki, A', 'Fabech, J', 'Stauber, M', 'Vilayphiou, N', 'Pahr, D', 'Pretterklieber, M', 'Wandel, J', 'van Rietbergen, B', 'Zysset, PK']",Fast estimation of colles' fracture load of the distal section of the radius by homogenized finite element analysis based on hr-pqct,Bone,2017,97:65-75,http://dx.doi.org/10.1016/j.bone.2017.01.003
38,BONE,"['Allen MR, Chen NX, Gattone VH, Chen X, Carr AJ, LeBlanc P, et al']",Skeletal effects of zoledronic acid in an animal model of chronic kidney disease,Osteoporosis International,2013,24(4):1471-81,http://dx.doi.org/10.1007/s00198-012-2103-x
39,BONE,"['Diab T, Wang J, Reinwald S, Guldberg RE and Burr DB']",Effects of the combination treatment of raloxifene and alendronate on the biomechanical properties of vertebral bone,Journal of Bone and Mineral Research,2011,26(2):270-6,http://dx.doi.org/10.1002/jbmr.197
40,BONE,"['Zhu, TY', 'Griffith, JF', 'Qin, L', 'Hung, VWY', 'Fong, TN', 'Au, SK', 'Kwok, AW', 'Leung, PC', 'Li, EK', 'Tam, LS']","Density, structure, and strength of the distal radius in patients with psoriatic arthritis: the role of inflammation and cardiovascular risk factors",Osteoporosis International,2015,26:261-272,http://dx.doi.org/10.1007/s00198-014-2858-3
41,BONE,"['Patton, DM', 'Bigelow, EMR', 'Schlecht, SH', 'Kohn, DH', 'Bredbennerd, TL', 'Jepsen, KJ']",The relationship between whole bone stiffness and strength is age and sex dependent,Journal Of Biomechanics,2019,83:125-133,http://dx.doi.org/10.1016/j.jbiomech.2018.11.030
42,BONE,"['Samelson, EJ', 'Demissie, S', 'Cupples, LA', 'Zhang, XC', 'Xu, HF', 'Liu, CT', 'Boyd, SK', 'McLean, RR', 'Broe, KE', 'Kiel, DP', 'Bouxsein, ML']","Diabetes and deficits in cortical bone density, microarchitecture, and bone size: framingham hr-pqct study",Journal Of Bone And Mineral Research,2018,33:54-62,http://dx.doi.org/10.1002/jbmr.3240
43,BONE,"['Wen, YX', 'Shangguan, YF', 'Pan, ZQ', 'Hu, H', 'Magdalou, J', 'Chen, LB', 'Wang, H']",Activation of local bone ras by maternal excessive glucocorticoid participated in the fetal programing of adult osteopenia induced by prenatal caffeine exposure,Toxicology And Applied Pharmacology,2019,363:1-10,http://dx.doi.org/10.1016/j.taap.2018.11.003
44,BONE,"['Deng, ZH', 'Li, YS', 'Liu, H', 'Li, KH', 'Lei, GH', 'Lu, BB']",Effect of posterior cruciate ligament rupture on biomechanical and histological features of lateral femoral condyle,Medical Science Monitor,2016,22:4369-4379,http://dx.doi.org/10.12659/MSM.900502
45,BONE,"['Genthial, R', 'Gerbaix, M', 'Farlay, D', 'Vico, L', 'Beaurepaire, E', 'Debarre, D', 'Gourrier, A']",Third harmonic generation imaging and analysis of the effect of low gravity on the lacuno-canalicular network of mouse bone,Plos One,2019,14:00,http://dx.doi.org/10.1371/journal.pone.0209079
46,BONE,"['Wen, XX', 'Xu, C', 'Zong, CL', 'Feng, YF', 'Ma, XY', 'Wang, FQ', 'Yan, YB', 'Lei, W']",Relationship between sample volumes and modulus of human vertebral trabecular bone in micro-finite element analysis,Journal Of The Mechanical Behavior Of Biomedical Materials,2016,60:468-475,http://dx.doi.org/10.1016/j.jmbbm.2016.03.004
47,BONE,"['Vicenti, G', 'Pesce, V', 'Tartaglia, N', 'Abate, A', 'Mori, CM', 'Moretti, B']",Micromotion in the fracture healing of closed distal metaphyseal tibial fractures: a multicentre prospective study,Injury-International Journal Of The Care Of The Injured,2014,45:83-5055-8351-53,http://dx.doi.org/10.1016/j.injury.2014.10.019
48,BONE,"['Roshan-Ghias A, Terrier A, Jolles BM, Pioletti DP']",Translation of biomechanical concepts in bone tissue engineering: from animal study to revision knee arthroplasty,Computer Methods in Biomechanics and Biomedical Engineering,2014, 17(8): 845-852,http://dx.doi.org/10.1080/10255842.2012.719607
49,BONE,"['Zioupos P, Williams A, Christodoulou G, Giles R']",Determining 'age at death' for forensic purposes using human bone by laboratory-based biomechanical analytical method,Journal of the Mechanical Behavior of Biomedical Materials,2014, 33: 109-123,http://dx.doi.org/10.1016/j.jmbbm.2013.10.015
50,BONE,"['Dou, HL', 'Wang, GW', 'Xing, N', 'Zhang, LN']",Repair of large segmental bone defects with fascial flap-wrapped allogeneic bone,Journal Of Orthopaedic Surgery And Research,2016,11:00,http://dx.doi.org/10.1186/s13018-016-0492-9
51,BONE,"['Yoshii, T', 'Nyman, JS', 'Yuasa, M', 'Esparza, JM', 'Okawa, A', 'Gutierrez, GE']",Local application of a proteasome inhibitor enhances fracture healing in rats,Journal Of Orthopaedic Research,2015,33:1197-1204,http://dx.doi.org/10.1002/jor.22849
52,BONE,"['Isik M, Cebesoy O, Subasi M, Tutar E and Baltaci Y']",Analysing the effect of fondaparinux on fracture healing in a stabilized rat tibia fracture model,Minerva Ortopedica E Traumatologica,2012,63(3):193-9,
53,BONE,"['Murtha, AS', 'Roy, ME', 'Whiteside, LA', 'Tilden, DS', 'Schmitt, KL']",Thin-walled cross-linked acetabular liners need not exhibit reduced locking strength,Orthopedics,2015,38:69-5550-5569-5551-50,http://dx.doi.org/10.3928/01477447-20150804-62
54,BONE,"['Trabelsi N, Milgrom C, Yosibash Z']",Patient-specific FE analyses of metatarsal bones with inhomogeneous isotropic material properties,Journal of the Mechanical Behavior of Biomedical Materials,2014, 29: 177-189,http://dx.doi.org/10.1016/j.jmbbm.2013.08.030
55,BONE,"['Yang, JC', 'Meng, XF', 'Dong, DD', 'Xue, YR', 'Chen, X', 'Wang, SH', 'Shen, Y', 'Zhang, GJ', 'Shang, P']",Iron overload involved in the enhancement of unloading-induced bone loss by hypomagnetic field,Bone,2018,114:235-245,http://dx.doi.org/10.1016/j.bone.2018.06.012
56,BONE,"['Schwabe P, Greiner S, Ganzert R, Eberhart J, Dahn K, Stemberger A, et al']",Effect of a novel nonviral gene delivery of bmp-2 on bone healing,Scientific World Journal. http://dx.doi.org/10.1100,2012/56014,2012/56014,012/560142
57,BONE,"['Vermeer, JAF', 'Renders, GAP', 'Everts, V']",Osteonecrosis of the jaw-a bone site-specific effect of bisphosphonates,Current Osteoporosis Reports,2016,14:219-225,http://dx.doi.org/10.1007/s11914-016-0318-z
58,BONE,"['Depault F, Valverde-Franco G, Wu JP, Pelletier JP, Kapoor M and Martel-Pelletier J']",Cartilage-specific deletion of ephrin-b2 in mice results in endochondral bone and locomotory defects in vivo,Osteoporosis International,2011,1.198611111,
59,BONE,"['Mouzakis, D', 'Zaoutsos, SP', 'Bouropoulos, N', 'Rokidi, S', 'Papanicolaou, G']",Influence of artificially-induced porosity on the compressive strength of calcium phosphate bone cements,Journal Of Biomaterials Applications,2016,31:112-120,http://dx.doi.org/10.1177/0885328216636762
60,BONE,"['Takasu, M', 'Tani, C', 'Kaichi, Y', 'Sakoda, Y', 'Kiguchi, M', 'Date, S', 'Kuroda, Y', 'Sakai, A', 'Awai, K']",A longitudinal computed tomography study of lenalidomide and bortezomib treatment for multiple myeloma: trabecular microarchitecture and biomechanics assessed using multidetector computed tomography,Clinical Lymphoma Myeloma & Leukemia,2014,14:485-492,http://dx.doi.org/10.1016/j.clml.2014.07.009
61,BONE,"['Tanko, LB', 'Goldhahn, J', 'Varela, A', 'Lesage, E', 'Smith, SY', 'Pilling, A', 'Chivers, S']",Does activin receptor blockade by bimagrumab (bym338) pose detrimental effects on bone healing in a rat fibula osteotomy model?,Calcified Tissue International,2016,99:310-321,http://dx.doi.org/10.1007/s00223-016-0148-0
62,BONE,"['Wills, CR', 'Olivares, AL', 'Tassani, S', 'Ceresa, M', 'Zimmer, V', 'Ballester, MAG', 'del Rio, LM', 'Humbert, L', 'Noailly, J']",3d patient-specific finite element models of the proximal femur based on dxa towards the classification of fracture and non-fracture cases,Bone,2019,121:89-99,http://dx.doi.org/10.1016/j.bone.2019.01.001
63,BONE,"['Kim, YK', 'Kameo, Y', 'Tanaka, S', 'Adachi, T']",Capturing microscopic features of bone remodeling into a macroscopic model based on biological rationales of bone adaptation,Biomechanics And Modeling In Mechanobiology,2017,16:1697-1708,http://dx.doi.org/10.1007/s10237-017-0914-6
64,BONE,"['Bhamb, N', 'Kanim, L', 'Maldonado, R', 'Svet, M', 'Metzger, M']",Effect of modulating dietary vitamin d on the general bone health of rats during posterolateral spinal fusion,Journal Of Orthopaedic Research,2018,36:1435-1443,http://dx.doi.org/10.1002/jor.23832
65,BONE,"['Oryan A, Alidadi S, Moshiri A, Maffulli N']","Bone regenerative medicine: classic options, novel strategies, and future directions",Journal of Orthopaedic Surgery and Research,2014,9,http://dx.doi.org/10.1186/1749-799x-9-18
66,BONE,"['Wang, L', 'Khoo, BCC', 'Cheng, XG', 'Brown, K', 'Lewis, JR', 'Su, YB', 'Guo, Z', 'Li, K', 'Prince, RL']",Differences in femoral neck structure between elderly caucasian and chinese populations: a cross-sectional study of perth-beijing cohorts,Archives Of Osteoporosis,2017,12:00,http://dx.doi.org/10.1007/s11657-017-0366-8
67,BONE,"['Chen X, Zhu GY, Jin TY, Shao CL, Gu SZ, Tan MG, et al']",Bone-prognostic status after cessation of cadmium exposure for one month in male rats,Archives of Environmental Contamination and Toxicology,2012,62(1):165-75,http://dx.doi.org/10.1007/s00244-011-9685-8
68,BONE,"['Dahl, KA', 'Moritz, N', 'Vallittu, PK']",Flexural and torsional properties of a glass fiber-reinforced composite diaphyseal bone model with multidirectional fiber orientation,Journal Of The Mechanical Behavior Of Biomedical Materials,2018,87:143-147,http://dx.doi.org/10.1016/j.jmbbm.2018.07.027
69,BONE,"['Fonseca TL, Teixeira M, Rodrigues-Miranda M, Silva MV, Martins GM, Costa CC, et al']",Thyroid hormone interacts with the sympathetic nervous system to modulate bone mass and structure in young adult mice,American Journal of Physiology-Endocrinology and Metabolism,2014,307(4):E408-E18,http://dx.doi.org/10.1152/ajpendo.00643.2013
70,BONE,"['Danielson ME, Beck TJ, Lian YJ, Karlamangla AS, Greendale GA, Ruppert K, et al']",Ethnic variability in bone geometry as assessed by hip structure analysis: Findings from the hip strength across the menopausal transition study,Journal of Bone and Mineral Research,2013,28(4):771-9,http://dx.doi.org/10.1002/jbmr.1781
71,BONE,"['Liang, D', 'Ren, H', 'Qiu, T', 'Shen, GY', 'Xie, B', 'Wei, QS', 'Yao, ZS', 'Tang, JJ', 'Zhang, ZD', 'Jiang, XB']",Extracts from plastrum testudinis reverse glucocorticoid-induced spinal osteoporosis of rats via targeting osteoblastic and osteoclastic markers,Biomedicine & Pharmacotherapy,2016,82:151-160,http://dx.doi.org/10.1016/j.biopha.2016.04.068
72,BONE,"['Gauthier, R', 'Follet, H', 'Langer, M', 'Meille, S', 'Chevalier, J', 'Rongieras, F', 'Peyrin, F', 'Mitton, D']",Strain rate influence on human cortical bone toughness: a comparative study of four paired anatomical sites,Journal Of The Mechanical Behavior Of Biomedical Materials,2017,71:223-230,http://dx.doi.org/10.1016/j.jmbbm.2017.03.015
73,BONE,"['Sato, AY', 'Cregor, M', 'Delgado-Calle, J', 'Condon, KW', 'Allen, MR', 'Peacock, M', 'Plotkin, LI', 'Bellido, T']",Protection from glucocorticoid-induced osteoporosis by anti-catabolic signaling in the absence of sost/sclerostin,Journal Of Bone And Mineral Research,2016,31:1791-1802,http://dx.doi.org/10.1002/jbmr.2988
74,BONE,"['Russo, A', 'Bianchi, M', 'Sartori, M', 'Parrilli, A', 'Panseri, S', 'Ortolani, A', 'Sandri, M', 'Boi, M', 'Salter, DM', 'Maltarello, MC', 'Giavaresi, G', 'Fini, M', 'Dediu, V', 'Tampieri, A', 'Marcacci, M']",Magnetic forces and magnetized biomaterials provide dynamic flux information during bone regeneration,Journal Of Materials Science-Materials In Medicine,2016,27:00:00,http://dx.doi.org/10.1007/s10856-015-5659-0
75,BONE,"['Li CY, Ominsky MS, Tan HL, Barrero M, Niu QT, Asuncion FJ, et al']",Increased callus mass and enhanced strength during fracture healing in mice lacking the sclerostin gene,Bone,2011,49(6):1178-85,http://dx.doi.org/10.1016/j.bone.2011.08.012
76,BONE,"['Bissinger, O', 'Kreutzer, K', 'Wolff, KD', 'Wexel, G', 'Hapfelmeier, A', 'Pautke, C', 'Vogt, S', 'Prodinger, PM', 'Tischer, T']","Does cefuroxime alter fracture healing in vivo? a micro-computertomographic, biomechanical, and histomorphometric evaluation using a rat fracture model",Journal Of Biomedical Materials Research Part B-Applied Biomaterials,2017,105:2282-2291,http://dx.doi.org/10.1002/jbm.b.33759
77,BONE,"['Fonseca, H', 'Carvalho, A', 'Esteves, J', 'Esteves, VI', 'Moreira-Goncalves, D', 'Duarte, J']",Effects of doxorubicin administration on bone strength and quality in sedentary and physically active wistar rats,Osteoporosis International,2016,27:3465-3475,http://dx.doi.org/10.1007/s00198-016-3672-x
78,BONE,"['Oryan, A', 'Alidadi, S', 'Bigham-Sadegh, A', 'Moshiri, A', 'Kamali, A']",Effectiveness of tissue engineered chitosan-gelatin composite scaffold loaded with human platelet gel in regeneration of critical sized radial bone defect in rat,Journal Of Controlled Release,2017,254:65-74,http://dx.doi.org/10.1016/j.jconrel.2017.03.040
79,BONE,"['Zhang, GJ', 'Xu, SY', 'Yang, J', 'Guan, FJ', 'Cao, LB', 'Mao, HJ']",Combining specimen-specific finite-element models and optimization in cortical-bone material characterization improves prediction accuracy in three-point bending tests,Journal Of Biomechanics,2018,76:103-111,http://dx.doi.org/10.1016/j.jbiomech.2018.05.042
80,BONE,"['Niedermair, T', 'Schirner, S', 'Seebroker, R', 'Straub, RH', 'Grassel, S']",Substance p modulates bone remodeling properties of murine osteoblasts and osteoclasts,Scientific Reports,2018,8:00,http://dx.doi.org/10.1038/s41598-018-27432-y
81,BONE,"['Agnew AM, Moorhouse K, Kang YS, Donnelly BR, Pfefferle K, Manning AX, et al']",The response of pediatric ribs to quasi-static loading: Mechanical properties and microstructure,Annals of Biomedical Engineering,2013,41(12):2501-14,http://dx.doi.org/10.1007/s10439-013-0875-6
82,BONE,"['Rohan, E', 'Naili, S', 'Lemaire, T']",Double porosity in fluid-saturated elastic media: deriving effective parameters by hierarchical homogenization of static problem,Continuum Mechanics And Thermodynamics,2016,28:1263-1293,http://dx.doi.org/10.1007/s00161-015-0475-9
83,BONE,"['Zhu XS, Chen XQ, Chen CM, Wang GL, Gu Y, Geng DC, et al']",Evaluation of calcium phosphate and calcium sulfate as injectable bone cements in sheep vertebrae,Journal of Spinal Disorders & Techniques;25(6):333-7. http://dx.doi.org/10.1097/BSD.0b013e3182213f,,,
84,BONE,"['Tang, L', 'Gao, XH', 'Yang, XY', 'Liu, CT', 'Wang, XD', 'Han, YQ', 'Zhao, XJ', 'Chi, AP', 'Sun, LJ']",Ladder-climbing training prevents bone loss and microarchitecture deterioration in diet-induced obese rats,Calcified Tissue International,2016,98:85-93,http://dx.doi.org/10.1007/s00223-015-0063-9
85,BONE,"['Lips, KS', 'Kneffel, M', 'Willscheid, F', 'Mathies, FM', 'Kampschulte, M', 'Hartmann, S', 'Panzer, I', 'Durselen, L', 'Heiss, C', 'Kauschke, V']","Altered ultrastructure, density and cathepsin k expression in bone of female muscarinic acetylcholine receptor m3 knockout mice",International Immunopharmacology,2015,29:201-207,http://dx.doi.org/10.1016/j.intimp.2015.05.012
86,BONE,"['Tsai AG, Reich MS, Bensusan J, Ashworth T, Marcus RE, Akkus O']",A fatigue loading model for investigation of iatrogenic subtrochanteric fractures of the femur,Clinical Biomechanics,2013, 28(9-10): 981-987,http://dx.doi.org/10.1016/j.clinbiomech.2013.09.009
87,BONE,"['Morse, A', 'McDonald, MM', 'Schindeler, A', 'Peacock, L', 'Mikulec, K', 'Cheng, TL', 'Liu, M', 'Ke, HZ', 'Little, DG']",Sclerostin antibody increases callus size and strength but does not improve fracture union in a challenged open rat fracture model,Calcified Tissue International,2017,101:217-228,http://dx.doi.org/10.1007/s00223-017-0275-2
88,BONE,"['Mohaghegh K, Perez MA, Garcia-Aznar JM']",Accelerating numerical simulations of strain-adaptive bone remodeling predictions,Computer Methods in Applied Mechanics and Engineering,2014, 273: 255-272,http://dx.doi.org/10.1016/j.cma.2014.02.003
89,BONE,"['Ito, M', 'Sone, T', 'Shiraki, M', 'Tanaka, S', 'Irie, C', 'Ota, Y', 'Nakamura, T']",The effect of once-yearly zoledronic acid on hip structural and biomechanical properties derived using computed tomography (ct) in japanese women with osteoporosis,Bone,2018,106:179-186,http://dx.doi.org/10.1016/j.bone.2017.10.013
