number,topic,authors,title,journal,year,vol_issue,doi
39,COMPARATIVE,"['Lowie, A', 'Gillet, E', 'Vanhooydonck, B', 'Irschick, DJ', 'Losos, JB', 'Herrerl, A']",Do the relationships between hindlimb anatomy and sprint speed variation differ between sexes in anolis lizards?,Journal Of Experimental Biology,2019,222:00:00,http://dx.doi.org/10.1242/jeb.188805
40,COMPARATIVE,"['Dollinger, M', 'Wendler, O', 'Gerstenberger, C', 'Grossmann, T', 'Semmler, M', 'Sadeghi, H', 'Gugatschka, M']","Juvenile ovine ex vivo larynges: phonatory, histologic, and micro ct based anatomic analyses",Biomed Research International,2019,NaN:,http://dx.doi.org/10.1155/2019/6932047
41,COMPARATIVE,"['Lopez-Aguirre, C', 'Hand, SJ', 'Koyabu, D', 'Son, NT', 'Wilson, LAB']","Postcranial heterochrony, modularity, integration and disparity in the prenatal ossification in bats (chiroptera)",Bmc Evolutionary Biology,2019,19:00,http://dx.doi.org/10.1186/s12862-019-1396-1
42,COMPARATIVE,"['Souquet, L', 'Chevret, P', 'Ganem, G', 'Auffray, JC', 'Ledevin, R', 'Agret, S', 'Hautier, L', 'Renaud, S']",Back to the wild: does feralization affect the mandible of non-commensal house mice (mus musculus domesticus)?,Biological Journal Of The Linnean Society,2019,126:471-486,http://dx.doi.org/10.1093/biolinnean/bly218
43,DENTAL/ORAL/FACIAL,"['Voumard, B', 'Maquer, G', 'Heuberger, P', 'Zysset, PK', 'Wolfram, U']",Peroperative estimation of bone quality and primary dental implant stability,Journal Of The Mechanical Behavior Of Biomedical Materials,2019,92:24-32,http://dx.doi.org/10.1016/j.jmbbm.2018.12.035
44,DENTAL/ORAL/FACIAL,"['Sezgin, B', 'Guney, K', 'Lazoglu, I', 'Tatar, S', 'Layegh, E', 'Ozel, M', 'Ozmen, S', 'Yavuzer, R']",Defining a new variable that may impact long-term postoperative nasal tip support the biomechanical properties of the columellar strut graft,Annals Of Plastic Surgery,2019,82:445-451,http://dx.doi.org/10.1097/SAP.0000000000001600
45,ERGONOMICS,"['Chowdhury, SK', 'Nimbarte, AD', 'Hsiao, H', 'Gopalakrishnan, B', 'Jaridi, M']",A biomechanical shoulder strain index based on stabilizing demand of shoulder joint,Ergonomics,2018,61:1657-1670,http://dx.doi.org/10.1080/00140139.2018.1499967
46,ERGONOMICS,"['Jia, BC', 'Nussbaum, MA']","Influences of continuous sitting and psychosocial stress on low back kinematics, kinetics, discomfort, and localized muscle fatigue during unsupported sitting activities",Ergonomics,2018,61:1671-1684,http://dx.doi.org/10.1080/00140139.2018.1497815
47,EVOLUTION/ANTHROPOLOGY,"['Cazenave, M', 'Oettle, A', 'Thackeray, JF', 'Nakatsukasa, M', 'de Beer, F', 'Hoffman, J', 'Macchiarelli, R']","The skx 1084 hominin patella from swartkrans member 2, south africa: an integrated analysis of its outer morphology and inner structure",Comptes Rendus Palevol,2019,18:223-235,http://dx.doi.org/10.1016/j.crpv.2018.06.002
48,GAIT/LOCOMOTION,"['Khadiv, M', 'Moosavian, SAA', 'Yousefi-Koma, A', 'Sadedel, M', 'Ehsani-Seresht, A', 'Mansouri, S']",Rigid vs compliant contact: an experimental study on biped walking,Multibody System Dynamics,2019,45:379-401,http://dx.doi.org/10.1007/s11044-018-09653-1
49,GAIT/LOCOMOTION,"['Waanders, JB', 'Hortobagyi, T', 'Murgia, A', 'Devita, P', 'Franz, JR']",Advanced age redistributes positive but not negative leg joint work during walking,Medicine And Science In Sports And Exercise,2019,51:615-623,http://dx.doi.org/10.1249/MSS.0000000000001828
50,GAIT/LOCOMOTION,"['Pfeiffer, SJ', 'Spang, J', 'Nissman, D', 'Lalush, D', 'Wallace, K', 'Harkey, MS', 'Pietrosimone, LS', 'Schmitz, R', 'Schwartz, T', 'Blackburn, T', 'Pietrosimone, B']",Gait mechanics and t1 rho mri of tibiofemoral cartilage 6 months after acl reconstruction,Medicine And Science In Sports And Exercise,2019,51:630-639,http://dx.doi.org/10.1249/MSS.0000000000001834
51,GAIT/LOCOMOTION,"['Bonnaerens, S', 'Fiers, P', 'Galle, S', 'Aerts, P', 'Frederick, EC', 'Kaneko, Y', 'Derave, W', 'De Clercq, D']",Grounded running reduces musculoskeletal loading,Medicine And Science In Sports And Exercise,2019,51:708-715,http://dx.doi.org/10.1249/MSS.0000000000001846
52,GAIT/LOCOMOTION,"['Raffalt, PC', 'Kent, JA', 'Wurdeman, SR', 'Stergiou, N']",Selection procedures for the largest lyapunov exponent in gait biomechanics,Annals Of Biomedical Engineering,2019,47:913-923,http://dx.doi.org/10.1007/s10439-019-02216-1
53,GAIT/LOCOMOTION,"['Alingh, JF', 'Weerdesteyn, V', 'Nienhuis, B', 'van Asseldonk, EHF', 'Geurts, ACH', 'Groen, BE']",Immediate after-effects of robot-assisted gait with pelvic support or pelvic constraint on overground walking in healthy subjects,Journal Of Neuroengineering And Rehabilitation,2019,16:00,http://dx.doi.org/10.1186/s12984-019-0506-z
54,GAIT/LOCOMOTION,"['Yoshihara, T', 'Ozaki, H', 'Nakagata, T', 'Natsume, T', 'Kitada, T', 'Ishihara, Y', 'Sawada, S', 'Ishibashi, M', 'Kobayashi, H', 'Machida, S', 'Naito, H']",Association between locomotive syndrome and blood parameters in japanese middle-aged and elderly individuals: a cross-sectional study,Bmc Musculoskeletal Disorders,2019,20:00,http://dx.doi.org/10.1186/s12891-019-2480-9
55,GAIT/LOCOMOTION,"['Askew, GN', 'McFarlane, LA', 'Minetti, AE', 'Buckley, JG']","Energy cost of ambulation in trans-tibial amputees using a dynamic-response foot with hydraulic versus rigid ""ankle': insights from body centre of mass dynamics",Journal Of Neuroengineering And Rehabilitation,2019,16:00,http://dx.doi.org/10.1186/s12984-019-0508-x
56,GAIT/LOCOMOTION,"['Doyle, SS', 'Lemaire, ED', 'Nantel, J', 'Sinitski, EH']",The effect of surface inclination and limb on knee loading measures in transtibial prosthesis users,Journal Of Neuroengineering And Rehabilitation,2019,16:00,http://dx.doi.org/10.1186/s12984-019-0509-9
57,GAIT/LOCOMOTION,"['Rabuffetti, M', 'Marzegan, A', 'Crippa, A', 'Carpinella, I', 'Lencioni, T', 'Castagna, A', 'Ferrarin, M']",The lamb gait analysis protocol: definition and experimental assessment of operator-related variability,Proceedings Of The Institution Of Mechanical Engineers Part H-Journal Of Engineering In Medicine,2019,233:342-353,http://dx.doi.org/10.1177/0954411919827033
58,GAIT/LOCOMOTION,"['Arora, T', 'Musselman, KE', 'Lanovaz, JL', 'Linassi, G', 'Arnold, C', 'Milosavljevic, S', 'Oates, A']",Walking stability during normal walking and its association with slip intensity among individuals with incomplete spinal cord injury,Pm&R,2019,11:270-277,http://dx.doi.org/10.1016/j.pmrj.2018.07.012
59,GAIT/LOCOMOTION,"['Diogo, CC', 'da Costa, LM', 'Pereira, JE', 'Filipe, V', 'Couto, PA', 'Geuna, S', 'Armada-da-Silva, PA', 'Mauricio, AC', 'Varejao, ASP']",Kinematic and kinetic gait analysis to evaluate functional recovery in thoracic spinal cord injured rats,Neuroscience And Biobehavioral Reviews,2019,98:18-28,http://dx.doi.org/10.1016/j.neubiorev.2018.12.027
60,GAIT/LOCOMOTION,"['Thompson, AK', 'Fiorenza, G', 'Smyth, L', 'Favale, B', 'Brangaccio, J', 'Sniffen, J']",Operant conditioning of the motor-evoked potential and locomotion in people with and without chronic incomplete spinal cord injury,Journal Of Neurophysiology,2019,121:853-866,http://dx.doi.org/10.1152/jn.00557.2018
61,GAIT/LOCOMOTION,"['Pincheira, PA', 'De La Maza, E', 'Silvestre, R', 'Guzman-Venegas, R', 'Becerra, M']",Comparison of total hip arthroplasty surgical approaches by statistical parametric mapping,Clinical Biomechanics,2019,62:7-14,http://dx.doi.org/10.1016/j.clinbiomech.2018.12.024
62,GAIT/LOCOMOTION,"['Bollinger, LM', 'Walaszek, MC', 'Seay, RF', 'Ransom, AL']",Knee extensor torque and bmi differently relate to sit-to-stand strategies in obesity,Clinical Biomechanics,2019,62:28-33,http://dx.doi.org/10.1016/j.clinbiomech.2019.01.002
63,GAIT/LOCOMOTION,"['Marriott, K', 'Birmingham, TB', 'Pinto, R', 'Primeau, C', 'Bryant, D', 'Degen, R', 'Giffin, JR']",Gait biomechanics after combined hto-acl reconstruction versus hto alone: a matched cohort study,Journal Of Orthopaedic Research,2019,37:124-130,http://dx.doi.org/10.1002/jor.24157
64,GAIT/LOCOMOTION,"['Simsek, IE', 'Elvan, A', 'Selmani, M', 'Cakiroglu, MA', 'Kirmizi, M', 'Bayraktar, BA', 'Angin, S']",Generalized hypermobility syndrome (ghs) alters dynamic plantar pressure characteristics,Journal Of Back And Musculoskeletal Rehabilitation,2019,32:321-327,http://dx.doi.org/10.3233/BMR-170973
65,GAIT/LOCOMOTION,"['Christensen, JC', 'Mizner, RL', 'Foreman, KB', 'Lastayo, PC', 'Peters, CL', 'Pelt, CE']",Preoperative quadriceps weakness preferentially predicts postoperative aberrant movement patterns during high-demand mobility following total knee arthroplasty,Knee,2019,26:79-87,http://dx.doi.org/10.1016/j.knee.2018.12.005
66,GAIT/LOCOMOTION,"['Bai, JY', 'Bao, M', 'Zhang, T', 'Jiang, Y']",A virtual reality approach identifies flexible inhibition of motion aftereffects induced by head rotation,Behavior Research Methods,2019,51:96-107,http://dx.doi.org/10.3758/s13428-018-1116-6
67,GAIT/LOCOMOTION,"['Aylar, MF', 'Dionisio, VC', 'Jafarnezhadgero, A']",Do the center of mass strategies change with restricted vision during the sit-to-stand task?,Clinical Biomechanics,2019,62:104-112,http://dx.doi.org/10.1016/j.clinbiomech.2019.01.011
68,GAIT/LOCOMOTION,"['Ma, HP', 'Chen, PL', 'Linkov, V', 'Pai, CW']",Training or battling a monster of a location-based augmented-reality game while descending stairs: an observational study of inattentional blindness and deafness and risk-taking inclinations,Frontiers In Psychology,2019,10:00,http://dx.doi.org/10.3389/fpsyg.2019.00623
69,ANIMAL LOCOMOTION,"['Zhang, HF', 'Teng, XH', 'Luo, QW', 'Sheng, ZY', 'Guo, XR', 'Wang, GP', 'Li, WZ', 'Yuan, GH']",Flight and walking performance of dark black chafer beetle holotrichia parallela (coleoptera: scarabaeidae) in the presence of known hosts and attractive nonhost plants,Journal Of Insect Science,2019,19:00,http://dx.doi.org/10.1093/jisesa/iez019
70,ANIMAL LOCOMOTION,"['Emelianova, OR', 'Panyutina, AA', 'Sivitskaya, NA', 'Kitaitsev, AA', 'Tikhonova, NA']",Spatiotemporal characteristics of quadrupedal locomotion in vespertilionid bats,Biology Bulletin,2018,45:1015-1027,http://dx.doi.org/10.1134/S1062359018090054
71,JOINT/CARTILAGE,"['Vaca-Gonzalez, JJ', 'Guevara, JM', 'Moncayo, MA', 'Castro-Abril, H', 'Hata, Y', 'Garzon-Alvarado, DA']",Biophysical stimuli: a review of electrical and mechanical stimulation in hyaline cartilage,Cartilage,2019,10:157-172,http://dx.doi.org/10.1177/1947603517730637
72,JOINT/CARTILAGE,"['Horbert, V', 'Lange, M', 'Reuter, T', 'Hoffmann, M', 'Bischoff, S', 'Borowski, J', 'Schubert, H', 'Driesch, D', 'Mika, J', 'Hurschler, C', 'Kinne, RW']",Comparison of near-infrared spectroscopy with needle indentation and histology for the determination of cartilage thickness in the large animal model sheep,Cartilage,2019,10:173-185,http://dx.doi.org/10.1177/1947603517731851
73,JOINT/CARTILAGE,"['Yanke, AB', 'Konopka, ML', 'Butty, DC', 'Meyer, MA', 'Cotter, EJ', 'Espinoza, AA', 'Cole, BJ']",Effect of vertical or beveled chondral defect creation on rim deformation and contact,Cartilage,2019,10:222-228,http://dx.doi.org/10.1177/1947603517752058
74,JOINT/CARTILAGE,"['Millrose, M', 'Zach, A', 'Kim, S', 'Guthoff, C', 'Eisenschenk, A', 'Vonderlind, HC']",Biomechanical comparison of the proximal interphalangeal joint arthrodesis using a compression wire,Archives Of Orthopaedic And Trauma Surgery,2019,139:577-581,http://dx.doi.org/10.1007/s00402-019-03119-5
75,JOINT/CARTILAGE,"['Kim, Y', 'Giori, NJ', 'Lee, D', 'Ahn, KS', 'Kang, CH', 'Shin, CS', 'Song, Y']",Role of the acetabular labrum on articular cartilage consolidation patterns,Biomechanics And Modeling In Mechanobiology,2019,18:479-489,http://dx.doi.org/10.1007/s10237-018-1097-5
76,JOINT/CARTILAGE,"['Zonnino, A', 'Sergi, F']",Model-based analysis of the stiffness of the wrist joint in active and passive conditions,Journal Of Biomechanical Engineering-Transactions Of The Asme,2019,141:00:00,http://dx.doi.org/10.1115/1.4042684
77,JOINT/CARTILAGE,"['Li, L', 'Gollhofer, A', 'Lohrer, H', 'Dorn-Lange, N', 'Bonsignore, G', 'Gehring, D']",Function of ankle ligaments for subtalar and talocrural joint stability during an inversion movement - an in vitro study,Journal Of Foot And Ankle Research,2019,12:00,http://dx.doi.org/10.1186/s13047-019-0330-5
78,JOINT/CARTILAGE,"['Montefiori, E', 'Modenese, L', 'Di Marco, R', 'Magni-Manzoni, S', 'Malattia, C', 'Petrarca, M', 'Ronchetti, A', 'de Horatio, LT', 'van Dijkhuizen, P', 'Wang, AQ', 'Wesarg, S', 'Viceconti, M', 'Mazza, C']",An image-based kinematic model of the tibiotalar and subtalar joints and its application to gait analysis in children with juvenile idiopathic arthritis,Journal Of Biomechanics,2019,85:27-36,http://dx.doi.org/10.1016/j.jbiomech.2018.12.041
79,JOINT/CARTILAGE,"['Osborne, JD', 'Luczak, SB', 'Acker, WB', 'Bicos, J']",Patellofemoral joint contact pressures: current concepts and use in patellar instability studies,Orthopedics,2019,42:69-4955-5069-4955-57,http://dx.doi.org/10.3928/01477447-20190118-05
80,JOINT/CARTILAGE,"['Zhang, ZZ', 'Zhou, YF', 'Li, WP', 'Jiang, C', 'Chen, Z', 'Luo, H', 'Song, B']",Local administration of magnesium promotes meniscal healing through homing of endogenous stem cells: a proof-of-concept study,American Journal Of Sports Medicine,2019,47:954-967,http://dx.doi.org/10.1177/0363546518820076
81,JOINT/CARTILAGE,"['Fitzgerald, J', 'Endicott, J', 'Hansen, U', 'Janowitz, C']",Articular cartilage and sternal fibrocartilage respond differently to extended microgravity,Npj Microgravity,2019,5:00,http://dx.doi.org/10.1038/s41526-019-0063-6
82,JOINT/CARTILAGE,"['Arena, CB', 'Roush, EP', 'Kunselman, AR', 'Juliano, PJ', 'Aydogan, U', 'Lewis, GS']",Distal fibula osteotomies improve tibiotalar joint compression: a biomechanical study in a cadaveric model,Clinical Biomechanics,2019,62:23-27,http://dx.doi.org/10.1016/j.clinbiomech.2019.01.001
