,title,topic_pred
47,The relationship between knee muscle strength and knee biomechanics during running at 6 and 12 months after anterior cruciate ligament reconstruction.,GAIT/LOCOMOTION
48,Biomechanics and Clinical Application of Translaminar Screws Fixation in Spine: A Review of the Literature.,ORTHOPAEDICS/SURGERY
49,Recurrent Lumbar Disc Herniation: A Review.,ORTHOPAEDICS/SPINE
50,"Biomechanical Analysis of Cortical Versus Pedicle Screw Fixation Stability in TLIF, PLIF, and XLIF Applications.",ORTHOPAEDICS/SPINE
51,Microvascular bioengineering: a focus on pericytes.,REHABILITATION
52,NOP Receptor Agonist Ro 64-6198 Decreases Escalation of Cocaine Self-Administration in Rats Genetically Selected for Alcohol Preference.,NEURAL
53,Attenuation of Novelty-Induced Hyperactivity of <i>Gria1-/-</i> Mice by Cannabidiol and Hippocampal Inhibitory Chemogenetics.,NEURAL
54,Body Randomization Reduces the Sim-to-Real Gap for Compliant Quadruped Locomotion.,ROBOTICS
55,A Randomized and Controlled Crossover Study Investigating the Improvement of Walking and Posture Functions in Chronic Stroke Patients Using HAL Exoskeleton - The HALESTRO Study (HAL-Exoskeleton STROke Study).,REHABILITATION
56,Biophysical Measurements and Ultrasonographic Findings in Chronic Dermatitis in Comparison with Uninvolved Skin.,COMPARATIVE
57,[Mechanical study of polyurethane elastomer and Medpor as the material of artificial auricular scaffold].,TISSUE/BIOMATERIAL
58,"Modic I changes size increase from supine to standing MRI correlates with increase in pain intensity in standing position: uncovering the ""biomechanical stress"" and ""active discopathy"" theories in low back pain.",ORTHOPAEDICS/SPINE
59,Lumbar spinal surgery improves locomotive syndrome in elderly patients with lumbar spinal canal stenosis: A multicenter prospective study.,ORTHOPAEDICS/SPINE
60,Differences in muscle activity and fatigue of the upper limb between Task-Specific training and robot assisted training among individuals post stroke.,REHABILITATION
61,Iterative Spatial Updating During Forward Linear Walking Revealed Using a Continuous Pointing Task.,GAIT/LOCOMOTION
62,"Relationships between body mass index, lifestyle habits, and locomotive syndrome in young- and middle-aged adults: A cross-sectional survey of workers in Japan.",GAIT/LOCOMOTION
63,"Focus on the pedunculopontine nucleus. Consensus review from the May 2018 brainstem society meeting in Washington, DC, USA.",NEURAL
64,"The kisspeptin derivative - kissorphin reduces the acquisition, expression and reinstatement of ethanol-induced conditioned place preference in rats.",NEURAL
65,Improved memory and reduced anxiety in δ-catenin transgenic mice.,BONE
66,"Sex-dependent changes in ketamine-induced locomotor activity and ketamine pharmacokinetics in preweanling, adolescent, and adult rats.",NEURAL
67,Morning and Evening Circadian Pacemakers Independently Drive Premotor Centers via a Specific Dopamine Relay.,NEURAL
68,The influence of locomotor training on dynamic balance during steady-state walking post-stroke.,GAIT/LOCOMOTION
69,Tamoxifen has an anti-manic effect but not protect the brain against oxidative stress in an animal model of mania induced by ouabain.,CELLULAR/SUBCELLULAR
70,"Tibialis posterior muscle pain effects on hip, knee and ankle gait mechanics.",GAIT/LOCOMOTION
71,Influence of fatigue on running coordination: A UCM analysis with a geometric 2D model and a subject-specific anthropometric 3D model.,SPORT/EXERCISE
72,Effect of high heel gait on hip and knee-ankle-foot rollover characteristics while walking over inclined surfaces - A pilot study.,GAIT/LOCOMOTION
73,Biomechanical analysis of different lumbar interspinous process devices: a finite element study.,ORTHOPAEDICS/SPINE
74,S 47445 counteracts the behavioral manifestations and hippocampal neuroplasticity changes in bulbectomized mice.,NEURAL
75,The ActiGraph counts processing and the assessment of vigorous activity.,SPORT/EXERCISE
76,Inhibition of the Prostaglandin EP-1 Receptor in Periosteum Progenitor Cells Enhances Osteoblast Differentiation and Fracture Repair.,BONE
77,Cognitive control processes associated with successful gait performance in dual-task walking in healthy young adults.,GAIT/LOCOMOTION
78,"Long-term impairment of social behavior, vocalizations and motor activity induced by bilateral lesions of the fastigial nucleus in juvenile rats.",NEURAL
79,Biomechanical Properties of Posterior Meniscal Root Repairs: A Systematic Review.,ORTHOPAEDICS/SURGERY
80,Effect of Autologous Platelet-Rich Plasma and Gelatin Sponge for Tendon-to-Bone Healing After Rabbit Anterior Cruciate Ligament Reconstruction.,TENDON/LIGAMENT
81,Foot trajectories and loading rates in a transfemoral amputee for six different commercial prosthetic knees: An indication of adaptability.,PROSTHETICS/ORTHOTICS
82,Biomechanical comparison of temporomandibular joints after orthognathic surgery before and after design optimization.,HEAD
83,A Biomechanical Model of Tumor-induced Intracranial Pressure and Edema in Brain Tissue.,TISSUE/BIOMATERIAL
84,"Adhesive force and endurance during waterfall climbing in an amphidromous gobiid, Sicyopterus japonicus (Teleostei: Gobiidae): Ontogenetic scaling of novel locomotor performance.",COMPARATIVE
85,Tailoring selection of transforaminal interbody spacers based on biomechanical characteristics and surgical goals: evaluation of an expandable spacer.,ORTHOPAEDICS/SPINE
86,Nicotine improved the olfactory impairment in MPTP-induced mouse model of Parkinson's disease.,NEURAL
87,"Comparative analyses of the neurobehavioral, molecular, and enzymatic effects of organophosphates on embryo-larval zebrafish (Danio rerio).",COMPARATIVE
88,The stomatal flexoskeleton: How the biomechanics of guard cell walls animate an elastic pressure vessel.,CARDIO
89,Enhanced Social Dominance and Altered Neuronal Excitability in the Prefrontal Cortex of Male KCC2b Mutant Mice.,NEURAL
90,Comparative evaluation of book-type acellular bone scaffold and fibrocartilage scaffold for bone-tendon healing.,TISSUE/BIOMATERIAL
91,Identification of the origin of force-feedback signals influencing motor neurons of the thoraco-coxal joint in an insect.,NEURAL
92,Successful arthroscopic treatment of refractory and complicated popliteal cyst associated with rheumatoid arthritis in combination with osteoarthritis: case series and literature review.,JOINT/CARTILAGE
93,"Control strategies for rapid, visually guided adjustments of the foot during continuous walking.",GAIT/LOCOMOTION
94,Cytotoxicity and biomechanics of suture anchors used in labral repairs.,ORTHOPAEDICS/SURGERY
95,Loss of CREST leads to neuroinflammatory responses and ALS-like motor defects in mice.,NEURAL
96,An Overview of Modelling Craniosynostosis Using the Finite Element Method.,MODELING
97,Effect of two (short-term) storage methods on load to failure testing of murine bone tissue.,BONE
98,Detection of Early-Stage Degeneration in Human Articular Cartilage by Multiparametric MR Imaging Mapping of Tissue Functionality.,JOINT/CARTILAGE
99,In vitro analysis of blood flow in a microvascular network with realistic geometry.,CARDIO
100,Evaluating the efficacy of an educational ergonomics module for improving slit lamp positioning in ophthalmology residents.,METHODS
101,Effects of repeated waist-pull perturbations on gait stability in subjects with cerebellar ataxia.,GAIT/LOCOMOTION
102,Assessing Horizontal Force Production in Resisted Sprinting: Computation and Practical Interpretation.,METHODS
103,Biomechanical Behaviour and Biocompatibility of Ureidopyrimidinone-Polycarbonate Electrospun and Polypropylene Meshes in a Hernia Repair in Rabbits.,TISSUE/BIOMATERIAL
104,Risks of Ear Complaints of Passengers and Drivers While Trains Are Passing Through Tunnels at High Speed: A Numerical Simulation and Experimental Study.,MODELING
105,A Differentiated View on Short Stemmed Hip Arthroplasty - What are the Differences in Fixation and Biomechanics?,ORTHOPAEDICS/SURGERY
106,Ankle motion in common yoga poses.,SPORT/EXERCISE
107,Erythropoietin ameliorates harmaline-induced essential tremor and cognition disturbances.,NEURAL
108,"The highly selective dopamine D<sub>3</sub>R antagonist, RVK4-40, attenuates oxycodone reward and augments analgesia in rodents.",NEURAL
109,Bmal1 deletion in mice facilitates adaptation to disrupted light/dark conditions.,BONE
110,Contractile and hemodynamic forces coordinate Notch1b-mediated outflow tract valve formation.,CARDIO
111,Prescribing upper limb orthoses for children with cerebral palsy: a Q methodology study of occupational therapists' decision making.,PROSTHETICS/ORTHOTICS
112,Sex Differences in Rat Intervertebral Disc Structure and Function Following Annular Puncture Injury.,ORTHOPAEDICS/SPINE
113,How is the Morphometry of Stallions and Mares Show-Winning and Nonwinning Campolina Brazilian Breed with Batida and Picada Gaits?,COMPARATIVE
114,Is Sclerostin Glycoprotein a Suitable Biomarker for Equine Osteochondrosis?,COMPARATIVE
115,Effects of running biomechanics on the occurrence of iliotibial band syndrome in male runners during an eight-week running programme-a prospective study.,SPORT/EXERCISE
116,Resistance to visceral obesity is associated with increased locomotion in mice expressing an endothelial cell-specific fibroblast growth factor 1 transgene.,CELLULAR/SUBCELLULAR
117,Dynamic knee control and movement strategies in athletes and non-athletes in side hops: implications for knee injury.,SPORT/EXERCISE
118,Comparative in vivo study of alloy titanium implants with two different surfaces: biomechanical and SEM analysis.,HEAD
119,Targeting transcriptional machinery to inhibit enhancer-driven gene expression in heart failure.,CARDIO
120,Docosahexaenoic acid reduces microglia phagocytic activity via miR-124 and induces neuroprotection in rodent models of spinal cord contusion injury.,NEURAL
121,Fear of Falling Contributing to Cautious Gait Pattern in Women Exposed to a Fictional Disturbing Factor: A Non-randomized Clinical Trial.,GAIT/LOCOMOTION
122,"Programming of Dopaminergic Neurons by Early Exposure to Sex Hormones: Effects on Morphine-Induced Accumbens Dopamine Release, Reward, and Locomotor Behavior in Male and Female Rats.",NEURAL
123,Modulation of Respiratory System by Limb Muscle Afferents in Intact and Injured Spinal Cord.,NEURAL
124,Development of a quantitative method for evaluating small intestinal motility using ultrasonography in mice.,METHODS
125,"Orchestrated biomechanical, structural, and biochemical stimuli for engineering anisotropic meniscus.",TISSUE/BIOMATERIAL
126,Enhancer of Zeste Homolog 2 (EZH2) regulates adipocyte lipid metabolism independent of adipogenic differentiation: role of apolipoprotein E.,CELLULAR/SUBCELLULAR
127,Effects of Sodium Lighting on Circadian Rhythms in Rats.,NEURAL
128,Strength of Pulvertaft modifications: tensile testing of porcine flexor tendons.,TENDON/LIGAMENT
129,Ketamine-induced antidepressant like effects in mice: A possible involvement of cannabinoid system.,BONE
130,Spinal Angulation: A Limitation of the Fetal Lamb Model of Myelomeningocele.,ORTHOPAEDICS/SPINE
131,Basilar invagination associated with chiari malformation type I: A literature review.,ORTHOPAEDICS/SPINE
132,A CNN-based Method for Intent Recognition Using Inertial Measurement Units and Intelligent Lower Limb Prosthesis.,PROSTHETICS/ORTHOTICS
133,The Meniscus in Normal and Osteoarthritic Tissues: Facing the Structure Property Challenges and Current Treatment Trends.,TISSUE/BIOMATERIAL
134,Effects of Combined Exposure to Cadmium and High-Fat Diet on Bone Quality in Male Mice.,BONE
135,Ketogenic diet compromises vertebral microstructure and biomechanical characteristics in mice.,BONE
136,Training or Battling a Monster of a Location-Based Augmented-Reality Game While Descending Stairs: An Observational Study of Inattentional Blindness and Deafness and Risk-Taking Inclinations.,GAIT/LOCOMOTION
137,Non-specific Low Back Pain and Postural Control During Quiet Standing-A Systematic Review.,POSTURE/BALANCE
138,"The ""Gastrocnemius-Achilles Tendon-Calcaneus Complex"": Different Responses after Percutaneous versus Vulpius Achilles Tendon Lengthening in New Zealand White Rabbits.",TENDON/LIGAMENT
139,Joint angular excursions during cyclical behaviors differ between tetrapod feeding and locomotor systems.,COMPARATIVE
140,Is conservation of center of mass mechanics a priority in human walking? Insights from leg-length asymmetry experiments.,GAIT/LOCOMOTION
141,The cardiac syndecan-4 interactome reveals a role for syndecan-4 in nuclear translocation of muscle LIM protein (MLP).,MUSCLE
142,In vitro mechanical behavior and in vivo healing response of a novel thin-strut ultrahigh molecular weight poly-l-lactic acid sirolimus-eluting bioresorbable coronary scaffold in normal swine.,CARDIO
143,The Internationalization of National Biomechanics Day.,TRAUMA/IMPACTTESTING
144,Low-dose ethanol ameliorates amnesia induced by a brief seizure model: the role of NMDA signaling.,NEURAL
145,"Replicating the complexity of natural surfaces: technique validation and applications for biomimetics, ecology and evolution.",EVOLUTION/ANTHROPOLOGY
146,Evidence of a tunable biological spring: elastic energy storage in aponeuroses varies with transverse strain in vivo.,TISSUE/BIOMATERIAL
147,3D Porous Gelatin/PVA Hydrogel as Meniscus Substitute Using Alginate Micro-Particles as Porogens.,TISSUE/BIOMATERIAL
148,3D Printing and Electrospinning of Composite Hydrogels for Cartilage and Bone Tissue Engineering.,TISSUE/BIOMATERIAL
149,Lower Limb Maneuver Investigation of Chasse Steps Among Male Elite Table Tennis Players.,SPORT/EXERCISE
